source_type,filename_or_source,period_or_as_of,as_of_date,age_months,stale,in_pool,confidence_1_to_5,governance_need_covered,impact_or_gap
Transcript,"nVent Electric plc, Q2 2026 Earnings Call, Jul 31, 2026.pdf",FQ2 2026,2026-07-31,1.2,No,Yes,3,Candor / promise-vs-delivery,"Freshest candor evidence. Both pool transcripts cover quarters that BEAT guidance — the bad-times candor test is unrun"
Investor presentation,"nVent Electric plc, Q1 2026 ppt.pdf",—,2026-05-01,4.2,No,Yes,3,Adjusted-measure framing,Non-GAAP framing evidence
Investor presentation,2026-William-Blair-Conference-nVent-NVT-Presentation.pdf,—,2026-06-03,3.1,No,Yes,3,Strategy claims for promise-vs-delivery,Strategy claims used by agent 01
Press release,nVent-to-Acquire-Maverick-Power-2026.pdf,—,2026-08-24,0.5,No,Yes,3,Capital allocation / M&A pattern,"Freshest document in the pool. A $1.75bn deal announced 14 days before this run and covered by no filing in the pool"
Data vendor (CIQ),nVent Electric plc NYSE NVT Financials.xls (13 tabs),FY2022A–FY2025A + LTM Jun-30-2026A,2026-06-30,2.2,No,Yes,4,Capital-allocation history; forensics baseline,"Tier-5 vendor. FY2025 column is the only FY2025 annual data available and is UNAUDITED in this pool"
Data vendor (CIQ),nVentElectricplcNYSENVTEstimatesReport.xls (7 tabs),FY2026E–FY2028E,Post-Q2-FY26 (export as-of not printed),1–2,No,Yes,4,Guidance/surprise history,Used by agents 01 and 06
Data vendor (CIQ),nVent Electric plc NYSE NVT Competitors.rtf,Undated,No date on the export,Unknown,Cannot be assessed,Yes,2,Peer reference,Treat as undated tier-5 reference material; do not use for any time-sensitive claim
Data vendor (CIQ),nVent Electric plc NYSE NVT Products.rtf,Undated,No date on the export,Unknown,Cannot be assessed,Yes,2,Product reference,Treat as undated tier-5 reference material; do not use for any time-sensitive claim
Data vendor (CIQ),nVent Electric plc NYSE NVT Strategic Alliances.rtf,Undated,No date on the export,Unknown,Cannot be assessed,Yes,2,Alliance/relationship reference,Treat as undated tier-5 reference material; do not use for any time-sensitive claim
External data,NONE — manifest.sources carries no row with external: true and the frozen raw/NVT tree contains no external/ folder,—,—,—,N/A — none,No,—,—,"No provider sidecars, no alt-data, no expert calls, no broker research"
