source_id,source_type,filename_or_filing,period,page_or_section,date,confidence_1_to_5,used_for
S-22,Court records,CourtListener federal docket sweep (nVent and lineage names),2021-09-07 to 2026-09-07,"10 dockets; Vertiv v. nVent D.Del. 1:26-cv-00839",2026-09-07,3,"A9-10 litigation-register reconciliation (12); person-level civil/criminal axes (07)"
S-23,Regulator register,SEC EDGAR enforcement + officer-and-director bar register,5-year lookback,Full-text and party search,2026-09-07,4,"A9-01 A9-07 (12); A16-03 A16-06 (07)"
S-24,Regulator register,SALI (SEC Action Lookup for Individuals) - 16 queries,All available,Per-person queries,2026-09-07,4,A16-06 securities-regulator actions per person (07)
S-25,Sanctions screen,OpenSanctions consolidated screen - 13 person screens + entity screens,Current,OFAC/UN/EU/Interpol consolidated,2026-09-07,4,"A16-09 (07); A9-08 (12) - 8 of 21 persons unscreened recorded as coverage-limited"
S-26,Regulator aggregate,Violation Tracker (US regulatory penalties),All available,"11 records $176422 aggregate; record-level breakdown 403",2026-09-07,3,A9-09 ESG/environmental/consumer penalties (12) - coverage-limited on record detail
S-27,Rating agency,Fitch Ratings rating action (BBB IDR / BBB senior unsecured Outlook Stable),24-month history,Rating action commentary,2025-09-22,4,A9-05 rating conduct (12)
S-28,Corporate registry,UK Companies House / Irish CRO previous-names and identity fields,Current,"Previous names; registered office; incorporation date",2026-09-07,4,"A17-02 former names (07); Ten Earlsfort Terrace address cluster (07)"
S-29,Regulator register,PCAOB register and PCAOB/SEC enforcement history (Deloitte & Touche LLP),All available,"PCAOB ID 34; 3 historical settled orders",2026-09-07,3,A4-13 regulator discipline of firm/partner (08)
S-30,Court records,Tupperware Brands Chapter 11 docket and 2023 restatement filings,2023-2024,"Restatement; ICFR material weaknesses; Chapter 11 2024-09-18",2026-09-07,3,"A16-08 A16-18 (07) - association basis for the Lead Director's Minor concerns grade"
S-31,Web (unverified tier 10),Plaintiff-firm notices re Pentair plc securities class actions (Kessler Topaz / Hagens Berman / BFA Law),2026,"S.D.N.Y. and D. Minn.; class period 2025-03-11 to 2026-07-14",2026-08-05 to 2026-08-23,1,"Predecessor lineage exposure read (07 2B.3; 12 Section 1A) - posture recorded verbatim; RF-NET-003 not fired"
S-32,Web (unverified),Insider-transaction and compensation aggregators,FY2024-FY2026,"Form 4 summaries; pay ratio ~307x; CEO pay; CAP multiple",2026-09-07,1,"Context only for 03 and 04 - fires no red flag and lifts no cap"
S-33,Cross-module output,analyses/NVT_2026-09-07/business-model/01_disqualifier-scan.md,2026-09-07,Section 3 Verdict-Lock Signal,2026-09-07,5,Disqualifier deference - no verdict-lock (99 00)
S-34,Cross-module output,analyses/NVT_2026-09-07/business-model/11_capital-allocation-governance.md,2026-09-07,Full,2026-09-07,4,"The quick-read this module supersedes; acquisition spend vs FCF baseline (00 02)"
S-35,Cross-module output,analyses/NVT_2026-09-07/business-model/12_red-flags-sweep.md,2026-09-07,Full,2026-09-07,4,"Two disclosed-item flags at 52 and 55 inverted - re-tested not re-adjudicated (00 12)"
S-36,Cross-module output,analyses/NVT_2026-09-07/business-model/08_competitive-map.md,2026-09-07,Section 2d,2026-09-07,4,"Peer ROIC band 13.3-13.6% (01 02); no governance peer metrics supplied (99 Section 5B)"
S-37,Cross-module output,analyses/NVT_2026-09-07/earnings/06_earnings-quality.md,2026-09-07,Accrual-flag table; CFO/EBITDA,2026-09-07,4,"CFO/EBITDA taken as published (11); accrual-flag cross-check (99)"
S-38,Cross-module output,analyses/NVT_2026-09-07/earnings/04_guidance-consensus.md,2026-09-07,Section 3,2026-09-07,4,Guidance-and-delivery track record (01 06)
S-39,Cross-module output,analyses/NVT_2026-09-07/balance-sheet-survival/01_capital-structure-and-leverage.md,2026-09-07,Debt stack,2026-09-07,4,A14-01 leverage hygiene (11)
S-40,Cross-module output,analyses/NVT_2026-09-07/balance-sheet-survival/05_off-balance-sheet-and-contingencies.md,2026-09-07,Full,2026-09-07,4,Solvency-lens read of leases guarantees and contingencies (10)
