source_id,agent,source_type,filename_or_filing,period,page_or_section,date,confidence_1_to_5,used_for
"04:S7","ownership-and-insider-behavior","Cross-module, vendor-backed output","Beat / Miss Setup — NU","Q1 2026","§4 and §7","2026-08-30","4","Q1 EPS-surprise timing context"
"04:S8","ownership-and-insider-behavior","Cross-module, filing-backed output","Business-model Disqualifier Scan — NU","FY2025 / current scan","§1","2026-08-30","4","Pledge-disqualifier cross-check"
"06:S1","candor-and-disclosure-quality","Annual filing","Nu Holdings Ltd. Form 20-F","FY ended 2025-12-31","Presentation of Financial Information — Special Note Regarding Non-IFRS Financial Measures; Item 5A; Note 34, F-97","2026-04-08","5","Adjusted Net Income reconciliation, KPI framework, Managerial P&L and reportable segment"
"06:S2","candor-and-disclosure-quality","Annual filings","Nu Holdings Ltd. Forms 20-F","FY ended 2021-12-31 through FY ended 2024-12-31","Presentation of Financial Information — Customers and Active Customers","2022-04-21 through 2025-04-16","5","Five-year KPI-consistency test"
"06:S3","candor-and-disclosure-quality","Verbatim earnings-call transcript","Nu Holdings Ltd. Q1 2026 Earnings Call","Q1 ended 2026-03-31","Prepared remarks; Q&A — efficiency-ratio question","2026-05-14","3","Q1 provisioning narrative, timing disclosure and FY2026 efficiency objective"
"06:S4","candor-and-disclosure-quality","Verbatim earnings-call transcript","Nu Holdings Ltd. Q2 2026 Earnings Call","Q2 ended 2026-06-30","Prepared remarks; Q&A — Goldman Sachs questions","2026-08-13","3","Q2 efficiency reversal, credit discussion, Desenrola answer and Q&A read"
"06:S5","candor-and-disclosure-quality","Interim filing","Nu Holdings Ltd. Unaudited Interim Condensed Consolidated Financial Statements","H1 ended 2026-06-30","Statements of Income, p.5; Statements of Cash Flows, p.12; Note 30, p.37","2026-08-14","5","H1 CFO, net income and deferred-tax bridge"
"06:S6","candor-and-disclosure-quality","Capital IQ vendor export","NuHoldingsLtdNYSENUEstimatesReport.xls — Surprise","Q1 ended 2026-03-31","Fiscal Quarters, Q1 2026","2026-08-29","4","Contextual Q1 revenue/EPS consensus shortfall"
"06:S7","candor-and-disclosure-quality","Cross-module, filing- and transcript-backed output","Earnings Quality — NU","FY2023–FY2025 / H1 2026","§§4, 7 and 9","2026-08-30","4","Adjustment recurrence and GAAP-to-adjusted reconciliation cross-check"
"06:S8","candor-and-disclosure-quality","Cross-module output","Management & Track Record — NU","FY2023–FY2026","§4","2026-08-30","4","Promise-versus-delivery record"
"06:S9","candor-and-disclosure-quality","Cross-module output","Governance Data Triage — NU","Current run","§3","2026-08-30","4","Input availability and A7-01 ownership context"
"07:S1","people-integrity-dossiers","Annual filing","FY25 Form 20-F","FY25","Items 4A/4B/6A/7A/8A; Notes 1/28","2026-04-08","5","Parent identity, roster, ownership, subsidiary/RPT context, trademarks"
"07:S2","people-integrity-dossiers","Company website","Nu International / Nubank history","current","“Nubank reaches 100 million customers”","updated 2026-05-18","2","D-1, 2013 history, founders"
"07:S3","people-integrity-dossiers","Government registry","Brazil Portal da Transparência","current","CNPJ 18.236.120/0001-58","accessed 2026-08-30","4","Nu Pagamentos identity, opening date, directors, address"
"07:S4","people-integrity-dossiers","IP registry","INPI","2024","NUBANK process 925913570","2024-10-15","4","Trademark proprietor"
"07:S5","people-integrity-dossiers","Regulator decision","Banco Central do Brasil","2020","Decision 1002/2020","2020-12-08","5","Nu Pagamentos R$25,000 fine"
"07:S6","people-integrity-dossiers","Regulator monitoring list","ANPD","current","Process 00261.004913/2024-18","accessed 2026-08-30","5","Current monitoring status"
"07:S7","people-integrity-dossiers","Exchange filing","Nu 6-K","2025","Campos Neto appointment / cooling-off","2025-05-06","5","PEP/revolving-door context"
"07:S8","people-integrity-dossiers","Regulator record","Banco Central do Brasil","2026","2026-04-01 agenda; Comunicados 39.607 / 41.699","2022–2026","5","NuPay control, officer corroboration, meeting"
"07:S9","people-integrity-dossiers","SEC ownership filing","Cristina Junqueira Form 3","current","CIK 0001973445","2026-03-18","5","Identity anchor"
"07:S10","people-integrity-dossiers","Public official searches","SEC/DOJ/OFAC/World Bank / BCB routes","current","queries in Sweep Log","2026-08-30","2","Limited person enforcement/sanctions checks"
"07:S11","people-integrity-dossiers","Dated web searches","Adverse-keyword battery","current","queries in Sweep Log","2026-08-30","2","Adverse-media screen, coverage limitation"
"07:S12","people-integrity-dossiers","Cross-module output","business-model/01_disqualifier-scan","FY25/Q2 2026","§§1–3","2026-08-30","4","No routed integrity buzz / no hard lock"
"08:S1","audit-and-assurance-quality","Annual filing","Nu Holdings Ltd. Form 20-F","FY ended 2025-12-31","Report of Independent Registered Public Accounting Firm, F-2–F-5; Items 4.B, 6.A, 6.F, 15.B–D, 16A, 16C; Statements of Income F-6","2026-04-08","5","Audit identity/tenure, opinions, ICFR, audit committee mandate, fees, revenue and restatement disclosure"
"08:S2","audit-and-assurance-quality","Annual audited consolidated financial statements","Nu Holdings Ltd. Form 6-K / annual report","FY ended 2025-12-31","Independent Auditors’ Report and KAM section, pp.1–6","2026-02-25","5","Signing partner, group-audit responsibility, FY2025 KAM"
"08:S3","audit-and-assurance-quality","Annual audited consolidated financial statements","Nu Holdings Ltd. Form 6-K / annual report","FY ended 2024-12-31","Independent Auditors’ Report and KAM section, pp.1–6","2025-02-20","5","FY2024 opinion, partner and KAM history"
"08:S4","audit-and-assurance-quality","Annual audited consolidated financial statements","Nu Holdings Ltd. Form 6-K / annual report","FY ended 2023-12-31","Independent Auditors’ Report and KAM section, pp.1–5","2024-02-22","5","FY2023 opinion, group responsibility, partner and KAM history"
"08:S5","audit-and-assurance-quality","Interim filing","Nu Holdings Ltd. Form 6-K, interim condensed consolidated financial statements","H1 ended 2026-06-30","Independent Auditors’ Review Report","2026-08-13","5","Current limited-review conclusion"
"08:S6","audit-and-assurance-quality","Primary audit regulator","PCAOB Release No.105-2025-008","2020–2023 conduct; order issued 2025","Findings, sanctions and remedial actions","2025-03-11","5","Firm discipline and RF-AUD-007"
"08:S7","audit-and-assurance-quality","Primary audit regulator register","PCAOB Firm Summary — KPMG Auditores Independentes Ltda., Firm No.1124","Current profile","Registration, inspection and disciplinary-release listing","Accessed 2026-08-30","5","Firm identity and discipline history cross-check"
"08:S8","audit-and-assurance-quality","Primary securities-regulator public record","CVM settlement record involving KPMG Auditores Independentes","Historical","Termo de Compromisso","2022-11-01","4","Secondary Brazilian regulator sweep context"
"08:S9","audit-and-assurance-quality","Cross-module, filing-backed output","Business-Model Disqualifier Scan — NU","Current run","Audit qualification / going concern / auditor-change / restatement hard-lock rows","2026-08-30","4","Required hard-lock deference"
"08:S10","audit-and-assurance-quality","Cross-module output","Governance Data Triage — NU","Current run","Jurisdiction and document inventory","2026-08-30","4","Regime and CARO/MR-3 applicability"
"08:S11","audit-and-assurance-quality","Cross-module, source-backed output","Management & Track Record — NU","Current run","CFO succession timeline","2026-08-30","4","Gatekeeper-exit context"
"09:S1","related-party-and-group-forensics","Tier 1 primary filing","Nu Holdings Ltd. Form 20-F","FY25 ended 2025-12-31","Item 4.B/4.C; Item 7.B; Notes 3 and 28; Exhibit 8.1","2026-04-08","5","Regime, RPT ledger, policy, consolidation, subsidiary count, related credit restrictions"
"09:S2","related-party-and-group-forensics","Tier 1 primary filing","Nu Holdings Ltd. Form 20-F","FY24 ended 2024-12-31","Note 29 — Related parties","2025-04-16","5","Prior-year director-linked liability"
"09:S3","related-party-and-group-forensics","Tier 1 primary filing","Nu Holdings Ltd. Form 20-F","FY23 ended 2023-12-31","Note 27 — Related parties","2024-04-19","5","Rodamoinho, Reprograma, FY22 historic flow, FY23 status"
"09:S4","related-party-and-group-forensics","Tier 2 primary interim filing","Nu Holdings Ltd. Interim Report","H1 ended 2026-06-30","Statements of Financial Position p.8; Note 35(b)","2026-08-14","5","Cash balance and Banco Porto Real subsequent event"
"09:S5","related-party-and-group-forensics","Tier 5 vendor export","relationships.json derived from CIQ Customers/Suppliers workbooks","Recent disclosed relationships only","scope_notes, nodes, edges","2026-08-30","3","Third-party/group classification; customer/supplier scope; name matching"
"09:S6","related-party-and-group-forensics","Tier 5 vendor export","CIQ Corporate Structure Tree workbook extracts","Current as of 2026-08-30","Corporate tree and Aggregates sheets","2026-08-30","3","Observed deepest path and 34 operating-unit count"
"09:S7","related-party-and-group-forensics","Tier 5 vendor export","CIQ Corporate Timeline and M&A workbook extracts","Current / six-month timeline","transaction/timeline fields","2026-08-30","3","Supplementary M&A pool-coverage statement only"
"09:S8","related-party-and-group-forensics","Internal cross-module analytical output","management-governance/07_people-integrity-dossiers.md","Current run","Sections 0A, 3, 3B and entity_network.json","2026-08-30","3","Related-entity reconciliation and scope limitation"
"09:S9","related-party-and-group-forensics","Internal cross-module analytical output","business-model/01_disqualifier-scan.md","Current run","RPT hard-lock table","2026-08-30","4","Deferral of >25% RPT hard lock"
"09:S10","related-party-and-group-forensics","Internal cross-module analytical output","earnings/01_historical-financials.md","FY25","Income statement / net income denominators","2026-08-30","4","Audited revenue and net-income denominators"
"09:S11","related-party-and-group-forensics","Tier 1 primary filing","Nu Holdings Ltd. Form 20-F","FY22 ended 2022-12-31","Related-party note","2023-04-20","5","Historic Rodamoinho and Reprograma disclosures"
"10:S1","contingent-liabilities-and-commitments","Primary interim filing / reviewed financial statements","Nu Holdings Ltd. H1 FY2026 Unaudited Interim Condensed Consolidated Financial Statements","Six months ended 2026-06-30","Statements pp.8–10; Note 20 pp.26–28; Note 24 p.32; Note 25 pp.32–33; Note 32 pp.40–41","2026-08-14","5","Current net worth/PAT denominators, provisions, possible claims, guarantee scope, derivatives and credit commitments"
"10:S2","contingent-liabilities-and-commitments","Audited annual filing / 20-F","Nu Holdings Ltd. Form 20-F","FY2025","Item 8.A p.207; Note 24 pp.F-73–F-74; Note 25 pp.F-74–F-76","2026-04-08","5","GMF and 123 Milhas disclosure, DFC guarantee and FY2025 movement"
"10:S3","contingent-liabilities-and-commitments","Audited annual filing / 20-F","Nu Holdings Ltd. Form 20-F","FY2024","Item 8.A p.291; Note 23 pp.F-92–F-94","2025-04-16","5","FY2024 provision and possible-claim history"
"10:S4","contingent-liabilities-and-commitments","Audited annual filing / 20-F","Nu Holdings Ltd. Form 20-F","FY2023","Item 8.A pp.296–297; Note 24 pp.F-84–F-85","2024-04-19","5","FY2023 provision/possible-claim history and PIS/COFINS settlement"
"10:S5","contingent-liabilities-and-commitments","Audited annual filing / 20-F","Nu Holdings Ltd. Form 20-F","FY2022","Item 8.A pp.253–254; Note 23 pp.F-84–F-85","2023-04-20","5","FY2022 provision, possible-claim and PIS/COFINS baseline"
"10:S6","contingent-liabilities-and-commitments","Public court-record discovery search","Colombian and Brazilian court-domain search queries in Sweep Log","Current posture search","Sweep Log","2026-08-30","1","Coverage-limited check for GMF and 123 Milhas current posture; no outcome asserted from no-result searches"
"10:S7","contingent-liabilities-and-commitments","Tier-5 vendor relationship graph","`relationships.json`, Capital IQ Suppliers/Customers exports","Recently disclosed relationships, two-year scope","Scope notes and DFC / Nu Colombia nodes","2026-08-30","3","Scope-limited corroboration that cannot prove an absence of guarantees"
"11:S1","accounting-forensics","Audited annual filing","Nu Holdings Ltd. Form 20-F","FY25","Consolidated financial statements; Notes 2, 11, 13, 14, 17, 18, 25, 28","2026-04-08","5","Revenue, CFO, cash taxes, credit assets/ECL, cash, goodwill, tax, related parties"
"11:S2","accounting-forensics","Interim filing","Nu Holdings Ltd. Interim Report","H1 FY26 ended 2026-06-30","Financial statements; credit assets and income-tax notes","2026-08-14","4","H1 CFO, ECL ratio, tax rate, strict-basis cash check"
"11:S3","accounting-forensics","Cross-module analysis","earnings/06_earnings-quality.md","NU run","Quality baseline","2026-08-30","3","Overlay cross-check"
"11:S4","accounting-forensics","Vendor workbook sidecar","ciq_facts.json","LTM Jun-30-2026","LTM CFO and net debt fields","2026-08-30","4","Sidecar reconciliation only"
"11:S5","accounting-forensics","Vendor relationship sidecar","relationships.json","Recent disclosures","scope_notes","2026-08-30","3","Scope limitation; no RPT inference"
"11:S6","accounting-forensics","Regulator","Banco Central do Brasil Decision 1005/2020","2020","Electronic Gazette","2020-12-08","5","R$25,000 late-declaration fine"
"11:S7","accounting-forensics","Regulator","Banco Central do Brasil Decision 930/2021","2021","Electronic Gazette","2021-11-24","5","R$12,500 late-declaration fine"
"12:S1","regulatory-legal-and-compliance","Primary filing","Nu Holdings Ltd. Form 20-F","FY25","Item 8.A Legal Proceedings, pp. 206–207","2026-04-08","5","Disclosed litigation and contingency reconciliation"
"12:S2","regulatory-legal-and-compliance","Primary filing","Nu Holdings Ltd. Form 20-F","FY25","Business — Compliance and ethics program, p. 94; Item 16B, p. 240","2026-04-08","5","Whistleblower policy/channel and missing statistics"
"12:S3","regulatory-legal-and-compliance","Primary filing","Nu Holdings Ltd. Form 6-K","Q2 2026","Note 25, Provisions and contingent liabilities","2026-08-13","5","Current provisions cross-check"
"12:S4","regulatory-legal-and-compliance","Primary regulator decision","BCB COPAS Decisions 1002/2020, 496/2021 and 930/2021","2020–2021","Decision text; 930/2021 pp. 1–3","2020-12-08 to 2021-10-22","5","BCB fines, dates, amounts and posture"
"12:S5","regulatory-legal-and-compliance","Primary regulator register","ANPD, Processos de Fiscalização em Andamento","Current","Nu Pagamentos entry / Process 00261.004913/2024-18","Accessed 2026-08-30","5","Current monitoring-list status"
"12:S6","regulatory-legal-and-compliance","Primary regulator report","ANPD, 3º Relatório de Ciclo de Monitoramento","H1 2025","p. 35","2025","5","Recorded closure/corrective-measures posture"
"12:S7","regulatory-legal-and-compliance","Official gazette","Diário Oficial do Estado do Pará, Resenha 77/2025","2025","PAE E-2025/2563222","2025-09-04","4","Procon first-instance decision and 7,000-UPF amount"
"12:S8","regulatory-legal-and-compliance","Official filing database / search","SEC EDGAR and SEC enforcement issuer queries","Current","Nu Holdings CIK 0001691493","Accessed 2026-08-30","3","Filing dates; limited enforcement sweep"
"12:S9","regulatory-legal-and-compliance","Exchange search","NYSE issuer-specific regulation search","Current","Nu Holdings / NYSE: NU","2026-08-30","2","Exchange-fine coverage limitation"
"12:S10","regulatory-legal-and-compliance","Rating agency searches","S&P, Moody's and Fitch issuer-specific pages","Current","Nu Holdings / Nu Financeira queries","2026-08-30","2","Rating-history coverage limitation"
"12:S11","regulatory-legal-and-compliance","Official sanctions-domain searches","OFAC, UN, UK and World Bank issuer-specific queries","Current","Group-name queries","2026-08-30","2","Sanctions coverage limitation"
"12:S12","regulatory-legal-and-compliance","Upstream module evidence","Management-governance 07 Board Quality, Independence…","Current run","Embedded entity records and lineage reconciliation","2026-08-30","4","No qualifying predecessor/lineage handoff"
"12:S13","regulatory-legal-and-compliance","Tier-5 vendor export","Capital IQ Suppliers/Customers relationship graph","Current extract","Nu Colombia / DFC relationship; scope notes","2026-08-29","3","Named creditor only; not full lender roster"
"12:S14","regulatory-legal-and-compliance","Upstream module evidence","Business-model 01 Disqualifier Scan","Current run","§1, Trigger #6","2026-08-30","4","Verbatim hard-lock status"
