id,section,test,flag,finding,confidence,source,owner_agent
"A4-03","A4","Subsidiary & component auditor calibre","Amber","null component-auditor identity and coverage not disclosed","4","[FY2023 audited consolidated financial statements, auditor responsibilities, p.5; FY2025 Form 20-F, Item 4.B]","audit-and-assurance-quality"
"A4-04","A4","Auditor resignation & stated reasons","Green","0 identified auditor resignations in FY2023–FY2025","3","[FY2023–FY2025 audited consolidated financial statements; FY2025 Form 20-F, F-5]","audit-and-assurance-quality"
"A4-05","A4","Opinions: qualification / EoM / adverse / disclaimer","Green","3 clean consolidated annual opinions","5","[FY2023–FY2025 audited consolidated financial statements, Independent Auditors’ Reports; FY2025 Form 20-F, F-2–F-5]","audit-and-assurance-quality"
"A4-06","A4","Audit vs non-audit fees","Green","7.8 FY2025 non-audit fees as percent of audit fees","5","[FY2025 Form 20-F, Item 16C, p.241]","audit-and-assurance-quality"
"A4-07","A4","Auditor remuneration level & trend","Amber","51.6 percent audit-fee growth FY2025","5","[FY2025 Form 20-F, Item 16C, p.241; Statements of Income, F-6]","audit-and-assurance-quality"
"A4-08","A4","Internal & secretarial audit","Amber","1 disclosed internal-audit function","4","[FY2025 Form 20-F, Item 16A; Governance Data Triage — NU, §1]","audit-and-assurance-quality"
"A4-09","A4","Internal financial controls (ICFR/IFC)","Green","1 effective ICFR conclusion","5","[FY2025 Form 20-F, Item 15.B–D, pp.239–240; F-2–F-5]","audit-and-assurance-quality"
"A4-10","A4","Key Audit Matters recurrence","Amber","3 consecutive years ECL was a KAM","5","[FY2023–FY2025 audited consolidated financial statements, KAM sections; Statements of Income]","audit-and-assurance-quality"
"A4-11","A4","CARO / companion-report flags *(India)*","NA","null CARO","5","[Governance Data Triage — NU, §1]","audit-and-assurance-quality"
"A4-12","A4","Audit-committee ↔ auditor engagement","Insufficient","null private-session / attendance disclosure","4","[FY2025 Form 20-F, Items 6.A, 15.D and 16A; auditor communications paragraph]","audit-and-assurance-quality"
"A4-13","A4","Regulator discipline of firm/partner","Red","700000 US$ PCAOB civil penalty in 2025","5","[PCAOB Release No.105-2025-008; PCAOB Firm Summary No.1124; Sweep Log]","audit-and-assurance-quality"
"A4-14","A4","Component-auditor coverage","Amber","null principal coverage percentage","4","[FY2023 audited consolidated financial statements, auditor responsibilities, p.5; FY2025 Form 20-F, Item 4.B]","audit-and-assurance-quality"
"A4-15","A4","Gatekeeper exit cluster","Amber","1 disclosed CFO succession since FY2023","3","[Q2 2026 earnings call; FY2023–FY2025 audit reports; FY2025 Form 20-F, Items 6.A and 16A]","audit-and-assurance-quality"
"A5-01","A5","RPTs as % of revenue / PAT / assets","Amber","0.926 USD m closing liability","4","[FY25 Form 20-F, Note 28, F-76; earnings/01]","related-party-and-group-forensics"
"A5-02","A5","Royalty / brand / technology fees to promoter group","Green","0 USD m disclosed promoter-linked fee","3","[FY25 Form 20-F, Note 28; Item 4.B; Mastercard licences]","related-party-and-group-forensics"
"A5-03","A5","Loans / ICDs / guarantees to group","Insufficient","N/A N/A","4","[FY25 Form 20-F, Notes 3 and 28]","related-party-and-group-forensics"
"A5-04","A5","Promoter-vendor / promoter-customer transactions","Insufficient","9 scoped third-party counterparties","3","[relationships.json, scope_notes and edges — Tier 5]","related-party-and-group-forensics"
"A5-05","A5","Arm's-length substantiation","Amber","0 disclosed methods","4","[FY25 Form 20-F, Note 28, F-76]","related-party-and-group-forensics"
"A5-06","A5","Minority dissent on RPT resolutions","Insufficient","N/A N/A","3","[FY25 Form 20-F, Item 7.B]","related-party-and-group-forensics"
"A5-07","A5","RPT approval hygiene","Amber","1 policy update","4","[FY25 Form 20-F, Item 7.B — Related-Party Transactions Policy]","related-party-and-group-forensics"
"A5-08","A5","RPT counterparty transparency","Amber","1 unnamed current counterparty","4","[FY25 Form 20-F, Note 28(a), F-76]","related-party-and-group-forensics"
"A5-09","A5","Related-party M&A","Insufficient","N/A N/A","4","[H1 2026 Interim Report, Note 35(b)]","related-party-and-group-forensics"
"A5-10","A5","Executive-counterparty conflicts","Amber","0.926 USD m closing liability","3","[FY25 Form 20-F, Note 28; management-governance/07, entity_network.json]","related-party-and-group-forensics"
"A6-01","A6","Pay vs statutory cap & profit","NA","91.3 USD m aggregate directors/key management","5","[FY2025 Form 20-F, Item 6B — Directors and Key Management Compensation, p.194]","incentives-and-compensation"
"A6-02","A6","Promoter-executive pay vs peers & the SEBI gates","Insufficient","91.3 USD m aggregate; CEO individual pay unavailable","5","[FY2025 Form 20-F, Item 6B — Directors and Key Management Compensation and Peer Group, pp.194–195; FY2024 Form 20-F, Item 6B — Directors and Key Management Compensation]","incentives-and-compensation"
"A6-03","A6","Pay-for-performance linkage","Amber","0 disclosed individual metric weights","5","[FY2025 Form 20-F, Item 6B — Profit Sharing and Share-Based Compensation, p.195]","incentives-and-compensation"
"A6-04","A6","ESOP / RSU / SAR dilution & pricing","Green","0.775 % annual RSU grant burn","5","[FY2025 Form 20-F, Note 10 — Share-based payments, F-45–F-46; Item 6B — Omnibus Incentive Plan, p.196; Description of Share Capital — Options and RSUs, p.212; CIQ Comps → Financial Data, Shares Outstanding Latest, as of 2026-08-29 — vendor export]","incentives-and-compensation"
"A6-05","A6","CEO-to-median ratio & severance","Amber","0 disclosed transaction-linked cash benefit","5","[FY2025 Form 20-F, Item 6B — Share-Based Compensation, p.195; Omnibus Incentive Plan and SOP — Change in Control, pp.198–199]","incentives-and-compensation"
"A6-06","A6","Clawback & malus provisions","Green","3 completed fiscal-year lookback","5","[FY2025 Form 20-F, Item 6F, p.202; Exhibit 97.1 — Compensation Clawback Policy, pp.1–4]","incentives-and-compensation"
"A6-07","A6","Promoter family on the payroll","Insufficient","","4","[FY2025 Form 20-F, Item 6B — Compensation of Directors and Management Team, p.194]","incentives-and-compensation"
"A6-08","A6","NED / ID compensation structure","Amber","cash/equity ratio not disclosed","5","[FY2025 Form 20-F, Item 6B — Board of Directors, p.195]","incentives-and-compensation"
"A6-09","A6","Problematic pay practices & dissent response","Amber","1 explicit repricing-without-vote prohibition","5","[FY2025 Form 20-F, Omnibus Incentive Plan — Amendment and Change in Control, p.198; SOP — Change in Control, p.199]","incentives-and-compensation"
"A7-01","A7","Disclosure timeliness & completeness *(owner: 12)*","Insufficient","3 observed FY26 reporting filings; 0 of 12 comparable periods deadline-tested filings / quarters","3","SEC EDGAR issuer filings","regulatory-legal-and-compliance"
"A7-02","A7","Restatement frequency *(owner: 08)*","Insufficient","3 annual reports reviewed for surrounding evidence","4","[Business-Model Disqualifier Scan — NU, hard-lock table; FY2025 Form 20-F, cover and Item 6.F]","audit-and-assurance-quality"
"A7-03","A7","KPI stability","Green","5 consecutive annual filings","5","[FY2021 Form 20-F, Presentation of Financial Information — Customers and Active Customers; FY2025 Form 20-F, Item 5A, Managerial P&L]","candor-and-disclosure-quality"
"A7-04","A7","Guidance hygiene","Amber","1 FY2026 numeric operating target: about 20% efficiency ratio","3","[Q1 2026 earnings call, Q&A — efficiency-ratio question; Q2 2026 earnings call, prepared remarks; Capital IQ Estimates — Surprise, Fiscal Quarters, Q1 2026 — vendor export]","candor-and-disclosure-quality"
"A7a-01","A7a","Total CL as % of net worth","Amber","54.018 US$m total disclosed legal exposure = 44.343 provided + 9.675 quantified possible","5","[H1 FY2026 Interim Financial Statements, Note 25, pp.32–33; Statements of Financial Position, p.9]","contingent-liabilities-and-commitments"
"A7a-02","A7a","CL trend over time","Amber","44.343 US$m recognized provision","5","[FY2025 Form 20-F, Note 25, pp.F-74–F-76; H1 FY2026 Interim Financial Statements, Note 25, pp.32–33]","contingent-liabilities-and-commitments"
"A7a-03","A7a","Direct tax disputes","Amber","8.126 US$m aggregate tax provision, direct/indirect split absent","5","[H1 FY2026 Interim Financial Statements, Note 25, pp.32–33]","contingent-liabilities-and-commitments"
"A7a-04","A7a","Indirect tax disputes (GST/excise/customs)","Amber","8.126 US$m aggregate tax provision, direct/indirect split absent","5","[H1 FY2026 Interim Financial Statements, Note 25, pp.32–33]","contingent-liabilities-and-commitments"
"A7a-05","A7a","Litigation / claims not acknowledged as debt","Amber","2500.000 US$m all-defendant GMF claim; Nu allocation unknown","5","[FY2025 Form 20-F, Item 8.A Legal Proceedings, p.207]","contingent-liabilities-and-commitments"
"A7a-06","A7a","Corporate guarantees given","Amber","0.000 US$m for listed H1 borrowing/financing arrangements","5","[H1 FY2026 Interim Financial Statements, Note 24, p.32; FY2025 Form 20-F, Note 24, pp.F-73–F-74]","contingent-liabilities-and-commitments"
"A7a-07","A7a","Bank guarantees & LCs","Amber","N/A Not separately disclosed","5","[H1 FY2026 Interim Financial Statements, Notes 12, 24–25, pp.19–20, 31–33]","contingent-liabilities-and-commitments"
"A7a-08","A7a","Capital commitments","Amber","38163.940 US$m unused credit commitments; signed capex commitments not separately disclosed","5","[H1 FY2026 Interim Financial Statements, Note 32, pp.40–41]","contingent-liabilities-and-commitments"
"A7a-09","A7a","Bills discounted with recourse","Amber","N/A Not separately disclosed","5","[H1 FY2026 Interim Financial Statements, Notes 24–25, pp.31–33]","contingent-liabilities-and-commitments"
"A7a-10","A7a","Statutory dues disputes (PF/ESI/cess)","Amber","N/A Not separately disclosed","5","[H1 FY2026 Interim Financial Statements, Note 25, pp.32–33]","contingent-liabilities-and-commitments"
"A7a-11","A7a","Regulatory / penalty demands","Amber","N/A Not separately disclosed","5","[FY2025 Form 20-F, Item 8.A, p.207; H1 FY2026 Interim Financial Statements, Note 25, pp.32–33]","contingent-liabilities-and-commitments"
"A7a-12","A7a","Subsidiary / JV / associate CLs","Amber","54.018 US$m consolidated provided-plus-quantified-possible legal exposure","5","[H1 FY2026 Interim Financial Statements, Note 25, pp.32–33]","contingent-liabilities-and-commitments"
"A7a-13","A7a","Movement: additions / reversals / crystallization","Amber","27.370 US$m H1 additions; payments 14.147; reversals 2.578","5","[FY2025 Form 20-F, Note 25, pp.F-74–F-76; H1 FY2026 Interim Financial Statements, Note 25, pp.32–33]","contingent-liabilities-and-commitments"
"A7a-14","A7a","Provided vs only-disclosed split","Amber","44.343 US$m probable provided; 9.675 quantified possible unprovided","5","[H1 FY2026 Interim Financial Statements, Note 25, pp.32–33; FY2025 Form 20-F, Item 8.A, p.207]","contingent-liabilities-and-commitments"
"A7a-15","A7a","Unhedged forex / derivative exposure","Green","8350.573 US$m derivative notional; assets 115.257, liabilities 89.659","5","[H1 FY2026 Interim Financial Statements, Note 20, pp.26–28]","contingent-liabilities-and-commitments"
"A8-01","A8","CFO / PAT (accrual quality)","NA","N/A ratio","5","[FY25 Form 20-F, cash flows]","accounting-forensics"
"A8-02","A8","Working-capital days creep","NA","N/A days","5","[MODULE_RULES, Financials overlay]","accounting-forensics"
"A8-03","A8","Receivables ageing >6 months","NA","N/A —","5","[FY25 Form 20-F, Notes 13–14]","accounting-forensics"
"A8-04","A8","Expense capitalization","Green","0.84 % assets","4","[FY25 Form 20-F, Notes 17–18]","accounting-forensics"
"A8-05","A8","Recurring exceptionals & other income","Green","3.36 %","5","[FY25 Form 20-F, profit or loss]","accounting-forensics"
"A8-06","A8","Goodwill build-up & impairment","Green","3.62 %","5","[FY25 Form 20-F, Note 18]","accounting-forensics"
"A8-07","A8","Policy / estimate / year-end changes","Amber","Managerial P&L introduced —","4","[FY25 Form 20-F, Item 5 p.158]","accounting-forensics"
"A8-08","A8","Depreciation rate consistency","Green","98.0 US$m","4","[FY25 Form 20-F, cash flows]","accounting-forensics"
"A8-09","A8","Provisioning adequacy","Amber","16.86 % gross credit","5","[FY25 Form 20-F, Notes 13–14; H1 FY26 Interim Report, Notes credit assets]","accounting-forensics"
"A8-10","A8","Effective tax-rate anomaly","Amber","11.78 %","5","[H1 FY26 Interim Report, Note 19]","accounting-forensics"
"A8-11","A8","Cash EPS vs accounting EPS","NA","N/A ratio","5","[MODULE_RULES, Financials overlay]","accounting-forensics"
"A8-12","A8","CFO / EBITDA conversion","NA","N/A ratio","5","[MODULE_RULES, Financials overlay]","accounting-forensics"
"A8-13","A8","Consolidation opacity","Green","No adverse evidence located —","3","[FY25 Form 20-F, Note 2; H1 FY26 Interim Report, Note 2]","accounting-forensics"
"A8-14","A8","Beneish M-score (8 components)","NA","N/A score","5","[MODULE_RULES, Financials overlay]","accounting-forensics"
"A8-15","A8","Revenue-quality cross-checks","Green","+37.0 vs +30.0 % growth","5","[FY25 Form 20-F, profit or loss/cash flows]","accounting-forensics"
"A8-16","A8","Segment / geography disclosure shifts","Amber","Managerial P&L —","4","[FY25 Form 20-F, Item 5 p.158]","accounting-forensics"
"A8-17","A8","Dechow F-score & accrual battery","NA","N/A score","5","[MODULE_RULES, Financials overlay]","accounting-forensics"
"A8-18","A8","Issuance in a flagged year","NA","N/A —","5","[MODULE_RULES, Financials overlay]","accounting-forensics"
"A8-19","A8","Cash authenticity","Insufficient","Bank names/confirmations not public —","4","[FY25 Form 20-F, Note 11; auditor report]","accounting-forensics"
"A8-20","A8","Regulator-found divergence","Amber","2 historical declaration fines count","4","[BCB Decisions 1005/2020, 930/2021; Sweep Log]","accounting-forensics"
"A9-01","A9","Securities-regulator actions vs the COMPANY","Amber","3 BCB orders / R$62,500 total; 2 orders within five years BRL","5","BCB Decisions 1002/2020, 496/2021 and 930/2021","regulatory-legal-and-compliance"
"A9-02","A9","NCLT / CCI / ED / CBI / SFIO & forensic investigations","Amber","1 ANPD monitoring case with conflicting official status cases","4","ANPD current monitoring list; ANPD 2025 monitoring report p. 35","regulatory-legal-and-compliance"
"A9-03","A9","Whistleblower / vigil mechanism & outcomes","Amber","1 policy/channel; 0 complaint statistics found policies / statistics","3","FY25 Form 20-F, pp. 94, 240","regulatory-legal-and-compliance"
"A9-04","A9","Promoter / controller track record elsewhere *(owner: 07)*","Amber","1 controller","2","[S1]","people-integrity-dossiers"
"A9-05","A9","Rating actions","Insufficient","0 complete current agency-owned 24-month action histories retrieved histories","2","S&P/Moody's/Fitch issuer-specific searches","regulatory-legal-and-compliance"
"A9-06","A9","Exchange fines & listing-compliance register (8 quarters, all exchanges)","Insufficient","0 of 8 requested NYSE quarters reconstructed quarters","2","NYSE issuer-specific regulation search","regulatory-legal-and-compliance"
"A9-07","A9","Insider-trading / trading-window violations","Insufficient","0 confirmed company/KMP official actions in limited battery actions","2","SEC and NYSE issuer-specific searches","regulatory-legal-and-compliance"
"A9-08","A9","Sanctions / export-control / AML exposure","Insufficient","0 public items returned; direct lists not queried hits","2","OFAC/UN/UK/World Bank domain searches","regulatory-legal-and-compliance"
"A9-09","A9","ESG / environmental / consumer penalties","Amber","1 Procon first-instance decision; 1 ANPD monitoring process matters","4","Pará official gazette; ANPD records","regulatory-legal-and-compliance"
"A9-10","A9","Litigation-register reconciliation","Amber","0 material undisclosed cases proven; 3 subsidiary regulatory/consumer matters not individually identified cases","3","FY25 Form 20-F Item 8; BCB, ANPD and Pará sources","regulatory-legal-and-compliance"
"A9-11","A9","Response to whistleblowers & short-sellers","NA","0 verified company-directed messenger allegations returned in limited battery allegations","2","Adverse-media battery","regulatory-legal-and-compliance"
"A10-01","A10","Dividend policy & consistency *(02)*","Amber","0 percent payout ratio","5","[FY2025 Form 20-F, FY2025, Item 8.A “Dividend and Dividend Policy,” p.206]","capital-allocation-scorecard"
"A10-02","A10","Swap ratios in group mergers *(05)*","NA","No event in reviewed period","3","Reviewed materials","board-and-shareholder-rights"
"A10-03","A10","Institutional voting patterns *(05)*","Amber","Resolutions passed; no itemized opposition disclosed","3","[Form 6-K, 2026-08-06]","board-and-shareholder-rights"
"A10-04","A10","Rights / preferential pricing fairness *(05)*","Amber","No current selective raise, but standing asymmetric preemptives / preferred authority","3","[FY2025 Form 20-F, Item 10B]","board-and-shareholder-rights"
"A10-05","A10","Buyback vs dividend conduct *(02)*","Amber","1,000 USD m authorization","5","[H1 2026 Unaudited Interim Condensed Consolidated Financial Statements, Note 31(e), p.39; Business-model Disqualifier Scan — NU, 2026-08-30, §1]","capital-allocation-scorecard"
"A10-06","A10","Delisting & exit-offer conduct *(05)*","NA","No event","3","Reviewed materials","board-and-shareholder-rights"
"A11-01","A11","Holding-structure complexity (layer DEPTH and entity count vs the business)","Amber","3 observed layers","4","[FY25 Form 20-F, Item 4.C; CIQ Corporate Structure Tree, as of 2026-08-30 — Tier 5]","related-party-and-group-forensics"
"A11-02","A11","Trapped / round-tripped cash","Amber","13,551.611 USD m consolidated cash","4","[H1 2026 Interim Report, p.8; FY25 Form 20-F, Note 3, F-20]","related-party-and-group-forensics"
"A11-03","A11","Inter-corporate loans & deposits","Insufficient","N/A N/A","4","[FY25 Form 20-F, Note 3, F-19–F-20]","related-party-and-group-forensics"
"A11-04","A11","Listed-vs-unlisted sibling leakage","Insufficient","0 disclosed flow","3","[management-governance/07, Section 3; H1 2026 Interim Report, Note 35(b)]","related-party-and-group-forensics"
"A11-05","A11","Subsidiary financial transparency","Amber","5 principal regulated subsidiaries disclosed","4","[FY25 Form 20-F, Note 3, F-19–F-20]","related-party-and-group-forensics"
"A11-06","A11","Unlisted material-subsidiary governance *(India)*","NA","N/A jurisdiction","5","[FY25 Form 20-F, cover page]","related-party-and-group-forensics"
"A11-07","A11","Off-balance-sheet entities with recourse","Insufficient","N/A N/A","4","[FY25 Form 20-F, Note 3, F-20]","related-party-and-group-forensics"
"A12-01","A12","Attrition","Insufficient","15.0 % year-on-year employee-count growth","5","[FY2025 Form 20-F, Item 6D — Employees, p.200]","incentives-and-compensation"
"A12-02","A12","Median-employee pay vs executive pay","Insufficient","","4","[FY2025 Form 20-F, Item 6B and Item 6D, pp.194, 200]","incentives-and-compensation"
"A12-03","A12","ESOP pool breadth","Amber","88 % of active employees granted share awards","5","[FY2025 Form 20-F, Business — World-Class Talent; Note 10 — Share-based payments, F-45–F-46; Item 6B — Omnibus Incentive Plan, pp.196–197]","incentives-and-compensation"
"A12-04","A12","Workplace-conduct record","Insufficient","3.795 USD m labor-risk provision","5","[FY2025 Form 20-F, Note 25 — Provisions and contingent liabilities, F-75; Item 16B — Code of Ethics, p.240]","incentives-and-compensation"
"A13-01","A13","Professional CEO vs promoter-run","Amber","1 founder CEO","4","[S1]","people-integrity-dossiers"
"A13-02","A13","View on the CEO (operating record)","Insufficient","0 adverse records proven","2","[S1; S10]","people-integrity-dossiers"
"A13-03","A13","Promoter vintage & involvement","Green","13 years since founding","5","[S1; S2]","people-integrity-dossiers"
"A13-04","A13","Top-management team vintage *(01)*","Green","8 median years at Nu","4","[FY2025 Form 20-F, Item 6A, pp. 190–192; Capital IQ Professionals, data as of 2026-08-29]","management-and-track-record"
"A13-05","A13","Second-level team quality & bench *(01)*","Amber","9 named management officers","5","[FY2024 Form 20-F, Item 6A, p. 272; FY2025 Form 20-F, Item 6A, pp. 190–192]","management-and-track-record"
"A13-06","A13","Family dynamics / succession disputes","Insufficient","0 disputes proven","2","[S1; S10]","people-integrity-dossiers"
"A13-07","A13","Promoter's other material businesses","Amber","7 named holder vehicles","3","[S1]","people-integrity-dossiers"
"A13-08","A13","Sensitive government dealings","Amber","1 former BCB president on team","4","[S7; S8]","people-integrity-dossiers"
"A13-09","A13","Political connect","Amber","1 former PEP","4","[S7; S8]","people-integrity-dossiers"
"A14-01","A14","Leverage level (governance lens) *(owner: 11)*","NA","N/A turns","5","[H1 FY26 Interim Report, financial position]","accounting-forensics"
"A14-02","A14","Loans & advances level *(owner: 11)*","Insufficient","Not quantified % assets","4","[FY25 Form 20-F, Note 28]","accounting-forensics"
"A14-03","A14","Quality of lenders / bankers *(owner: 12)*","Insufficient","1 named creditor (DFC) in limited relationship graph; full roster unavailable lenders","2","Capital IQ relationship graph, 2026-08-29","regulatory-legal-and-compliance"
"A15-01","A15","Exchange surveillance & volatility","Insufficient","0 24-month NYSE surveillance-status records","4","[CIQ Equity Listings, 2026-08-28 — vendor export]","ownership-and-insider-behavior"
"A15-02","A15","Volume & liquidity","Green","1098.5 US$ million average daily traded value, calculated","4","[CIQ Equity Listings, 76.82m three-month average volume × US$14.30 close, 2026-08-28 — vendor export]","ownership-and-insider-behavior"
"A15-03","A15","Research coverage","Green","33 CIQ research contributors","4","[CIQ Analyst Coverage, current extract 2026-08-29 — vendor export]","ownership-and-insider-behavior"
"A15-04","A15","Pre-announcement price conduct","Insufficient","0 completed announcement-window price/volume tests","3","[Charting Excel Export, 2026-08-29; CIQ Public Ownership → Insider Trading, through 2026-08-26 — vendor exports]","ownership-and-insider-behavior"
"A16-01","A16","Identity resolution","Amber","1 SEC CIK anchored","3","[S1; S9]","people-integrity-dossiers"
"A16-02","A16","Directorship map (current, past, struck-off)","Insufficient","24 people","2","[S1; S3; S8]","people-integrity-dossiers"
"A16-03","A16","Disqualification registers","Insufficient","24 people","2","[S10]","people-integrity-dossiers"
"A16-04","A16","Criminal proceedings & arrests","Insufficient","0 attributed proceedings","2","[S10; S11]","people-integrity-dossiers"
"A16-05","A16","Civil / commercial litigation history","Insufficient","0 attributed matters","2","[S1; S10]","people-integrity-dossiers"
"A16-06","A16","Securities-regulator actions","Insufficient","0 attributed actions","2","[S10]","people-integrity-dossiers"
"A16-07","A16","Wilful-defaulter / fraud-borrower lists","Insufficient","24 people","1","[S10]","people-integrity-dossiers"
"A16-08","A16","Insolvency history — the corporate-graveyard test","Insufficient","24 people","2","[S1; S10]","people-integrity-dossiers"
"A16-09","A16","Sanctions & watchlists","Insufficient","0 attributed matches","2","[S10]","people-integrity-dossiers"
"A16-10","A16","PEP status & political exposure","Amber","1 former PEP","4","[S7; S8]","people-integrity-dossiers"
"A16-11","A16","Credential verification","Insufficient","24 people","2","[S1]","people-integrity-dossiers"
"A16-12","A16","Adverse media (dated, tiered)","Insufficient","0 attributed credible reports","2","[S11]","people-integrity-dossiers"
"A16-13","A16","Undisclosed related entities","Amber","7 disclosed holder vehicles","3","[S1]","people-integrity-dossiers"
