source_id,source_type,filename_filing,period,page_section,date,confidence,used_for
S03-02,Earnings transcript,Amazon.com Inc. Q4 2025 Earnings Call Feb 05 2026.pdf,Q4 2025,"pp.4–30 (prepared remarks; Q&A); p.8–9 (charges); p.10–11 (FCF ROIC Q&A)",2026-02-05,4,Q4 charges disclosure; FCF Q&A; full-year operating income
S03-03,Earnings transcript,Amazon.com Inc. Q3 2025 Earnings Call Oct 30 2025.pdf,Q3 2025,"pp.4–30 (prepared remarks; Q&A); pp.4–8 (FTC + severance charges)",2025-10-30,4,Q3 miss disclosure; tone in bad times; FTC settlement; Anthropic investment note
S03-04,Earnings transcript,Amazon.com Inc. Q2 2025 Earnings Call Jul 31 2025.pdf,Q2 2025,pp.4–30,2025-07-31,4,Mid-year results vs guidance; baseline tone check
S04-01,Cross-module output,analyses/AMZN_2026-07-03/business-model/01_disqualifier-scan.md,FY2023–FY2025,§1 Disqualifier Check (all 8 rows); §3 Verdict-Lock Signal,2026-07-03,5,Disqualifier status (all 8 clear); no verdict lock; no integrity flag; pledging confirmed not triggered; RPT confirmed not triggered
S04-02,Cross-module output,analyses/AMZN_2026-07-03/business-model/11_capital-allocation-governance.md,FY2023–FY2025,§1 Signal Table (all rows),2026-07-03,5,Cross-check capital allocation signals; share count data; capex ratio; net cash; superseded by this module
S04-03,Cross-module output,analyses/AMZN_2026-07-03/business-model/12_red-flags-sweep.md,FY2023–FY2025,§2–§3 (Anthropic; litigation; semiconductor dependency),2026-07-03,5,Anthropic investment earnings quality concern; cross-cutting red flags
S04-04,Cross-module output,analyses/AMZN_2026-07-03/business-model/02_business-identity.md,FY2024–Q1 2026,§1–§4 (business type; control context),2026-07-03,5,Business type classification (broadline retail + cloud platform); US GAAP; USD; December fiscal year
S04-05,Cross-module output,analyses/AMZN_2026-07-03/earnings/06_earnings-quality.md,FY2021–LTM Mar 2026,"§4–§9 (non-GAAP; one-offs; accrual quality; CFO/EBITDA; server useful-life; EPS quality)",2026-07-03,5,CFO/EBITDA >95%; recurring restructuring pattern; Anthropic mark-to-market inflation; server useful-life changes
S04-06,Cross-module output,analyses/AMZN_2026-07-03/earnings/04_guidance-consensus.md,Q2 2025–Q1 2026,§2–§6 (guidance vs actuals; beat/miss history),2026-07-03,5,Guidance track record; beat/miss history; Amazon's conservative guidance practice
S05-01,Web source (unverified),2026 DEF 14A as reported by Yahoo Finance / salary.com / GeekWire / RevenueMemo / TheStreet,FY2025 / 2026 Annual Meeting (May 20 2026),"Compensation Discussion; beneficial ownership table; committee assignments; say-on-pay vote results",Apr–May 2026 (web-sourced),2,CEO/CFO compensation totals; RSU grant details; board independence; committee composition; say-on-pay data
S05-02,Web source (unverified),Various sources (Morningstar; SOC Investment Group; NYC Comptroller; GeekWire),2022–2026,Say-on-pay vote percentages by year; proxy-advisor recommendation history; director opposition history,Various 2022–2025 (web-sourced),2,Multi-year say-on-pay opposition data; ISS recommendation pattern; director McGrath opposition context
S05-03,Web source (unverified),"13finsight.com; bitget.com citing Form 4 filings",Jul 2025,Bezos ~$5B selling at $221–$233,Jul 2025 (web-sourced),2,Bezos selling timing context (market-conduct adverse-timing test); labeled unverified; not used to trigger any red flag
