source_id,agent,source_type,filename_or_filing,period,page_or_section,date,confidence,used_for
02-S10,02,Web (dated unverified),"TechCrunch, Uber's $14.8B Delivery Hero deal",-,2026-07-16,2,Synergy target and gross-leverage target not in pool
03-S1,03,Capital IQ vendor export,"Uber Technologies Inc NYSE UBER Financials.xls, Cash Flow tab",FY2024-LTM Jun-2026,Stock-Based Compensation row,2026-08-06,5,Company-wide SBC figure
03-S2,03,Capital IQ vendor export,"Uber Technologies Inc NYSE UBER Financials.xls, Supplemental tab",FY2020-FY2025,Stock Based Comp Exp Before/After Tax,2026-08-06,5,Cross-check of SBC figure
03-S3,03,Earnings-call transcript,"Uber Technologies, Inc., Q2 2026 Earnings Call, Aug-05-2026.pdf",Q2 FY2026,CFO remarks p.12,2026-08-05,3,Capital-return/buyback-framework signal
03-S4,03,In-module cross-reference,01_management-and-track-record.md,FY2025-FY2026,§3 Stated Strategy,2026-08-06,3,Corroborates buyback quote no comp disclosure elsewhere
03-S5,03,In-module cross-reference,00_governance-data-triage.md,-,Proxy/compensation-gap confirmation,2026-08-06,5,Confirms filename-level absence of DEF14A etc
03-S6,03,Web (peer texture unverified),Lyft FY2025 DEF 14A third-party summary,FY2025,CEO annual bonus design,2026-08-06,2,Peer texture only not a Uber figure
03-S7,03,Web (peer texture unverified),DoorDash 2020 CEO Performance Award trackers,FY2020 grant FY2025 reporting,CEO LTIP design,2026-08-06,2,Peer texture only not a Uber figure
04-S1,04,Capital IQ beneficial-ownership/insider export (vendor),UberTechnologiesIncNYSEUBER_CIQReportLandscape.rtf,As of report date,Public Ownership Summary Top 25 Holders Insider Trading Activity,2026-08-05,3,Ownership % institutional holders insider transactions
04-S2,04,Capital IQ board profiles (vendor),Uber Technologies Inc NYSE UBER Board Members.rtf,Current roster,Alnowaiser bio,2026-08-05,3,PIF board-seat link Audit Committee membership
04-S3,04,Capital IQ public-company profile (vendor),Uber Technologies Inc NYSE UBER Public Company Profile.rtf,Current,Float % Shares Out Shares Sold Short,2026-08-05,3,Float % share count short interest Toyota legacy investor
04-S4,04,Cross-module output,business-model/01_disqualifier-scan.md,Aug-2026,Disqualifier #2,2026-08-06,4,Independent confirmation of no pledge structure
04-S5,04,Cross-module output,business-model/11_capital-allocation-governance.md,Aug-2026,Signal Table insider-ownership row,2026-08-06,4,Cross-check of 0.18% insider ownership figure
04-S6,04,In-module output,00_governance-data-triage.md,Aug-2026,§3 Governance Usability Check,2026-08-06,4,Data-sufficiency caveats
04-S7,04,In-module output,01_management-and-track-record.md,Aug-2026,§1 §4,2026-08-06,4,CEO non-founder status FQ1 2026 guidance-beat context
05-S1,05,SEC proxy statement (primary Tier 1),"Uber Technologies, Inc. FY2026 DEF 14A",FY2025 comp/Mar-2026 record date/May-2026 AGM notice,pp.2 10-11 20 28 33-34 44 80,2026-03-23,5,Board composition committee independence related-party takeover defenses voting Say-on-Pay beneficial ownership
05-S2,05,Capital IQ board profiles (vendor),Uber Technologies Inc NYSE UBER Board Members.rtf,Current roster,Full document,2026-08-05,3,Corroborates director bios Board Observer status committee tags
05-S3,05,Capital IQ full company report (vendor),UberTechnologiesIncNYSEUBER_CIQReportLandscape.rtf,Ownership as of ~Aug-05-2026,Public Ownership Summary Top 25 Holders,2026-08-05,3,Corroborates PIF stake and institutional-holder concentration
05-S4,05,Cross-module output,business-model/11_capital-allocation-governance.md,FY2021-LTM Jun-2026,Signal Table RPT row share-count row,2026-08-06,4,PIF/Alnowaiser board-seat flag share-count trajectory
05-S5,05,Cross-module output,business-model/01_disqualifier-scan.md,FY2022-FY2025,§1 rows 2 3,2026-08-06,4,Confirms no promoter/pledge structure no RPT disqualifier
05-S6,05,Governance data triage,00_governance-data-triage.md,Current,§3 §5 §5B,2026-08-06,4,Documents the original pool gap this report closes
05-S7,05,Web (unverified corroborating only),stocktitan.net summary of FY2026 DEF 14A,Mar-2026,-,2026-08-06,2,Cross-check of the primary-filing read only
06-S1,06,Earnings-call transcript (verbatim),"Uber Technologies, Inc., Q2 2026 Earnings Call, Aug-05-2026.pdf",Q2 FY2026,Full text pp.4-15,2026-08-05,3,Owning-the-miss read Q&A directness M&A rationale headcount challenge
06-S2,06,Cross-module output,earnings/06_earnings-quality.md,FY2021-LTM Jun-2026,§1 §4 §5 §7 §8 §9,2026-08-06,4,Non-GAAP aggressiveness GAAP-to-adjusted gap deferred-tax distortion
06-S3,06,Cross-module output,earnings/04_guidance-consensus.md,FQ3 2025-FQ2 2026,§2 §6,2026-08-06,4,Revenue guidance discontinuation date consensus-miss pattern
06-S4,06,Cross-module output,business-model/12_red-flags-sweep.md,FY2023-FY2025,Non-operating net-income composition row,2026-08-06,4,Corroborates deferred-tax/mark-to-market distortion
06-S5,06,In-module upstream,01_management-and-track-record.md,FY2019-FQ2 2026,§4 §4A,2026-08-06,4,Misses to assess communication around confirms no RF-MGT-005
06-S6,06,In-module triage,00_governance-data-triage.md,-,§1 §2 §5,2026-08-06,4,Confirms no proxy/10-K/shareholder letter single-quarter transcript limitation
