From Agent,Source ID,Source Type,Filename / Filing,Period,Page / Section,Date,Confidence 1-5,Used For
02,S08,CapIQ investment-analysis export,Haier Smart Home Co Ltd SHSE 600690 Investment Analysis Direct Investments.xls,multi-year (2010-2024 deal dates),Full export,2026-08-13,4,"M&A deal dates, sizes, status — GEA/Candy/HEG/Kwikot/FPA-Production-Machinery entries"
02,S09,CapIQ material-event log,Haier Smart Home Co Ltd SHSE 600690 Key Developments.xls,last 6 months through 2026-06-30,Full log,2026-08-13,4,"Buyback plan announcements, tranche updates, and closure figures (both FY2025 and FY2026 programs)"
02,S10,CapIQ corporate-events timeline,Haier Smart Home Co Ltd SHSE 600690 Corporate Timeline.rtf,multi-year,Full log,2026-08-13,4,Cross-check on buyback dates/amounts
02,S11,Cross-module,analyses/HAIER_2026-08-13/earnings/01_historical-financials.md,FY2021-FY2025,§1,2026-08-13,5,"CFO/capex/FCF/net-debt annual table, net-cash-cushion trend narrative"
02,S12,Cross-module,analyses/HAIER_2026-08-13/earnings/04_guidance-consensus.md,FY2026-28 guidance,§2,2026-08-13,5,Declared-basis dividend payout ratio and capital-return floor (cross-checked against S02)
02,S13,Cross-module,analyses/HAIER_2026-08-13/business-model/11_capital-allocation-governance.md,FY2021-FY2025,"§1, §4",2026-08-13,5,"Prior quick-read's acquisition-pattern list and score (66/100), superseded here per MODULE_RULES"
02,S14,Cross-module,analyses/HAIER_2026-08-13/management-governance/01_management-and-track-record.md,FY2025-26,"§4, Finding 01-009",2026-08-13,5,"GE Appliances promise-vs-delivery read (Kept), goodwill figure cross-check"
02,S15,Web (unverified),yicaiglobal.com and prnewswire.com — Haier Smart Home / Carrier Commercial Refrigeration acquisition coverage,"deal announced Dec-2023, closed Oct-2024",—,2026-08-13 (search date),2,"CCR deal price (~$640mm signing / ~$775mm EV at close) — not present in this data pool's filings or CapIQ export; used only because the FY2025 goodwill note confirms a ""CCR"" CGU exists and this is the only deal that name can plausibly refer to"
03,S01,"Audited annual report (HKEX, IFRS, translated from Chinese)",Haier_Smart_Home_Co_Ltd_-_Form_Annual_Report(Apr-27-2026).pdf,FY2025,"Directors' Report §""董事薪酬"", pp.121; Share Award Plan §""股份獎勵計劃"", pp.126–146; CG Report §""薪酬與考核委員會"", pp.94–95",2026-08-13 (pull date),5,"Compensation policy, LTI metrics/weights/thresholds, equity-plan mechanics"
03,S02,"Audited annual report (SSE, Chinese ASBE original)",Haier_Smart_Home_Co_Ltd_-_Form_Annual_Report(Mar-26-2026).pdf,FY2025,Financial highlights table (加权平均净资产收益率),2026-08-13,5,FY2025/FY2024 actual weighted-average ROE vs. LTIP hurdle
03,S03,Financial statements notes (HKEX version),Haier_Smart_Home_Co_Ltd_-_Form_Annual_Report(Apr-27-2026).pdf,FY2025/FY2024,"Notes 8, 9, 12, 13(b)",2026-08-13,5,"EPS/net-profit figures, 5-highest-paid-employee bands, KMP aggregate pay"
03,S04,CapIQ compensation export,Haier Smart Home Co Ltd SHSE 600690 Compensation Summary Compensation.rtf,FY2022–FY2025,Full table,2026-08-13,4,Individual CEO/CFO/director pay figures (reconciled per §1 note)
03,S05,CapIQ financial ratios export,Haier-Smart-Home-Co-Ltd-SHSE-600690-Financials-1__Ratios.txt,FY2021–LTM Mar-2026,Profitability block,2026-08-13,4,Cross-check of company-disclosed ROE against CIQ's own ROE/Return-on-Common-Equity calculation
03,S06,CapIQ governance export,Haier Smart Home Co Ltd SHSE 600690 Takeover Defenses.xls,current,Corporate Governance sheet,2026-08-13,4,Supermajority voting threshold for equity-plan/bylaw approval; no say-on-pay mechanism confirmed
03,S07,Cross-module,analyses/HAIER_2026-08-13/management-governance/01_management-and-track-record.md,FY2025-26,"§1, §2",2026-08-13,5,"New-CFO thin-disclosure context, board/CEO tenure background"
03,S08,Cross-module,analyses/HAIER_2026-08-13/business-model/02_business-identity.md,FY2025,§2,2026-08-13,5,Revenue growth context
03,S09,Web (unverified),"Web search ""Midea Group Gree Electric CEO chairman total compensation 2025 annual report RMB""",2025 (as reported),—,2026-08-13,2,"Domestic peer CEO pay magnitude and mix, for benchmarking context only"
04,S1,"Audited annual filing (SSE, China ASBE)",Haier_Smart_Home_Co_Ltd_-_Form_Annual_Report(Mar-26-2026).pdf,FY2025 (2025-12-31),"股东和实际控制人情况, p.103-107; 董事和高级管理人员持股变动, p.64-65; 关联方关系, p.228",2026-03-26,5,"Controlling-bloc ownership breakdown, pledge status, director/officer holdings"
04,S2,"Audited annual filing (HKEX, IFRS)",Haier_Smart_Home_Co_Ltd_-_Form_Annual_Report(Apr-27-2026).pdf,FY2025 (2025-12-31),"董事及行政總裁於股份及相關股份之權益及淡倉, p.121-122",2026-04-27,5,Director H-share interests; total share capital by class
04,S3,Vendor ownership export (Capital IQ),Haier Smart Home Co Ltd SHSE 600690 Public Ownership Summary.rtf,positions through Mar/Jun/Jul/Aug-2026; insider activity May-Aug 2026,"Ownership Summary, Top Holders, Top Buyers and Sellers, Ownership Activity",2026-08-11/12 (position dates vary),3,"Institutional holder list, aggregate insider buy/sell counts, ESOP line item"
04,S4,Vendor ownership export (Capital IQ),Haier Smart Home Co Ltd SHSE 600690 Private Ownership.rtf,current,Investors table,current,3,"Confirms Haier Group affiliated private/strategic holders (Qingdao Haier Venture Capital Consulting, Haier COSMO, etc.)"
04,S5,Vendor ownership export (Capital IQ),Haier Smart Home Co Ltd SHSE 600690 Public Holdings Detailed.xls,2026-07-14,Detailed tab,2026-07-14,3,"Cross-check of a single large public institutional holder (Bank of Qingdao stake, unrelated to Haier control group)"
04,S6,Board/control-structure export (Capital IQ),Haier Smart Home Co Ltd SHSE 600690 Takeover Defenses.xls,current,"Corporate Governance tab, Takeover Defenses tab",current,4,"Dual-class status, supermajority thresholds, EGM-call rights, golden-parachute absence"
04,S7,Board export (Capital IQ),Haier Smart Home Co Ltd SHSE 600690 Board Members.rtf,current,Individual director bios,current,4,Cross-affiliation of directors with Haier Group entities
04,S8,Corporate-structure export (Capital IQ),"Haier Smart Home Co., Ltd. (SHSE_600690) Corporate Structure Tree.xls",current,Aggregates tab,current,3,Subsidiary/sector concentration for the Filter 6 unaligned-owner test
04,S9,Cross-module input,business-model/01_disqualifier-scan.md,FY2025,Disqualifier #2 (pledging),2026-08-13,5,"Independent pledge-ratio computation (0%), cross-checked against this module's own read"
04,S10,Cross-module input,business-model/11_capital-allocation-governance.md,FY2025,"Signal table — Insider/promoter ownership, Related-party transactions",2026-08-13,4,Corroborates 37.45%/34.49% ownership figures and flags the affiliated finance-co relationship as a separate capital-allocation risk
04,S11,Compensation export (Capital IQ),Haier Smart Home Co Ltd SHSE 600690 Compensation Summary Compensation.rtf,FY2022-FY2025,Restricted Stock Awards rows by named executive,current,4,Confirms RSA/ESOP grant mechanism behind director/officer share increases
05,S01,CapIQ board export,Haier Smart Home Co Ltd SHSE 600690 Board Members.rtf,current,Full roster,2026-08-13 (pull date),4,"Board size, director titles, independence labels, tenure, other-board affiliations"
05,S02,CapIQ committee export,Haier Smart Home Co Ltd SHSE 600690 Committees.rtf,current,Full roster,2026-08-13,4,Audit / Compensation / Nominating / Other Committee membership
05,S03,CapIQ control-structure export,"Haier Smart Home Co Ltd SHSE 600690 Takeover Defenses.xls (Corporate Governance, Takeover Defenses, Compare Defenses tabs)",current,Full export,2026-08-13,4,"Poison pill, dual-class, cumulative voting, EGM threshold, bylaw-amendment threshold, executive-severance provisions"
05,S04,CapIQ material-event log,Haier Smart Home Co Ltd SHSE 600690 Key Developments.xls,last ~6 months (through 2026-06-30),Full log,2026-08-13,4,"AGM agenda/outcome, buyback tranches, dividend actions, director appointment"
05,S05,CapIQ ownership export,Haier Smart Home Co Ltd SHSE 600690 Public Ownership Summary.rtf,positions through Jul-2026,Top Holders table,2026-08-13,4,"Controlling shareholder stake (Haier Group Corporation, 37.45%)"
05,S06,"Filing (HKEX, IFRS) — translated",Haier_Smart_Home_Co_Ltd_-_Form_Annual_Report(Apr-27-2026).pdf,FY2025 (ended Dec-31-2025),"Board's Report ""關連交易"" pp.149-155; Notes, Note 13, pp.274-278; Financial Review pp.77-78",filed 2026-04-27,5,"Related-party goods/services transactions, Haier Group Finance Co. cash/lending relationship, guarantee balances"
05,S07,Cross-module,analyses/HAIER_2026-08-13/business-model/11_capital-allocation-governance.md,FY2021-FY2025,§1 signal table,2026-08-13,5,"RPT figures, ownership stake, share-count trend, cross-check on materiality read"
05,S08,Cross-module,analyses/HAIER_2026-08-13/business-model/01_disqualifier-scan.md,FY2025,"§1, §3, §4",2026-08-13,5,Confirmation no RPT/pledge/audit disqualifier triggered; broader CAS-note RPT figures for context
05,S09,Cross-module,analyses/HAIER_2026-08-13/management-governance/01_management-and-track-record.md,FY2025-26,§§1-2,2026-08-13,5,"Board-refresh timeline cross-check, controlling-shareholder framing"
05,S10,CapIQ financials export,"Haier Smart Home Co Ltd SHSE 600690 Financials.xls, Balance Sheet tab",Dec-2021 through Mar-2026,Total Equity row,2026-08-13,4,Net-worth denominator for RPT % of net worth calculations
06,S01,Cross-module,analyses/HAIER_2026-08-13/management-governance/01_management-and-track-record.md,FY2025-2026,"§§4-5, 4A",2026-08-13,5,"Promise-vs-delivery record, integrity-signal check"
06,S02,Cross-module,analyses/HAIER_2026-08-13/earnings/06_earnings-quality.md,FY2021-2025,"§§4, 5, 7, 8, 9, 10",2026-08-13,5,"Non-GAAP adjustment discipline, one-off items, accrual quality"
06,S03,Cross-module,analyses/HAIER_2026-08-13/earnings/04_guidance-consensus.md,FY2026 / trailing 4 quarters,"§§0, 2, 6, 7",2026-08-13,5,"Guidance regime, beat/miss pattern, sourcing note on transcript absence"
06,S04,Cross-module,analyses/HAIER_2026-08-13/earnings/08_earnings-red-flags.md,FY2025-2026,Findings table,2026-08-13,5,"Unverified NA claim flag, no-transcript flag, subsidy-labelling flag"
06,S05,Cross-module,analyses/HAIER_2026-08-13/business-model/11_capital-allocation-governance.md,FY2025,§1,2026-08-13,5,Related-party/financing disclosure granularity
06,S06,Cross-module,analyses/HAIER_2026-08-13/business-model/01_disqualifier-scan.md,FY2025,§3,2026-08-13,5,Integrity-signal confirmation (none routed)
06,S07,Cross-module,analyses/HAIER_2026-08-13/management-governance/00_governance-data-triage.md,current,§5,2026-08-13,5,Partial-data cap and transcript-staleness confirmation
06,S08,Filing,Haier_Smart_Home_Co_Ltd_-_Form_Annual_Report(Mar-26-2026).pdf [SSE/CAS],FY2025,"Business Review / MD&A, p.14 (non-recurring items table)",filed 2026-03-26,5,"Non-recurring items table, narrative drag language"
06,S09,Filing,Haier_Smart_Home_Co_Ltd_-_Form_Annual_Report(Apr-27-2026).pdf [HKEX/IFRS],FY2025,"Business Review §VI, p.64-65; Connected Transactions pp.149-155",filed 2026-04-27,5,"FY2026 operating plan/KPI targets, related-party detail"
06,S10,Filing,2026 First Quarter Report,Q1 2026,p.2,filed 2026-04-27,3,Ex-North-America operating profit claim (unreconciled)
