agent,source_id,source_type,filename_or_filing,period,page_or_section,date,confidence_1_to_5,used_for
02_capital-allocation-scorecard,S7,"Interim filing (unaudited, condensed)",`Q2 FY26 Interim Report`,Three and six months to 30 Jun 2026,Note 8 / Note 10 — Share-based compensation,2026-08-14,5,"H1 2026 share-based compensation expense US$216,826k for the buyback-vs-dilution test"
02_capital-allocation-scorecard,S8,"Interim filing (unaudited, condensed)",`Q2 FY26 Interim Report`,30 Jun 2026 vs 31 Dec 2025,Note 24 — Borrowings and financing,2026-08-14,5,"Borrowings 4,682.3 vs 4,398.2 — the debt-funding test on the buyback"
02_capital-allocation-scorecard,S9,Data vendor export,`CIQ Financials→Cash Flow export (bank template)`,FY2021–LTM Jun-30-2026,"Cash Acquisitions, Divestitures, Capital Expenditures, Purchase/Sale of Intangibles, Repurchase of Common Stock, Total Dividends Paid, Total Debt Issued/Repaid, Issuance of Common Stock, Net Incr. in Deposit Accounts",Aug-2026,3,Multi-year uses-of-capital series not presented in that form in the filings
02_capital-allocation-scorecard,S10,Data vendor export,`CIQ Financials→Balance Sheet export`,FY2021–30 Jun 2026,"Gross Loans, Allowance For Loan Losses, Goodwill, Total Equity, Retained Earnings, Total Assets",Aug-2026,3,Loan-book growth; equity series for the incremental-return calculation
02_capital-allocation-scorecard,S11,Data vendor export,`CIQ Financials→Ratios export`,FY2021–LTM Jun-30-2026,"Return on Equity %, Tier 1 Capital Ratio %, Nonperforming Loans / Total Loans %",Aug-2026,3,ROE trend; capital-cushion and asset-quality trend
02_capital-allocation-scorecard,S12,Data vendor export,`CIQ Financials→Income Statement export`,FY2021–LTM Jun-30-2026,Diluted EPS Excl. Extra Items; Weighted Avg. Basic and Diluted Shares Out.,Aug-2026,3,Per-share outcome and the pre-buyback dilution trend
02_capital-allocation-scorecard,S13,Data vendor export,`CIQ Financials→Multiples export`,Quarter ending 2026-06-30,P/BV High / Average / Low,Aug-2026,3,Buyback price vs the stock's own contemporaneous valuation range
02_capital-allocation-scorecard,S14,Data vendor export,`CIQ Financials→Historical Capitalization export`; `CIQ Financials→Key Stats export`,Mar-2025 – Jun-2026,"Tier 1 Capital, Tier 1 Capital Ratio %, Share Price at each filing date; Key Stats share price 14.88",Aug-2026,3,Tier 1 capital in dollars through the buyback quarter; the share-price conflict recorded in §3
02_capital-allocation-scorecard,S15,Data vendor export (news/event),`CIQ Key Developments export`,Jun-04-2026,Buyback Transaction Announcements,Aug-2026,2,The only public statement of funding source and treasury-or-cancel intent
02_capital-allocation-scorecard,S16,Data vendor export,`CIQ Transaction Summary M&A/Private Placements export`,10-year history to Aug-2026,Transaction Summary,Aug-2026,3,Deal count and the blank Size field on Banco Porto Real
02_capital-allocation-scorecard,S17,Data vendor export,`CIQ Public Ownership→Insider Trading export`,All history to 2026-08-26,Insider/Individual Trades (Form 4 derived),2026-08-26,3,"""Sale to Issuer"" transactions; insider open-market sale prices vs the buyback price"
02_capital-allocation-scorecard,S18,Deterministic facts sidecar,`ciq_facts.json` (frozen generation `f9081efa…09f2be`),As-of 2026-08-26 to 2026-08-29,"`ltm_ebitda_m` (unknown), `ltm_ocf_m`, `current_price`, `segments_revenue`, `geographic`, `top_institutional_holders`",2026-08-29,3,"Pinned shared numbers; the authoritative read that no EBITDA line exists, which forces the equity-based incremental-return substitute"
02_capital-allocation-scorecard,S19,Transcript,`Q2 2026 earnings-call transcript`,Q2 2026,Full transcript — prepared remarks and Q&A,2026-08-13,3,"Affirmative absence: zero mentions of repurchase, buyback or capital on the first call after the programme began"
02_capital-allocation-scorecard,S20,Transcript,`Q4 2025 earnings-call transcript`,Q4 2025,Prepared remarks — capital and liquidity,2026-02-25,3,"The last public discussion of the capital position before the buyback (""$2.2 billion represents excess capital in our operating entities"")"
02_capital-allocation-scorecard,S21,Cross-module output,`analyses/NU_2026-09-06/earnings/01_historical-financials.md`,FY2021–H1 2026,"CFO/FCF table, capex definition, CFO basis reconciliation",2026-09-06,4,Company-basis CFO and FCF series; the two-basis reconciliation used throughout
02_capital-allocation-scorecard,S22,Cross-module output,`analyses/NU_2026-09-06/business-model/11_capital-allocation-governance.md`,FY2021–H1 2026,Signal table; buyback paragraph; §4 score build,2026-09-06,4,"The quick-read this report deepens; control structure, pledge status, unused-limit exposure, all sourced onward to the 20-F"
02_capital-allocation-scorecard,S23,Cross-module output,`analyses/NU_2026-09-06/management-governance/01_management-and-track-record.md`,FY2021–2026,§2 Management Stability; §4 Promise vs Delivery,2026-09-06,4,Promise-vs-delivery cross-check; bench depth as the managerial constraint on M&A capacity
02_capital-allocation-scorecard,S24,Annual filing (audited),`FY25 Form 20-F`,FY2025,"Item 4 — business description (Easynvest/Nu Investimentos, Akala/Nu Mexico Financiera, Hyperplane)",2026-04-08,5,"Named acquisitions, dates and stated rationales"
02_capital-allocation-scorecard,S25,Data vendor export,`Company Comparable Analysis Nu Holdings Ltd`,As-of 2026-08-29,Operating Statistics and Financial Data sheets,2026-08-29,3,Peer set identification; the affirmative finding that no peer capital-return data exists in the pool
03_incentives-and-compensation,S1,"Annual filing (20-F, FPI proxy-equivalent)",`data/NU/Filings/Nu_Holdings_Ltd_-_Form_20-F(Apr-08-2026).pdf` — FY25 Form 20-F,FY2025 (YE 31-Dec-2025),"Item 6.B Compensation, printed p.193–199",2026-04-08,5,"Compensation structure, peer-group process, bonus and RSU description, plan terms, repricing prohibition, change-of-control mechanics, director pay policy"
03_incentives-and-compensation,S2,Notes to audited accounts,"Same filing — Note 10, Share-based payments",FY2025,printed p.F-45 to F-47,2026-04-08,5,"SOP/RSU roll-forwards, grant-date fair values, share-based compensation expense, vesting-period mix, ""no SOPs granted in 2025 and 2024"""
03_incentives-and-compensation,S3,Notes to audited accounts,"Same filing — Note 28(b), Management compensation",FY2025,printed p.F-77,2026-04-08,5,"Aggregate directors + KMP pay US$91,269k / US$96,007k / US$60,117k"
03_incentives-and-compensation,S4,Notes to audited accounts,"Same filing — Note 8, Expenses by nature",FY2025,printed p.F-42 / F-43,2026-04-08,5,"Salaries and associated benefits, other personnel costs, share-based compensation by function; the function-allocation rule"
03_incentives-and-compensation,S5,Notes to audited accounts,"Same filing — Note 25, Provisions and contingent liabilities",FY2025,printed p.F-75 / F-76,2026-04-08,5,Labor provision and movement; possible-loss civil and labor contingencies (A12-04)
03_incentives-and-compensation,S6,Notes to audited accounts,"Same filing — Equity note, shares authorized and unissued",FY2025,printed p.F-85,2026-04-08,5,"Shares issued 4,855,673,632; 228,167,482 reserved for share-based payments (overhang)"
03_incentives-and-compensation,S7,Annual filing (20-F),"Same filing — Item 6.C, 6.D, 6.F, Item 7.A, Item 10.B",FY2025,"printed p.143, 188–192, 202, 203–204, 217",2026-04-08,5,"Controlled-company exemptions, headcount by function, clawback statement, beneficial ownership, general-meeting and shareholder-proposal rights"
03_incentives-and-compensation,S8,Exhibit to annual filing,"Same filing — Exhibit 97.1, Compensation Clawback Policy","Adopted 2023-10-02, in force FY2025",§2 (Recovery; impracticability; no indemnification),2026-04-08,5,"A6-06: 3-year lookback, no-fault standard, no gross-ups"
03_incentives-and-compensation,S9,Prior annual filing (20-F),`data/NU/.../Nu_Holdings_Ltd_-_Form_20-F-Apr-16-2025` — FY24 Form 20-F,FY2024,"Item 6.E — 2021 Contingent Share Award (CSA), printed p.288",2025-04-16,5,"CSA milestones, termination on 2022-11-29, no consideration, US$355.6m expense, up-to-2% dilution avoided, ~US$423m fair value"
03_incentives-and-compensation,S10,Prior annual filing (20-F),`data/NU/.../Nu_Holdings_Ltd_-_Form_20-F-Apr-21-2022` — FY21 Form 20-F,FY2021,"Item 6.E — Contingent Share Awards, printed p.244–245",2022-04-21,5,"Original CSA terms: US$18.69 / US$35.30 60-day VWAP milestones, 1% + 1% of fully diluted shares, US$422.6m grant-date fair value, ""nearly 100% of Mr. Vélez's total compensation"", 2020 CSA to Rua California Ltd."
03_incentives-and-compensation,S11,Deterministic facts sidecar (CIQ vendor export),`GENERATION_ROOT/ciq_facts.json`,as-of 2026-08-29,"`current_price` 14.3; `shares_outstanding_m` 4,830.7",2026-08-29,4,"Valuing the controller's stake; testing whether the CSA milestone would have been reached. Vendor figure, cited as a vendor figure — never under a filing's name"
03_incentives-and-compensation,S12,Vendor comparable-company export,`data/NU/Company Comparable Analysis Nu Holdings Ltd .xls` → Financial Data,as-of 2026-08-29,Company Comp Set (10 LatAm banks/fintechs),2026-08-29,3,"Establishing that no peer executive-pay data exists in the pool, and that Nu's listed comparables report pay on the same aggregate basis"
03_incentives-and-compensation,S13,Cross-module input (this run),`analyses/NU_2026-09-06/business-model/11_capital-allocation-governance.md`,FY2025 / H1 FY2026,Share-count trajectory; buyback programme,2026-09-06,4,Net dilution outcome and the US$1.0bn repurchase (finding 03-022); confirmation of the individual-pay disclosure gap
03_incentives-and-compensation,S14,Cross-module input (this run),`analyses/NU_2026-09-06/management-governance/01_management-and-track-record.md`,FY2025,A13-04 / A13-05 rows; succession disclosure,2026-09-06,4,Management-team context and the absence of disclosed succession planning behind the Compensation and People Committee's remit
03_incentives-and-compensation,S15,"Web search (labelled unverified, NOT used for any figure)",General web search for peer fintech executive-pay benchmarks,2026-09-06,—,2026-09-06,1,"Searched for a peer compensation benchmark; the only executive-pay figures returned were self-reported crowd-sourced estimates (below tier 10) and are not used. Recorded so the absence of a peer benchmark is a searched-and-not-found result, not an unexamined gap"
04_ownership-and-insider-behavior,S1,"Annual filing (Form 20-F, IFRS, English)",`data/NU/Nu_Holdings_Ltd_-_Form_20-F(Apr-08-2026).pdf`,FY2025 (year ended 2025-12-31),"Item 7.A Major Shareholders, table and fn.(1)–(6), pp.203–204",2026-04-08,5,"Beneficial ownership by class, share counts, voting-power percentages, control-group vehicles, 5% holders, absence of any pledge footnote (04-001, 003, 004, 005, 013, 016, 027, 028, 029, 030)"
04_ownership-and-insider-behavior,S2,Annual filing (Form 20-F),Same document,FY2025,Item 6.C — Controlled Company Exception; Item 16G,2026-04-08,5,Controlled-company status and the exemptions relied on (04-017)
04_ownership-and-insider-behavior,S3,Annual filing (Form 20-F),Same document,FY2025,"Item 7.B — Shareholder's Agreement (dated 2021-11-29, amended 2025-03-11)",2026-04-08,5,"Board-nomination ladder, committee designation, the ≥10% veto list, information rights (04-018, 04-019)"
04_ownership-and-insider-behavior,S4,Annual filing (Form 20-F),Same document,FY2025,Item 10.B — Memorandum and Articles of Association (voting rights; conversion; Preemptive or Similar Rights; the classifying date; requisition of general meetings),2026-04-08,5,"20:1 voting, the 10% conversion trigger, Class B pre-emptive rights, the classified-board trigger, loss of requisition rights (04-015, 04-020, 04-031)"
04_ownership-and-insider-behavior,S5,Annual filing (Form 20-F),Same document,FY2025,Item 6.B — Omnibus Incentive Plan and SOP (Class A ordinary shares available for issuance),2026-04-08,5,"Proof that Class B cannot be granted as compensation — the bought-vs-granted split (04-001, 04-007, 04-031)"
04_ownership-and-insider-behavior,S6,Annual filing exhibit,Same document,FY2025,"Exhibit 11.1 — Insider Trading Policy, ""Pledging or margin accounts for Nubankers""",2026-04-08,5,Pledging permitted with a 15-day pre-earnings blackout (04-014)
04_ownership-and-insider-behavior,S7,Annual filing (Form 20-F),Same document,FY2025,Notes 12 and 24 (securities and receivables pledged by the Group),2026-04-08,5,Isolating Group trading-collateral pledges from insider encumbrance (§3)
04_ownership-and-insider-behavior,S8,Annual filing (Form 20-F),Same document,FY2025,Item 4.C Organizational Structure; Items 8.A and 9.C,2026-04-08,5,"Top-holding-company status for Filter 6; absence of listing-standard or halt disclosure (04-021, 04-023)"
04_ownership-and-insider-behavior,S9,Prior annual filing (Form 20-F),`data/NU/Nu_Holdings_Ltd_-_Form_20-F(Apr-16-2025).pdf`,FY2024,Item 3.D / Item 6.C (88.6% of Class B = 75.2% of voting power),2025-04-16,5,Controller holding trend (04-002)
04_ownership-and-insider-behavior,S10,Prior annual filing (Form 20-F),`data/NU/Nu_Holdings_Ltd_-_Form_20-F(Apr-19-2024).pdf`,FY2023,Item 3.D (88.8% = 75.9%),2024-04-19,5,Controller holding trend (04-002)
04_ownership-and-insider-behavior,S11,Prior annual filing (Form 20-F),`data/NU/Nu_Holdings_Ltd_-_Form_20-F(Apr-20-2023).pdf`,FY2022,Item 3.D (88.6% = 76.1%),2023-04-20,5,Controller holding trend (04-002)
04_ownership-and-insider-behavior,S12,Prior annual filing (Form 20-F),`data/NU/Nu_Holdings_Ltd_-_Form_20-F(Apr-21-2022).pdf`,FY2021,Item 3.D (86.2% = 74.9%),2022-04-21,5,"Controller holding trend, five-observation series (04-002)"
04_ownership-and-insider-behavior,S13,Vendor export (Capital IQ),`data/NU/Nu Holdings Ltd NYSE NU Public Ownership Insider Trading.xls` → `Insider Trading`,"All history; effective coverage 2026-03-23 to 2026-08-26; ""excluding Automatic and Derivatives""","46-row export, 29 transaction lines",Filed dates to 2026-08-26,4,"Every insider transaction in §2 (04-008 through 04-012, 04-022, 04-031). A vendor parse of Form 4 records — not a filing; no RF-OWN flag is fired on it"
04_ownership-and-insider-behavior,S14,Deterministic facts sidecar,`ciq_facts.json` (extract generation f9081efa…),Trailing 12m to 2026-08-18 / 2026-08-26,"`insider_open_market`, `insider_net_activity`, `top_institutional_holders`, `institutional_ownership_trend`, `segments_revenue`, `consensus_view`",2026-08-29,4,"Pinning the insider net figures (reconciled exactly, event by event), the institutional trend, and the single-segment fact for Filter 6 (04-008, 04-009, 04-021, 04-026)"
04_ownership-and-insider-behavior,S15,Vendor export (Capital IQ),`data/NU/Nu Holdings Ltd NYSE NU Public Ownership Summary.rtf` → `Summary`,Positions 2026-06-30; prices 2026-08-28; insider transactions 2026-05-29 to 2026-08-29,"Ownership Summary, Top Holders, Ownership Activity, Top Buyers and Sellers, Activist Investors",2026-08-28,4,"Insider/institution aggregates, state-owned share count, quarterly institutional flows, Jennison/Sands exits (04-003, 04-006, 04-021, 04-026)"
04_ownership-and-insider-behavior,S16,Vendor export (Capital IQ),`data/NU/Nu Holdings Ltd NYSE NU Equity Listings.xls` → `Equity Listings`,Trade date 2026-08-28,"9 active listings; NYSE:NU close US$14.30, 52-wk US$11.20–18.98, 3-mo avg volume 76.82m",2026-08-28,4,"Liquidity, the tradable line, the 52-week range (04-012, 04-024)"
04_ownership-and-insider-behavior,S17,Vendor export (Capital IQ),`data/NU/Nu Holdings Ltd NYSE NU Public Company Profile.rtf`,Quote as of 2026-08-28,"Float 77.1%; market cap US$69,078.8m; shares short 129.5m; Avg 3M Dly Vlm 76.35m",2026-08-28,4,"Free float, market cap, short interest level (04-024, 04-030)"
04_ownership-and-insider-behavior,S18,Vendor export (Capital IQ),`data/NU/Nu Holdings Ltd NYSE NU Analyst Coverage.xls` → `Analyst Coverage`,As of Aug-2026,33 contributor rows with targets and ratings,2026-08-29,4,Research coverage count and rating dispersion (04-025)
04_ownership-and-insider-behavior,S19,Vendor export (Capital IQ),`data/NU/Nu Holdings Ltd NYSE NU Key Developments.rtf` and `Corporate Timeline.xls`,Last 6 months to 2026-08-29,Buyback authorisation 2026-06-04; earnings announcements 2026-02-25 / 2026-05-14 / 2026-08-13; AGM 2026-08-06; Banco Porto Real 2026-07-20,2026-08-29,4,"Trade-timing test, buyback date vs sale-to-issuer dates, single-segment M&A check (04-011, 04-021, 04-022, 04-023)"
04_ownership-and-insider-behavior,S20,Vendor export (Capital IQ),`data/NU/Charting Excel Export Aug-29-2026 2_02 PM.xls` → `Chart 1 with Data`,"251 daily observations, 2025-08-29 to 2026-08-28",Short interest as % of shares outstanding,2026-08-28,4,Short-interest level and range as the only available market-conduct series (04-022)
04_ownership-and-insider-behavior,S21,Vendor export (Capital IQ),`data/NU/Nu Holdings Ltd NYSE NU Takeover Defenses.xls` → `Corporate Governance`,As of Aug-2026,"Classified board, term length, removal for cause, supermajority thresholds, special-meeting process",2026-08-29,3,Corroboration only of the Articles provisions in S4 (04-020)
04_ownership-and-insider-behavior,S22,Vendor export (Capital IQ),`data/NU/Nu Holdings Ltd NYSE NU Board Members.xls` → `Board Members`,As of Aug-2026,"Leone (director since 2016, Sequoia), Campos Neto rows",2026-08-29,3,"Attribution of the 27,893,215-share director holding (§1)"
04_ownership-and-insider-behavior,S23,Cross-module input,`analyses/NU_2026-09-06/business-model/01_disqualifier-scan.md`,2026-09-06,Disqualifier 2 (pledging) and the computed-thresholds table,2026-09-06,4,Cross-check of the 0% pledge computation — independently reached the same answer (04-013)
04_ownership-and-insider-behavior,S24,Cross-module input,`analyses/NU_2026-09-06/business-model/11_capital-allocation-governance.md`,2026-09-06,Ownership / control-structure quick-read,2026-09-06,4,Continuity check; this module supersedes it on ownership per MODULE_RULES
04_ownership-and-insider-behavior,S25,Cross-module input,`analyses/NU_2026-09-06/management-governance/01_management-and-track-record.md`,2026-09-06,§Founder / owner-operator status; the coverage-limit note on the legal-database sweep,2026-09-06,4,Upstream continuity; the network-unavailability constraint recorded in this report's data-sufficiency note
04_ownership-and-insider-behavior,S26,Cross-module input,`analyses/NU_2026-09-06/business-model/08_competitive-map.md`,2026-09-06,"Peer set (Itaú Unibanco, Inter & Co, StoneCo, PagSeguro, XP, MercadoPago)",2026-09-06,4,"Peer-benchmark attempt; no peer ownership data exists in this pool, so all Peer Verdicts read ""Not assessed"""
05_board-and-shareholder-rights,S-01,Annual filing (primary),`Nu Holdings Ltd. Form 20-F` (FY2025) — `data/NU/`,FY2025,"Item 6.A, pp.187–193",filed 2026-04-08,5,"Board composition, independence designations, director bios, tenure, Shareholder's Agreement designation/veto rights"
05_board-and-shareholder-rights,S-02,Annual filing (primary),`Nu Holdings Ltd. Form 20-F` (FY2025),FY2025,"Item 6.B, pp.194–197",2026-04-08,5,"D&O insurance (""minimal limit""), director compensation policy (all-equity retainer), Omnibus Plan amendment"
05_board-and-shareholder-rights,S-03,Annual filing (primary),`Nu Holdings Ltd. Form 20-F` (FY2025),FY2025,"Item 6.C, pp.200–202",2026-04-08,5,"Committee composition and charters, audit-committee financial expert, controlled-company exception, clawback policy"
05_board-and-shareholder-rights,S-04,Annual filing (primary),`Nu Holdings Ltd. Form 20-F` (FY2025),FY2025,"Item 7.A, pp.203–204",2026-04-08,5,"Beneficial ownership, Class A/B share counts, 74.4% voting power, BlackRock and Baillie Gifford stakes"
05_board-and-shareholder-rights,S-05,Annual filing (primary),`Nu Holdings Ltd. Form 20-F` (FY2025),FY2025,"Item 7.B, p.205",2026-04-08,5,"Related-party transactions policy (March 2024), indemnification provisions"
05_board-and-shareholder-rights,S-06,Annual filing (primary),`Nu Holdings Ltd. Form 20-F` (FY2025),FY2025,"Item 10.B, pp.209–220",2026-04-08,5,"Voting rights, conversion/sunset, pre-emptive rights, preferred shares, general meetings, requisition, director appointment/removal, board quorum, staggered board, exclusive forum"
05_board-and-shareholder-rights,S-07,Annual filing (primary),`Nu Holdings Ltd. Form 20-F` (FY2025),FY2025,"Item 16G, pp.243–244",2026-04-08,5,"Home-country-practice exemptions taken (303A.01, 303A.03, 303A.04, 303A.05, 303A.08, 312.03); Cayman minority-protection law"
05_board-and-shareholder-rights,S-08,Annual filing (primary),`Nu Holdings Ltd. Form 20-F` (FY2025),FY2025,"Note 28 (Related parties), p.F-77; Balance sheet totals",2026-04-08,5,"RP balance US$926k/US$1,795k, key-management comp US$91,269k, total liabilities US$63,572,315k, total equity US$11,321,562k"
05_board-and-shareholder-rights,S-09,Annual filing (primary),`Nu Holdings Ltd. Form 20-F` (FY2024),FY2024,Item 6.A; Item 6.C,filed 2025-04-16,5,"Prior-year board of eight, Marcus designated independent, prior 75.2% voting power"
05_board-and-shareholder-rights,S-10,Annual filing (primary),`Nu Holdings Ltd. Form 20-F` (FY2023),FY2023,"Item 6.A, pp.271–272",filed 2024-04-19,5,"Nine-member board incl. Daniel Krepel Goldberg, audit-committee observer role, 75.9% voting power"
05_board-and-shareholder-rights,S-11,Annual filing (primary),`Nu Holdings Ltd. Form 20-F` (FY2022),FY2022,Item 6.A,filed 2023-04-20,5,Eight-member board at 31-Dec-2022 (board-size trend)
05_board-and-shareholder-rights,S-12,Interim filing (primary),"`Nu Holdings Ltd. Interim Report`, six months to 30-Jun-2026",H1 FY2026,"Note 28(a), p.34",filed 2026-08-14,5,Related-party balance US$265k at 30-Jun-2026 (latest matched period-end)
