id,section,test,flag,finding,confidence,source,owner_agent
A4-01,A4,Auditor identity & rotation compliance,Amber,Firm tenure is known; partner rotation cannot be tested because the partner is not identified.,4,"[FY25 Form 10-K, p.58; FY26 DEF 14A, p.90]",audit-and-assurance-quality
A4-02,A4,Audit firm calibre,Red,"KPMG can cover Visa’s complexity, but its disciplinary history prohibits a clean calibre assessment.",5,"[SEC Release 34-86118 / AAER-4051, 2019-06-17; PCAOB Release 104-2024-109, pp.1–5]",audit-and-assurance-quality
A4-03,A4,Subsidiary & component auditor calibre,Amber,No component-auditor identities are disclosed; this is not evidence that components are unaudited.,4,"[FY25 Form 10-K, pp.56–58; Exhibit 21.1]",audit-and-assurance-quality
A4-04,A4,Auditor resignation & stated reasons,Green,KPMG continuity is disclosed from 2007; no audit-firm resignation is identified.,4,"[FY25 Form 10-K, p.58; FY26 DEF 14A, p.90]",audit-and-assurance-quality
A4-05,A4,Opinions: qualification / EoM / adverse / disclaimer,Green,Current consolidated opinion is unqualified; separate U.S. standalone audit is not applicable.,5,"[FY25 Form 10-K, pp.56–58]",audit-and-assurance-quality
A4-06,A4,Audit vs non-audit fees,Amber,All non-audit-fee categories total $2.903m; network-firm inclusion is not explicit.,5,"[FY26 DEF 14A, p.91]",audit-and-assurance-quality
A4-07,A4,Auditor remuneration level & trend,Insufficient Data,"Fee fell despite 11.3% revenue growth, but the >20% low-balling trigger is not met and peer comparison is absent.",4,"[FY26 DEF 14A, p.91; FY25 Form 10-K, p.60]",audit-and-assurance-quality
A4-08,A4,Internal & secretarial audit,Amber,"Function and Chief Auditor are disclosed, but provider, reporting line and audit results are not; secretarial audit is not applicable.",4,"[FY26 DEF 14A, Audit and Risk Committee—Key Activities in 2025]",audit-and-assurance-quality
A4-09,A4,Internal financial controls (ICFR/IFC),Green,KPMG attested effective ICFR at FY25 year-end; Q3 FY26 reports no material control change.,5,"[FY25 Form 10-K, pp.56–58; Q3 FY26 Form 10-Q, Item 4]",audit-and-assurance-quality
A4-10,A4,Key Audit Matters recurrence,Insufficient Data,FY25 CAM is the $2.698bn Interchange MDL accrual; prior CAM reports are absent.,4,"[FY25 Form 10-K, pp.57–58]",audit-and-assurance-quality
A4-11,A4,CARO / companion-report flags *(India)*,Not Applicable,U.S. issuer; ICFR is assessed under A4-09.,5,[Governance Data Triage—Governance Usability Check],audit-and-assurance-quality
A4-12,A4,Audit-committee ↔ auditor engagement,Green,Committee reports executive sessions without management and direct discussion of required matters with KPMG.,5,"[FY26 DEF 14A, Executive Sessions; Report of the Audit and Risk Committee]",audit-and-assurance-quality
A4-13,A4,Regulator discipline of firm/partner,Red,KPMG firm discipline is established; individual partner sweep is coverage-limited.,5,"[SEC Release 34-86118 / AAER-4051, 2019-06-17; PCAOB firm summary, KPMG LLP (185)]",audit-and-assurance-quality
A4-14,A4,Component-auditor coverage,Amber,Principal-auditor assets/revenue coverage is not disclosed despite four significant subsidiaries.,4,"[FY25 Form 10-K, pp.56–58; Exhibit 21.1]",audit-and-assurance-quality
A4-15,A4,Gatekeeper exit cluster,Insufficient Data,No complete auditor/CFO/CS/internal-auditor exit timeline is in the pool.,3,"[FY26 DEF 14A, Executive Officers; CIQ Key Developments, 2026-05-19 — vendor export]",audit-and-assurance-quality
A5-01,A5,RPTs as % of revenue / PAT / assets,Insufficient Data,Policy-only disclosure supplies no numerator; RPT intensity cannot be calculated.,4,"[FY25 DEF 14A, p.42; earnings/01, §1]",related-party-and-group-forensics
A5-02,A5,Royalty / brand / technology fees to promoter group,Green,Core brand appears inside the consolidated group; no controller-linked payee shown.,4,"[FY25 10-K, Item 1—Intellectual Property; 07, §0A]",related-party-and-group-forensics
A5-03,A5,Loans / ICDs / guarantees to group,Insufficient Data,"No counterparty, balance, rate or tenor schedule.",3,"[FY25 DEF 14A, p.42]",related-party-and-group-forensics
A5-04,A5,Promoter-vendor / promoter-customer transactions,Green,No promoter group identified and no graph-role intersection; limited source is not a full circularity clearance.,3,"[Capital IQ relationship graph, customers/suppliers edges and scope notes]",related-party-and-group-forensics
A5-05,A5,Arm's-length substantiation,Amber,Policy names comparable-terms factors but no applied benchmark.,4,"[FY25 DEF 14A, p.42]",related-party-and-group-forensics
A5-06,A5,Minority dissent on RPT resolutions,Not Applicable (no data),No RPT resolution or vote result supplied.,3,"[FY25 DEF 14A, p.42]",related-party-and-group-forensics
A5-07,A5,RPT approval hygiene,Insufficient Data,Policy permits review/approval/ratification but does not prove complete pre-approval or permit a slicing test.,3,"[FY25 DEF 14A, p.42]",related-party-and-group-forensics
A5-08,A5,RPT counterparty transparency,Insufficient Data,Policy is disclosed; transaction-level naming cannot be tested.,4,"[FY25 DEF 14A, p.42; Governance Data Triage, §3]",related-party-and-group-forensics
A5-09,A5,Related-party M&A,Amber,Pismo and Featurespace have no identified controller link; seller/fairness and exchange archive incomplete.,3,"[FY25 10-K, Item 1 and Note 2; 07, §3]",related-party-and-group-forensics
A5-10,A5,Executive-counterparty conflicts,Green,No conflict established from the network pass; country-by-country entity coverage is incomplete.,3,"[07, §1, §3 and §4]",related-party-and-group-forensics
A6-01,A6,Pay vs statutory cap & profit,Not Applicable,India's Section 197 cap does not apply; the ratio is context only.,5,"[FY26 DEF 14A, Summary Compensation Table, p.71; FY25 Form 10-K, Consolidated Statements of Operations, p.60]",incentives-and-compensation
A6-02,A6,Promoter-executive pay vs peers & the SEBI gates,Insufficient Data,"Promoter gates do not apply, but the proxy omits CEO/CFO peer median and percentile.",5,"[FY26 DEF 14A, Beneficial Ownership, pp.110–111; Compensation Peer Group, pp.55–56]",incentives-and-compensation
A6-03,A6,Pay-for-performance linkage,Green,Annual cash incentive and performance shares are pre-established and capped at 200%; this clears the 30% variable-pay band.,5,"[FY26 DEF 14A, Executive Compensation—Performance-Based Compensation for FY2025, p.52]",incentives-and-compensation
A6-04,A6,ESOP / RSU / SAR dilution & pricing,Amber,"Gross maximum grants were 3.909m, or 0.232% of Class A shares, but this excludes ESPP and cannot test overhang or recipient concentration.",5,"[FY25 Form 10-K, Note 17—Share-based Compensation, pp.93–95; cover page—shares outstanding]",incentives-and-compensation
A6-05,A6,CEO-to-median ratio & severance,Amber,The 204:1 ratio is above the watch line; no median-pay trend or sector norm is supplied. Severance itself is double-trigger and two times salary plus target bonus.,5,"[FY26 DEF 14A, CEO Pay Ratio, p.85; Executive Severance Plan, pp.81–82]",incentives-and-compensation
A6-06,A6,Clawback & malus provisions,Green,Policy covers mandatory recovery and fault-based restatements; no qualifying FY2025 restatement was disclosed.,5,"[FY26 DEF 14A, Other Compensation Practices—Recoupment Policies, pp.53, 69; FY25 Form 10-K, cover page]",incentives-and-compensation
A6-07,A6,Promoter family on the payroll,Not Applicable,No Indian-style promoter group or promoter family is identified.,5,"[FY26 DEF 14A, Beneficial Ownership, pp.110–111]",incentives-and-compensation
A6-08,A6,NED / ID compensation structure,Green,"NEDs receive fixed cash retainers and fixed-value RSUs, with no options or performance-variable director pay disclosed.",5,"[FY26 DEF 14A, Compensation of Non-Employee Directors, pp.43–44]",incentives-and-compensation
A6-09,A6,Problematic pay practices & dissent response,Green,"No gross-ups, no option repricing without a vote, no single-trigger change-of-control benefit and 92% say-on-pay support are disclosed.",5,"[FY26 DEF 14A, Highlights of Executive Compensation Program and Say-on-Pay, pp.52–53]",incentives-and-compensation
A7-01,A7,Disclosure timeliness & completeness *(owner: 12)*,Insufficient Data,Latest controls conclusion is positive but cannot support 12-quarter hygiene.,3,FY2025 10-K and Q3 FY2026 10-Q reviewed; submissions history unavailable.,regulatory-legal-and-compliance
A7-02,A7,Restatement frequency *(owner: 08)*,Insufficient Data,FY25 shows no current error correction; complete five-year history is unavailable.,5,"[FY25 Form 10-K, cover page; business-model/01_disqualifier-scan, Trigger 5]",audit-and-assurance-quality
A7-03,A7,KPI stability,Amber,"Core KPI reporting continues; no post-deterioration redefinition was found, but the supplied record does not prove five years of stability.",5,"[Visa FY25 Form 10-K, Item 7—Payments Volume and Processed Transactions; Visa Q3 FY26 Form 10-Q, Item 2—Payments Volume and Processed Transactions]",candor-and-disclosure-quality
A7-04,A7,Guidance hygiene,Green,No quiet withdrawal or mid-year definition change was found in the supplied Q1-Q3 FY26 guidance record; FY26 remains open.,4,"[Visa Q1 FY26 Earnings Call, CFO prepared remarks, 2026-01-29; Visa Q2 FY26 Earnings Call, CFO prepared remarks, 2026-04-28; Visa Q2 and Q3 FY26 Financial Results Presentations, p.1]",candor-and-disclosure-quality
A7a-01,A7a,Total CL as % of net worth,Amber,"Above the 5% materiality trigger, below the Red band.",5,"[balance-sheet-survival/05, §4; Visa Q3 FY2026 Form 10-Q, p.4]",contingent-liabilities-and-commitments
A7a-02,A7a,CL trend over time,Amber,Total movement is not treated as a clean risk signal; items are assessed separately.,5,"[Visa FY2025 Form 10-K, Note 20, pp.99–100; Visa Q3 FY2026 Form 10-Q, Note 16, p.24]",contingent-liabilities-and-commitments
A7a-03,A7a,Direct tax disputes,Amber,"Reserve visible, but case-level amounts and outcomes are not.",4,"[Visa FY2025 Form 10-K, Note 19, pp.97–99; Visa Q3 FY2026 Form 10-Q, Note 15, p.23]",contingent-liabilities-and-commitments
A7a-04,A7a,Indirect tax disputes (GST/excise/customs),Amber,A missing line is not a nil exposure.,5,"[Visa FY2025 Form 10-K, Note 19, pp.96–99; Visa Q3 FY2026 Form 10-Q, Note 15, p.23]",contingent-liabilities-and-commitments
A7a-05,A7a,Litigation / claims not acknowledged as debt,Amber,"Material matters are accrued where probable and estimable, but no range is available for the residual tail.",5,"[Visa Q3 FY2026 Form 10-Q, Note 16, pp.24–27]",contingent-liabilities-and-commitments
A7a-06,A7a,Corporate guarantees given,Amber,Transparent client guarantee; unmatched gross-flow scale is not a loss estimate.,5,"[Visa Q3 FY2026 Form 10-Q, Note 9, p.19; Visa FY2025 Form 10-K, Note 12, p.85]",contingent-liabilities-and-commitments
A7a-07,A7a,Bank guarantees & LCs,Insufficient Data,"LCs and guarantees are collateral types, not separately sized obligations.",5,"[Visa Q3 FY2026 Form 10-Q, Note 9, p.19]",contingent-liabilities-and-commitments
A7a-08,A7a,Capital commitments,Amber,No capex plan or counterparty relation is disclosed; totals cannot be added.,5,"[Visa FY2025 Form 10-K, Note 18, p.95; Visa Q3 FY2026 Form 10-Q, Note 14]",contingent-liabilities-and-commitments
A7a-09,A7a,Bills discounted with recourse,Amber,Absence of a dedicated line prevents a nil verdict.,5,"[Visa FY2025 Form 10-K, Notes 1–20; Visa Q3 FY2026 Form 10-Q, Notes 1–16]",contingent-liabilities-and-commitments
A7a-10,A7a,Statutory dues disputes (PF/ESI/cess),Amber,U.S. filings lack an India CARO-style statutory-dues table.,4,"[Visa FY2025 Form 10-K, Notes 19–20, pp.96–107; Visa Q3 FY2026 Form 10-Q, Notes 15–16, pp.23–27]",contingent-liabilities-and-commitments
A7a-11,A7a,Regulatory / penalty demands,Amber,"DOJ and EC matters are disclosed, but a monetary penalty demand is not.",4,"[Visa FY2025 Form 10-K, Note 20, pp.103–107; Visa Q3 FY2026 Form 10-Q, Note 16, pp.26–27]",contingent-liabilities-and-commitments
A7a-12,A7a,Subsidiary / JV / associate CLs,Amber,"Named entities and aggregate are visible, but legal-entity allocation is not.",4,"[Visa Q3 FY2026 Form 10-Q, Note 16, pp.25–27]",contingent-liabilities-and-commitments
A7a-13,A7a,Movement: additions / reversals / crystallization,Green,Actual movements are disclosed; repeated crystallisation without provision is not shown.,5,"[Visa FY2025 Form 10-K, Note 20, pp.99–100; Visa Q3 FY2026 Form 10-Q, Note 16, p.24]",contingent-liabilities-and-commitments
A7a-14,A7a,Provided vs only-disclosed split,Amber,"Provisioning is evidenced, but unestimated tail and VE appeals limit conclusion; RF-CL-002 is not proven.",5,"[Visa Q3 FY2026 Form 10-Q, Note 16, pp.24–27]",contingent-liabilities-and-commitments
A7a-15,A7a,Unhedged forex / derivative exposure,Green,Hedges and policy are disclosed; Q3 FY26 has no refreshed derivative footnote.,4,"[Visa FY2025 Form 10-K, Note 13, pp.86–87; Item 7A, p.49]",contingent-liabilities-and-commitments
A8-01,A8,CFO / PAT (accrual quality),Green,Cash confirms profit.,5,"[earnings/06, §1]",accounting-forensics
A8-02,A8,Working-capital days creep,Amber,"DSO rose 9.6%, below Red threshold.",5,"[earnings/06, §3]",accounting-forensics
A8-03,A8,Receivables ageing >6 months,Insufficient Data,No ageing ladder located.,4,"[Visa FY25 Form 10-K, pp.59–60]",accounting-forensics
A8-04,A8,Expense capitalization,Green,Capitalization ratio was stable.,5,"[earnings/06, §6]",accounting-forensics
A8-05,A8,Recurring exceptionals & other income,Amber,Litigation exclusions recur; other income is modest.,5,"[Visa FY25 Form 10-K, pp.42–44,60]",accounting-forensics
A8-06,A8,Goodwill build-up & impairment,Green,Below net worth and acquisition-explained.,5,"[Visa FY25 Form 10-K, p.59; Note 2]",accounting-forensics
A8-07,A8,Policy / estimate / year-end changes,Green,No adverse policy change identified.,4,"[Visa FY25 Form 10-K, Note 1]",accounting-forensics
A8-08,A8,Depreciation rate consistency,Green,No unexplained charge reduction.,5,"[Visa FY25 Form 10-K, pp.59–60,65]",accounting-forensics
A8-09,A8,Provisioning adequacy,Amber,"Increase is a charge, not a release, but remains estimate-sensitive.",4,"[Visa FY25 Form 10-K, p.59; Note 20]",accounting-forensics
A8-10,A8,Effective tax-rate anomaly,Green,Tax incentive explains rate.,5,"[Visa FY25 Form 10-K, p.60; Note 19]",accounting-forensics
A8-11,A8,Cash EPS vs accounting EPS,Green,Same diluted-share-basis CFO/PAT proxy clears Red band.,5,"[earnings/06, §1]",accounting-forensics
A8-12,A8,CFO / EBITDA conversion,Green,No annual conversion breach.,5,"[earnings/06, §1]",accounting-forensics
A8-13,A8,Consolidation opacity,Green,No entity churn signal.,4,"[Visa FY25 Form 10-K, Note 2]",accounting-forensics
A8-14,A8,Beneish M-score (8 components),Green,Zero component zones.,5,"[Visa FY25 Form 10-K, pp.59–65]",accounting-forensics
A8-15,A8,Revenue-quality cross-checks,Amber,"Collections support FY25, while cash taxes and contract assets are missing.",4,"[Visa FY25 Form 10-K, pp.59–60]",accounting-forensics
A8-16,A8,Segment / geography disclosure shifts,Green,No segment-masking signal.,4,"[Visa FY25 Form 10-K, Notes 1 and 21]",accounting-forensics
A8-17,A8,Dechow F-score & accrual battery,Insufficient Data,t-2 balance sheet unavailable; composite not approximated.,5,"[Visa FY25 Form 10-K, pp.59–65]",accounting-forensics
A8-18,A8,Issuance in a flagged year,Green,M Green and TATA negative.,5,"[Visa FY25 Form 10-K, p.65; Section 2]",accounting-forensics
A8-19,A8,Cash authenticity,Insufficient Data,Mixed interest line and no disclosed confirmation procedure.,4,"[Visa FY25 Form 10-K, p.60; Note 1; Auditor’s Report]",accounting-forensics
A8-20,A8,Regulator-found divergence,Insufficient Data,No issuer hit returned; not enforcement clearance.,2,"[Web: SEC searches, 2026-09-23 (unverified)]",accounting-forensics
A9-01,A9,Securities-regulator actions vs the COMPANY,Red,Direct enforcement is proven; monetary exposure is not quantified.,5,DOJ debit-network complaint remains open; Visa discloses denial of dismissal motion.,regulatory-legal-and-compliance
A9-02,A9,NCLT / CCI / ED / CBI / SFIO & forensic investigations,Red,"Two unresolved matters, with EC stage and scope not quantified.",4,DOJ action and EC preliminary acquirer-fee inquiry are disclosed.,regulatory-legal-and-compliance
A9-03,A9,Whistleblower / vigil mechanism & outcomes,Amber,Mechanism is visible but efficacy cannot be measured.,4,"Email, hotline/web channel and Board communications disclosed; no ombuds or case outcomes.",regulatory-legal-and-compliance
A9-04,A9,Promoter / controller track record elsewhere *(owner: 07)*,Not Applicable,No promoter group identified.,5,"[FY25 DEF 14A, Beneficial Ownership]",people-integrity-dossiers
A9-05,A9,Rating actions,Insufficient Data,"No adverse action is established, but no clean rating-history test passed.",2,Only stale Capital IQ S&P field available; no issuer-specific action history retrieved.,regulatory-legal-and-compliance
A9-06,A9,"Exchange fines & listing-compliance register (8 quarters, all exchanges)",Insufficient Data,"No repeated fine finding, but required history is absent.",2,NYSE current noncompliant list is not a historical fine register.,regulatory-legal-and-compliance
A9-07,A9,Insider-trading / trading-window violations,Insufficient Data,No clearance can be drawn.,2,No attributed matter in limited materials; no complete SEC/Form 4 review.,regulatory-legal-and-compliance
A9-08,A9,Sanctions / export-control / AML exposure,Amber,Authorization is not an enforcement matter; current screening incomplete.,3,OFAC GL 15C authorized certain Banco de Venezuela transactions; no violation finding shown.,regulatory-legal-and-compliance
A9-09,A9,ESG / environmental / consumer penalties,Insufficient Data,Do not infer no penalties from absent database coverage.,2,No primary issuer-specific penalty register retrieved.,regulatory-legal-and-compliance
A9-10,A9,Litigation-register reconciliation,Amber,"No RF-CMP-001 evidence, but not a complete legal-record clearance.",3,"DOJ, EC and interchange litigation reconcile to Notes 16/20; docket coverage incomplete.",regulatory-legal-and-compliance
A9-11,A9,Response to whistleblowers & short-sellers,Amber,Disclosure does not establish an independent review.,3,Proxy describes controls and Board oversight but no forensic review; no attack-messenger evidence found.,regulatory-legal-and-compliance
A10-01,A10,Dividend policy & consistency *(02)*,Amber,Board-discretionary quarterly-dividend expectation and three rising years meet neither the formal-policy nor four-year Green standard; no erratic cut or debt-funded payout fact is shown.,5,"[FY25 Form 10-K, Item 5—Dividends; Note 15—Stockholders' Equity, p.90]",capital-allocation-scorecard
A10-02,A10,Swap ratios in group mergers *(05)*,Not Applicable,No group merger disclosed.,4,"[FY25 Form 10-K, Description of Capital Stock; FY26 DEF 14A, Proposals, pp.90–101]",board-and-shareholder-rights
A10-03,A10,Institutional voting patterns *(05)*,Amber,One result is supportive but cannot prove multi-AGM opposition history.,5,"[FY26 DEF 14A, Say-on-Pay Vote, p.58; governance-data-triage, §3]",board-and-shareholder-rights
A10-04,A10,Rights / preferential pricing fairness *(05)*,Not Applicable,No relevant issuance disclosed.,4,"[FY25 Form 10-K, Stockholders’ Equity; FY26 DEF 14A, Proposals, pp.90–101]",board-and-shareholder-rights
A10-05,A10,Buyback vs dividend conduct *(02)*,Amber,"The Board authorised both mechanisms and no promoter tender applies, but the filing does not give a comparative allocation rationale or valuation test.",5,"[FY25 Form 10-K, Liquidity and Capital Resources—Uses of Liquidity, pp.49–50; FY26 DEF 14A, Beneficial Ownership, p.110; Hedging and Pledging, p.53]",capital-allocation-scorecard
A10-06,A10,Delisting & exit-offer conduct *(05)*,Not Applicable,No delisting/exit-offer disclosed.,5,"[FY25 Form 10-K, Cover; FY26 DEF 14A, Proposals, pp.90–101]",board-and-shareholder-rights
A11-01,A11,Holding-structure complexity (layer DEPTH and entity count vs the business),Amber,No complex-chain trigger shown; complete count and depth unavailable.,4,"[FY25 10-K, Exhibit 21.1; Capital IQ relationship graph, scope notes]",related-party-and-group-forensics
A11-02,A11,Trapped / round-tripped cash,Insufficient Data,Consolidated cash cannot establish parent-versus-sub cash location.,4,"[earnings/01, §1]",related-party-and-group-forensics
A11-03,A11,Inter-corporate loans & deposits,Insufficient Data,"No ICD balances, rates or tenors supplied.",3,"[FY25 DEF 14A, p.42]",related-party-and-group-forensics
A11-04,A11,Listed-vs-unlisted sibling leakage,Green,No current promoter/private sibling found; not a full legal-entity clearance.,3,"[07, §0A, §3 and §3B]",related-party-and-group-forensics
A11-05,A11,Subsidiary financial transparency,Amber,Consolidation and significant-subs list are visible; subsidiary financial statements and full roster are not.,4,"[FY25 10-K, Exhibit 21.1; Note 1]",related-party-and-group-forensics
A11-06,A11,Unlisted material-subsidiary governance *(India)*,Not Applicable,India LODR Reg. 24 test does not apply to this U.S. issuer.,5,"[FY25 10-K, Cover]",related-party-and-group-forensics
A11-07,A11,Off-balance-sheet entities with recourse,Amber,VIE investments are stated immaterial; no recourse schedule permits a full test.,4,"[FY25 10-K, Note 1—Consolidation and basis of presentation]",related-party-and-group-forensics
A12-01,A12,Attrition,Amber,Six percent is disclosed but cannot be graded without an industry comparison and trend.,5,"[FY25 Form 10-K, Item 1—Talent and People, p.15]",incentives-and-compensation
A12-02,A12,Median-employee pay vs executive pay,Insufficient Data,The current figure cannot test whether median pay fell while CEO total pay rose.,5,"[FY26 DEF 14A, CEO Pay Ratio, p.85]",incentives-and-compensation
A12-03,A12,ESOP pool breadth,Amber,The EIP can serve employees and NEDs but no award-recipient distribution proves it is broad-based; no promoter group is identified.,5,"[FY25 Form 10-K, Note 17—Share-based Compensation, pp.93–95; FY26 DEF 14A, Board Oversight of Talent and People, p.40]",incentives-and-compensation
A12-04,A12,Workplace-conduct record,Insufficient Data,"Policies and reporting channels are disclosed, but complaint, resolution, labor and safety statistics are absent from supplied filings.",4,"[FY26 DEF 14A, People and Talent Management and Codes of Conduct and Ethics, pp.40–41; FY25 Form 10-K, Item 1—Talent and People, p.15]",incentives-and-compensation
A13-01,A13,Professional CEO vs promoter-run,Green,Professional-manager model.,5,"[FY25 DEF 14A, Executive Officers]",people-integrity-dossiers
A13-02,A13,View on the CEO (operating record),Amber,Pleading dismissed with leave; no ruling on falsity or intent.,4,"[Cai v. Visa, N.D. Cal. order pp.6, 9–11, 2025-12-10]",people-integrity-dossiers
A13-03,A13,Promoter vintage & involvement,Not Applicable,No promoter group identified.,5,"[FY25 DEF 14A, Beneficial Ownership]",people-integrity-dossiers
A13-04,A13,Top-management team vintage *(01)*,Green,Median tenure clears the ≥4-year Green band.,5,"[FY26 DEF 14A, Executive Officers, pp.47–48; Director Nominee Biographies—Ryan McInerney]",management-and-track-record
