agent,source_id,source_type,filename_or_filing,period,page_or_section,date,confidence_1_to_5,used_for_or_limitation
04_ownership-and-insider-behavior,S04,SEC quarterly filing,Visa Form 10-Q,Q3 FY26 ended 2026-06-30,"Item 5(c)—Trading Plans, p.42",2026-07-29,5,New Rule 10b5-1 plan disclosures and attribution limitation
04_ownership-and-insider-behavior,S05,Earnings release / presentation,Visa Q2 FY26 Financial Results Presentation,Q2 FY26,pp.1–2,2026-04-28,3,Results following the CFO sale
04_ownership-and-insider-behavior,S06,Earnings release,Visa Q3 FY26 earnings release,Q3 FY26,pp.1–2,2026-07-28,4,Results preceding the Tullier sale
04_ownership-and-insider-behavior,S07,CIQ vendor export,Visa Inc. NYSE V Public Ownership Insider Trading.xls,Through latest filed trade 2026-07-31,Insider Trading sheet,2026-07-31,4,Individual transaction classification and dates
04_ownership-and-insider-behavior,S08,CIQ vendor export,Visa Inc. NYSE V Public Ownership Summary.rtf,Latest frozen export; top-holder positions at 2026-06-30,Ownership Summary / Top Holders / Ownership Activity,Ownership as-of not stated; price date 2026-08-16,4,"Institutional ownership categories, holder list, market value"
04_ownership-and-insider-behavior,S09,CIQ vendor export,Visa Inc. NYSE V Public Ownership History.xls,2025-09-30 to 2026-06-30,History sheet,2026-06-30,4,Tracked institutional-holdings trend
04_ownership-and-insider-behavior,S10,Source-bound facts sidecar,data/V/ciq_facts.json,Through 2026-07-31 / 2026-06-30 as applicable,"`insider_net_activity`, `insider_open_market`, `top_institutional_holders`, `institutional_ownership_trend`, `consensus_view`",2026-09-23,4,Authoritative read and reconciliation of CIQ workbook headline figures
04_ownership-and-insider-behavior,S11,Cross-module output,management-governance/00_governance-data-triage.md,Frozen generation,File Inventory,2026-09-23,4,"Absence of daily price-volume, NYSE-surveillance, and coverage-count inputs"
04_ownership-and-insider-behavior,S12,Cross-module output,business-model/01_disqualifier-scan.md,Current run,§§1–4,2026-09-23,4,Existing no-disqualifier/pledge qualification
05_board-and-shareholder-rights,S01,SEC proxy filing,`data/V/Visa_Inc_-_Form_DEF_14A(Dec-08-2025).doc`,FY25 / 2026 AGM,"Director Nominees, Board & Governance Matters, Committees, Related Person Transactions, Voting Information, pp.7, 11–44, 58, 90–102, 110–111",2025-12-08,5,"Board map, tenure, committees, RPT policy, rights, voting and refreshment"
05_board-and-shareholder-rights,S02,SEC annual filing,`data/V/Visa_Inc_-_Form_10-K(Nov-06-2025).doc`,FY25 ended 2025-09-30,Description of Capital Stock—Voting Rights; Stockholders’ Equity; Cover,2025-11-06,5,"B/C class rights, listed status and corporate-action context"
05_board-and-shareholder-rights,S03,Cross-module integrity output,`analyses/V_2026-09-23/management-governance/07_people-integrity-dossiers.md`,Current run,"§1, Person Register & Grades",2026-09-23,3,Per-director 07 grades and coverage qualifiers
05_board-and-shareholder-rights,S04,Cross-module disqualifier output,`analyses/V_2026-09-23/business-model/01_disqualifier-scan.md`,Current run,§§1–3,2026-09-23,4,Hard-disqualifier/RPT cross-reference only
05_board-and-shareholder-rights,S05,Cross-module data inventory,`analyses/V_2026-09-23/management-governance/00_governance-data-triage.md`,Frozen generation,"§§1, 3–5",2026-09-23,4,Confirms missing voting-result and RPT-quantification evidence
06_candor-and-disclosure-quality,S01,SEC annual filing,`data/V/Visa_Inc_-_Form_10-K(Nov-06-2025).doc`,FY25,"Item 7—Results of Operations; Payments Volume and Processed Transactions; Non-GAAP Financial Results, pp.41–44",2025-11-06,5,"KPI disclosure, FY25 litigation provision, GAAP/non-GAAP reconciliation, adverse-event framing"
06_candor-and-disclosure-quality,S02,SEC quarterly filing,`data/V/Visa_Inc_-_Form_10-Q(Jul-29-2026).doc`,Q3 FY26,Item 2—Payments Volume and Processed Transactions,2026-07-29,5,Continuity of KPI disclosure
06_candor-and-disclosure-quality,S03,Earnings transcript,"`data/V/Visa Inc., Q1 2026 Earnings Call, Jan 29, 2026.pdf`",Q1 FY26,CFO prepared remarks,2026-01-29,3,Q2 and FY26 guidance baseline
06_candor-and-disclosure-quality,S04,Earnings transcript,"`data/V/Visa Inc., Q2 2026 Earnings Call, Apr 28, 2026.rtf`",Q2 FY26,CFO prepared remarks,2026-04-28,3,Q3 guidance and resolved Q2 comparison
06_candor-and-disclosure-quality,S05,Earnings transcript,"`data/V/Visa Inc., Q3 2026 Earnings Call, Jul 28, 2026.rtf`",Q3 FY26,CFO prepared remarks and Q&A,2026-07-28,3,Current outlook qualification and bad-times-Q&A coverage limit
06_candor-and-disclosure-quality,S06,Investor presentation,`data/V/Visa-Inc-Q2-2026-Financial-Results-Presentation.pdf`,Q2 FY26,p.1,2026-04-28,3,Q2 growth outcome
06_candor-and-disclosure-quality,S07,Investor presentation,`data/V/Visa-Inc-Q3-2026-Financial-Results-Presentation.pdf`,Q3 FY26,"pp.1, 20–21",2026-07-28,3,Q3 growth outcome and Q4/FY26 outlook
06_candor-and-disclosure-quality,S08,Cross-module analysis,`analyses/V_2026-09-23/management-governance/01_management-and-track-record.md`,Current run,§4,2026-09-23,4,Resolved management-guidance record and absence of an observable miss
06_candor-and-disclosure-quality,S09,Cross-module analysis,`analyses/V_2026-09-23/earnings/06_earnings-quality.md`,Current run,"§§4–5, 7, 10",2026-09-23,4,Three-year addback trend and cash/adjustment context
06_candor-and-disclosure-quality,S10,Cross-module analysis,`analyses/V_2026-09-23/earnings/04_guidance-consensus.md`,Current run,§2,2026-09-23,4,Q3 cross-border qualification in guidance context
07_people-integrity-dossiers,S01,SEC filing,Visa FY25 DEF 14A,FY25 / 2026 meeting,Director Nominees; Executive Officers; Certain Relationships,2025-12-08,5,"Person seed roster, roles, current governance disclosure"
07_people-integrity-dossiers,S02,SEC filing,Visa FY25 10-K,FY25,Cover; Item 1; Note 5; Note 20,2025-11-06,5,"Parent identity, brand ownership, group legal disclosures"
07_people-integrity-dossiers,S03,SEC filing,Visa 10-K,FY2015,"Item 1, General Business Development",2015,5,May-2007 incorporation and Oct-2007 reorganization
07_people-integrity-dossiers,S04,SEC filing,Visa 8-K,2007,Cover,2007-11-07,5,Parent former-name field and listed identity
07_people-integrity-dossiers,S05,SEC filing,Visa certificate amendment,2026,Exhibit 3.1,2026,5,Original certificate filing date
07_people-integrity-dossiers,S06,Company website,"Visa, About Visa",Current retrieved page,Pioneering payment technology,2026-09-23,3,D-1 lineage and 1958/1976/2007 reconciliation
07_people-integrity-dossiers,S07,Company website,"Visa, Dee Hock: In memoriam",2022,Company News,2022-07-20,3,Founder identity
07_people-integrity-dossiers,S08,Regulator database,USPTO TTABVUE party search,Current search,"VISA, INC. party results",2026-09-23,4,D-4 historical trademark chain
07_people-integrity-dossiers,S09,Court order,"*Cai v. Visa Inc.*, N.D. Cal. No. 24-cv-08220",2025,"Order granting motion to dismiss, pp.6, 9–11",2025-12-10,5,Litigation posture for McInerney/Suh/Andreski
07_people-integrity-dossiers,S10,Court docket mirror,"*Kaur v. McInerney*, N.D. Cal. No. 5:25-cv-02849",2025,Docket entries,retrieved 2026-09-23,2,Derivative case parties and consolidation; no merits inference
07_people-integrity-dossiers,S11,DOJ release,Former Michigan Police Officer Sentenced,2021,Office of Public Affairs,2021-09-09,5,Namesake exclusion for Ryan McInerney
07_people-integrity-dossiers,S12,SEC filing,Visa 8-K / Form 4,2023 / 2026,Item 5.02; reporting-owner index,2023-06-20 / 2026-02-18,5,Suh and McInerney identity anchors
07_people-integrity-dossiers,S13,Tier-5 vendor export,Capital IQ relationship graph (`relationships.json`),"Recent relationships, two-year scope",Graph metadata / scope notes,2026-09-23,3,Group-entity leads; scope limitation
07_people-integrity-dossiers,S14,Registry/aggregator search,"OpenCorporates, SEC enforcement, OpenSanctions",Current search,Query results,2026-09-23,2,Logged coverage attempts only; not used as clearance
07_people-integrity-dossiers,S15,Public record,U.S. Treasury Secretary calendars,2023–25,Ryan McInerney meeting entries,2023–2025,4,"Government-contact context, not PEP fact"
08_audit-and-assurance-quality,S1,SEC annual filing / audited report,Visa FY25 Form 10-K,FY25 ended 2025-09-30,Cover; pp.56–58; Exhibit 21.1,2025-11-06,5,"Opinions, ICFR, CAM, tenure, restatement cover responses, subsidiaries"
08_audit-and-assurance-quality,S2,SEC proxy,Visa FY26 DEF 14A,FY25 / FY26 meeting,pp.90–91; Audit and Risk Committee Report; Executive Sessions,2025-12-08,5,"Appointment, fees, pre-approval, committee engagement, internal audit, clawback"
08_audit-and-assurance-quality,S3,SEC quarterly filing,Visa Q3 FY26 Form 10-Q,Quarter ended 2026-06-30,Item 4—Controls and Procedures,2026-07-29,5,No material ICFR changes during Q3 FY26
08_audit-and-assurance-quality,S4,Capital IQ vendor export,Visa Inc. NYSE V Key Developments,As of 2026-08-14 export,2026-05-19 CFO conference entry,2026-09-23,3,Confirms CFO still acting in 2026; not used for audit facts
08_audit-and-assurance-quality,S5,SEC enforcement order,"Release 34-86118 / AAER-4051, In the Matter of KPMG LLP",Historical conduct 2015–17,Order and sanctions,2019-06-17,5,Firm regulatory discipline
08_audit-and-assurance-quality,S6,PCAOB registry,KPMG LLP (185) firm summary,Current registry snapshot,Registration; disciplinary/inspection index,2026-09-23,5,"Legal-entity identity, registration, Form AP lookup attempt"
08_audit-and-assurance-quality,S7,PCAOB inspection report,"Release 104-2024-109, KPMG LLP 2023 Inspection",2023 inspection,pp.1–5,2024-06-20,5,"Firm-level inspection context, expressly not a Visa audit conclusion"
08_audit-and-assurance-quality,S8,Cross-module output,business-model/01_disqualifier-scan.md,V run,Verdict-Lock Signal,2026-09-23,4,Hard-lock deference
09_related-party-and-group-forensics,S01,Regulation,17 CFR 229.404 (Item 404),Current rule,§229.404(a)–(b),Accessed 2026-09-23,5,U.S. RPT materiality and policy requirement
09_related-party-and-group-forensics,S02,Proxy,Visa Inc. DEF 14A,FY25,"p.42, Certain Relationships and Related Person Transactions",Filed 2025-12-08,5,"RPT policy, review factors and absence of listed transactions in the section"
09_related-party-and-group-forensics,S03,Audited filing,Visa Inc. Form 10-K,FY25,Note 1—Consolidation and basis of presentation,Filed 2025-11-06,5,"Consolidation, VIE materiality, intercompany eliminations"
09_related-party-and-group-forensics,S04,Audited filing,Visa Inc. Form 10-K,FY25,"Exhibit 21.1, List of Significant Subsidiaries",Filed 2025-11-06,5,Four significant subsidiaries and jurisdictions
09_related-party-and-group-forensics,S05,Audited filing,Visa Inc. Form 10-K,FY24–FY25,Item 1—Mergers and Acquisitions; Note 2—Acquisitions,Filed 2025-11-06,5,Pismo and Featurespace M&A review
09_related-party-and-group-forensics,S06,Cross-module primary-data read,earnings/01_historical-financials.md,FY23–FY25,"§1; citations [1] to FY25 10-K pp.59–60, 65",2026-09-23,5,Revenue and consolidated cash/debt basis
09_related-party-and-group-forensics,S07,Vendor export,Capital IQ Suppliers/Customers relationship graph (`relationships.json`),Recent two-year disclosed relationships,Scope notes; nodes and edges,Retrieved 2026-09-23,3,10 internal group nodes and customer/supplier name-match check
09_related-party-and-group-forensics,S08,Cross-module network analysis,management-governance/07_people-integrity-dossiers.md,Current run,"§§0A, 3, 3B, 4, 5",2026-09-23,3,"Controller, lineage, entity-network and disclosure-reconciliation input"
09_related-party-and-group-forensics,S09,Cross-module triage,management-governance/00_governance-data-triage.md,Current run,"§§3, 5E.2 and 5A",2026-09-23,4,"Regime, source inventory and group-entity lead context"
09_related-party-and-group-forensics,S10,Cross-module disqualifier result,business-model/01_disqualifier-scan.md,Current run,§§1 and 3,2026-09-23,4,RPT >25% hard-lock deference
10_contingent-liabilities-and-commitments,S1,Quarterly filing,Visa Inc. Form 10-Q,Q3 FY2026 ended 2026-06-30,"Consolidated Balance Sheets p.4; Notes 9, 14–16, pp.19, 23–27",2026-07-29,5,"Current equity, settlement guarantee, commitments, tax update, litigation accrual, posture and movements"
10_contingent-liabilities-and-commitments,S2,Audited annual filing,Visa Inc. Form 10-K,FY2025 ended 2025-09-30,"Consolidated Statements p.60; Notes 12–13, pp.85–87; Notes 18–20, pp.95–107",2025-11-06,5,"Annual commitments, tax reserve history, litigation history, derivatives and legal posture"
10_contingent-liabilities-and-commitments,S3,Cross-module synthesis of frozen filings,analyses/V_2026-09-23/balance-sheet-survival/05_off-balance-sheet-and-contingencies.md,As of Q3 FY2026,§§1–4,2026-09-23,5,Authoritative cross-module recognised-contingency total; used without recomputation
10_contingent-liabilities-and-commitments,S4,Capital IQ vendor relationship export,"relationships.json, V",Recently disclosed customer/supplier relationships,Scope notes and concentration summary,2026-09-23,4,Scope limitation: not used as proof that no group contingency or related guarantee exists
11_accounting-forensics,S01,Audited annual filing,`data/V/Visa_Inc_-_Form_10-K(Nov-06-2025).doc`,FY23–FY25,"pp.59–65; Notes 1, 2, 19–21; Auditor’s Report pp.56–58",2025-11-06,5,"Battery inputs, M-score, revenue, balance-sheet, tax, policy, issuance, cash-authenticity read"
11_accounting-forensics,S02,Cross-module filing-based analysis,`analyses/V_2026-09-23/earnings/06_earnings-quality.md`,FY23–FY25,"§§1–3, 6",2026-09-23,4,"CFO/PAT, cash EPS proxy, CFO/EBITDA, DSO and capitalization baseline"
11_accounting-forensics,S03,Cross-module debt-stack analysis,`analyses/V_2026-09-23/balance-sheet-survival/01_capital-structure-and-leverage.md`,FY24–FY25,§§6–7,2026-09-23,4,Strict net debt and leverage basis
11_accounting-forensics,S04,Cross-module data triage,`analyses/V_2026-09-23/business-model/00_data-triage.md`,Current run,§2A,2026-09-23,4,"Jurisdiction, reporting standard, sector context"
11_accounting-forensics,S05,Official rate source accessed on web,Federal Reserve H.15 / FRED GS1,Oct-2024–Sep-2025,1-year Treasury constant-maturity monthly table,2026-09-23,2,FY25 risk-free comparator; web-labelled unverified per source policy
11_accounting-forensics,S06,Official regulator site accessed on web,SEC AAER index and EDGAR issuer searches,Through 2026-09-23,Queries in Sweep Log,2026-09-23,2,Limited A8-20 regulator-divergence and forensic-audit sweep
12_regulatory-legal-and-compliance,S01,Tier 1,"Visa FY2025 Form 10-K, filed 2025-11-06, Note 20—Legal Matters, pp.99–107, data/V/",,,,,"DOJ, EC and litigation disclosures"
12_regulatory-legal-and-compliance,S02,Tier 2,"Visa Q3 FY2026 Form 10-Q, filed 2026-07-29, Consolidated Balance Sheets p.4; Note 16 pp.24–28; Item 4 p.40, data/V/",,,,,"Latest accruals, legal updates, controls"
12_regulatory-legal-and-compliance,S03,Tier 4,"Visa 2026 DEF 14A, filed 2025-12-08, governance, whistleblower and proposal sections, data/V/",,,,,Reporting channels and adult-content proposal/response
12_regulatory-legal-and-compliance,S04,Tier 8,"DOJ, U.S. v. Visa, Inc. [2024], case page updated 2025-07-07; DOJ press release 2024-09-24",,,,,Direct regulator confirmation of case and allegations
12_regulatory-legal-and-compliance,S05,Tier 8,"NYSE Regulation, Noncompliant Issuers, retrieved 2026-09-23",,,,,Current list only; not historical fines
12_regulatory-legal-and-compliance,S06,Tier 8,"OFAC General License 15C, 2020-03-12",,,,,"Historic authorization, not an enforcement finding"
12_regulatory-legal-and-compliance,S07,Tier 5,"Capital IQ Public Company Profile, S&P ratings block, export as of 2026-08-14; rating field date 2018-11-20",,,,,Stale rating field only
12_regulatory-legal-and-compliance,S08,Tier 8,"S&P Ratings Find a Rating, retrieved 2026-09-23",,,,,Historical issuer action not retrieved
12_regulatory-legal-and-compliance,S09,Tier Internal upstream,management-governance/01_disqualifier-scan.md and 07_people-and-culture-dossier.md,,,,,Disqualifier statement and lineage candidates; not primary legal proof
12_regulatory-legal-and-compliance,S10,Tier 1,"SEC EDGAR exhibit, Stipulated Order of Dismissal, 2009 (Starpay/VIMachine v. Visa International and Visa U.S.A.)",,,,,Historic predecessor litigation disposition
12_regulatory-legal-and-compliance,S11,Tier 1,"SEC S-1/A comment-response materials, 2007, Inovant note",,,,,Historic Inovant mutual release
