source_id,agent,source_type,filename_filing,period,page_section,date,confidence_1_to_5,used_for
S3-03,03,Exhibit index (10-Q),Form 10-Q Jul-09-2026,"Q3 FY2026","Exhibit Index","2026-07-09",4,"Confirms existence of Scalzo 8-K exhibits"
S4-03,03,Web (unverified),SEC Form 8-K Ex.10.1/10.2,"Filed 2026-01-21","Full exhibit text (indirect)","2026-08-06 access",2,"Scalzo base salary, inducement option terms"
S5-03,03,Web (unverified),Globe and Mail press release,"Jan 2026","Full article","2026-01-26",2,"Corroborates inducement-option terms"
S6-03,03,Cross-module,business-model/11_capital-allocation-governance.md,"FY2023-May 2026","Dividend policy, debt trajectory","2026-08-06",5,"Capital-allocation policy context"
S1-04,04,Proxy statement,2026 Annual Meeting Proxy Statement,"FY2026 as of Dec-1-2025","Beneficial Ownership p.66-67","2026",5,"Beneficial ownership table, 5% holders"
S2-04,04,Proxy statement,2026 Annual Meeting Proxy Statement,"FY2026","Anti-Hedging Policy p.5,26,31","2026",5,"Pledging policy confirmation"
S3-04,04,Proxy statement,2026 Annual Meeting Proxy Statement,"FY2026","Investor Rights Agreement p.67-68","2026",5,"Control structure, lapsed sponsor rights"
S4-04,04,Proxy statement,2026 Annual Meeting Proxy Statement,"FY2026","Governance Practices p.4","2026",5,"Controlled-company status"
S5-04,04,Data-vendor export (CIQ),Public Ownership Summary.rtf,"Position dates through 2026-08-04","Ownership Summary","2026-08",4,"Institutional concentration"
S6-04,04,Data-vendor export (CIQ),Public Ownership Insider Trading.xls,"2018-11-08 to 2026-07-24","Insider/Individual Trades","2026-08",5,"Form 4 transactions"
S7-04,04,Cross-module,business-model/01_disqualifier-scan.md,"FY2026","Item 2","2026-08-06",5,"Pledging disqualifier cross-check"
S8-04,04,Cross-module,business-model/11_capital-allocation-governance.md,"FY2026","Ownership quick-read","2026-08-06",4,"Cross-check insider buying"
S9-04,04,In-module,management-governance/01_management-and-track-record.md,"FY2026","CEO transition timeline","2026-08-06",4,"Scalzo return date"
S10-04,04,10-K,Annual Report on Form 10-K (FY2025),"FY2025","Debt note","2025-10-28",5,"Distinguish corporate borrowing from insider pledging"
S1-05,05,Proxy statement,Annual Meeting Proxy Statement_2026.pdf,"Record date Dec-1-2025; meeting Jan-28-2026","Multiple sections p.10-86","Mailed 2025-12-17",5,"Board composition, independence, committees, ownership, RPT, voting"
S2-05,05,Annual filing (10-K),Annual Report on Form 10-K_2025.pdf,"FY2025","Anti-takeover Risk Factors","Filed 2025-10-28",5,"Takeover-defense inventory"
S3-05,05,Vendor news export (CIQ),Key Developments.rtf,"Rolling Jan-2026","Entries 2026-01-19/20/28","Data as of 2026-07-24",4,"CEO/board-seat transition timeline"
S4-05,05,Cross-module,business-model/01_disqualifier-scan.md,"FY2025/Current","sec1 items2-3","2026-08-06",5,"No controlling owner, no material RPT"
S5-05,05,Cross-module,management-governance/01_management-and-track-record.md,"FY2025-FY2026","sec1-2","2026-08-06",5,"Leadership-transition context"
S6-05,05,Cross-module,management-governance/00_governance-data-triage.md,"Current","sec3,sec5B","2026-08-06",5,"Proxy/board-disclosure sufficiency"
S1-06,06,Earnings-call transcript (verbatim),Q2 2026 Earnings Call,"FQ2 FY2026","Prepared remarks, Q&A","2026-04-09",5,"FQ2 miss admission, OWYN failure admission"
S2-06,06,Earnings-call transcript (verbatim),Q3 2026 Earnings Call,"FQ3 FY2026","Prepared remarks, Q&A","2026-07-09",5,"Continued candor read, Q&A directness"
S3-06,06,Cross-module,earnings/06_earnings-quality.md,"FY2021-FQ3 FY2026","sec1,4,5,7,9,10","2026-08-06",5,"Non-GAAP adjustment magnitude, recurring pattern"
S4-06,06,Cross-module,earnings/04_guidance-consensus.md,"FY2026","sec2","2026-08-06",4,"Transcript vs vendor guidance discrepancy"
S5-06,06,Cross-module,management-governance/01_management-and-track-record.md,"FY2023-FY2026","sec4,4A","2026-08-06",5,"Promise-vs-delivery misses"
S6-06,06,Cross-module,business-model/01_disqualifier-scan.md,"FY2025","sec3","2026-08-06",5,"No unresolved adverse integrity signal"
S7-06,06,Annual filing (10-K),Annual Report on Form 10-K_2025.pdf,"FY2025","Consolidated Statements, MD&A","Filed 2025-10-28",5,"Impairment quantum, filing-date timeliness"
