finding_id,agent,section,question,standardized_verdict,raw_value,unit,trend,peer_verdict,score,penalty,confidence_1_to_5,materiality,evidence,red_flag_id,follow_up
04-012,04,Insider transactions,Recurring sell-to-cover,Green,9,events,Recurring,N/A,,0,3,Low,"CIQ multiple Form4s",,"None"
04-013,04,Pledging,CEO shares eligible to pledge,Amber,28.9,%,N/A,N/A,16,0,5,High,"FY2025 10-K/A footnote2",,"Monitor pledged ratio"
04-014,04,Pledging,Aggregate collateralized loan,Green,1,%upper bound,N/A,N/A,,0,5,High,"FY2025 10-K/A",,"None"
04-015,04,Pledging,Kimbal Musk pledge ratio,Amber,100,%,N/A,N/A,,0,5,Low,"FY2025 10-K/A footnote10",,"None"
04-016,04,Control structure,Dual-class shares,Green,0,classes,Stable,N/A,,0,5,High,"FY2025 10-K/A",,"None"
04-017,04,Control structure,Voting Agreement,Amber,423743904,shares,Converts to CEO,N/A,5,0,5,High,"FY2025 10-K/A",,"Track tranche certification"
04-018,04,Control structure,Unaligned-owner test,N/A,0,triggers,N/A,N/A,,0,5,High,"FY2025 10-K/A; Q2 10-Q; BM/11",,"See 05 for RPT depth"
04-019,04,Institutional trend,Vanguard apparent exit,N/A,-258925024,shares,Reorg artifact,N/A,8,0,4,Medium,"CIQ; 10-K/A footnote3",,"None"
04-020,04,Market conduct,Unusual price/volume,Insufficient Data,,,,,,0,1,Low,"None in pool",,"Source surveillance dataset"
05-001,05,Board Composition,Board size,Green,9,directors,Stable,N/A,3,0,5,Low,"FY2025 10-K/A Item 10",,"None"
05-002,05,Board Composition,Independent directors %,Green,77.8,%,Stable,N/A,12,0,5,High,"FY2025 10-K/A",,"None"
05-003,05,Board Composition,Chair/CEO split,Green,1,indep chair,Stable,N/A,3,0,5,Medium,"FY2025 10-K/A",,"None"
05-004,05,Board Composition,Audit Committee independence,Green,4,of4,Stable,N/A,4,0,5,High,"FY2025 10-K/A",,"None"
05-005,05,Board Composition,Comp Committee judgment,Amber,3,of3 indep,N/A,N/A,5,0,3,High,"FY2025 10-K/A; web",RF-SHR-001,"Track future moderation"
05-006,05,Tenure,Average director tenure,Amber,11.1,years,N/A,N/A,5,0,4,Medium,"FY2025 10-K/A calc",,"None"
05-007,05,Tenure,CEO overboarding,Red,5,other roles,N/A,N/A,1,-3,5,High,"FY2025 10-K/A",,"Monitor vs misses"
05-008,05,Tenure,Straubel independence-in-substance,Amber,1,director,N/A,N/A,2,0,4,Medium,"FY2025 10-K/A",,"Confirm recusal"
05-009,05,Tenure,Board refreshment,Green,3,of9,Improving,N/A,4,0,5,Medium,"FY2025 10-K/A",,"None"
05-010,05,RPT,Recurring commercial RPT,Green,0.6,%revenue,N/A,N/A,10,0,4,Low,"FY2025 10-K/A",,"None"
05-011,05,RPT,SpaceX equity investment,Amber,2.4,%net worth,New,N/A,5,0,4,Medium,"FY2025 10-K/A; CIQ",RF-RPT-002,"Track further flows"
05-012,05,RPT,CEO security firm,Amber,6.1,$mm,N/A,N/A,2,0,4,Low,"FY2025 10-K/A",,"None"
05-013,05,RPT,Derivative litigation,Red,3,suits,Unresolved,N/A,1,-2,3,High,"Q2 FY26 10-Q",RF-RPT-002,"Track appeal"
05-014,05,Takeover Defenses,Classified board,Red,3,classes,Stable,N/A,1,-3,5,High,"FY2025 10-K/A",RF-SHR-002,"Track declassification"
05-015,05,Takeover Defenses,Dual-class voting,Green,1,class,Stable,N/A,5,0,5,High,"FY2025 10-K/A",,"None"
05-016,05,Takeover Defenses,Supermajority bylaw,Red,66.7,%,N/A,N/A,0,-2,2,High,"Web, uncorroborated",RF-SHR-002,"Verify bylaws text"
05-017,05,Takeover Defenses,DE-to-TX reincorporation,Red,1,event,N/A,N/A,1,-3,5,Critical,"Q2 FY26 10-Q",RF-SHR-002,"Confirmed - none"
05-018,05,Takeover Defenses,3% derivative-suit threshold,Red,3,%shares,N/A,N/A,0,-3,2,Critical,"Web, uncorroborated",RF-SHR-002,"Verify bylaws - top priority"
05-019,05,Shareholder Voting,2025 award vote,Red,75,%approved,N/A,N/A,1,-3,3,High,"Web CNBC; 10-K/A",RF-SHR-001,"Track future say-on-pay"
05-020,05,Shareholder Voting,Proxy-advisor recs,Red,2,of2 against,N/A,N/A,0,-2,2,High,"Web Bloomberg",RF-SHR-001,"Track future recs"
05-021,05,Shareholder Voting,2024 declassification vote,Amber,54,%support,N/A,N/A,2,0,2,High,"Web, uncorroborated",RF-SHR-002,"Verify primary source"
05-022,05,Shareholder Voting,2022 majority-vote proposal,Green,98,%support,N/A,N/A,3,0,2,Medium,"Web, uncorroborated",,"Verify post-reincorp status"
05-023,05,Shareholder Voting,Dilution shares outstanding,Amber,56,%increase,Rising,N/A,2,0,4,High,"BM/11 sec1",RF-SHR-002,"Cross-ref 02"
05-024,05,Shareholder Voting,Poison pill,N/A,0,none,N/A,N/A,3,0,3,Low,"Web; not in pool",,"None"
05-025,05,Shareholder Voting,Pledging policy caps,Green,25,%CEO cap,Stable,N/A,3,0,5,Low,"FY2025 10-K/A",,"None"
06-001,06,Owning the Misses,Delivery-growth promise,Red,0,acknowledgments,Not improving,N/A,3,-5,4,High,"Q1 2026 transcript verbatim",RF-DISC-001,"Track FY26 commentary"
06-002,06,Owning the Misses,FSD Europe/China promise,Red,0,acknowledgments,Not improving,N/A,3,-5,4,Critical,"Q1 2026 transcript verbatim",RF-DISC-001,"Track EU/China timeline"
06-003,06,Owning the Misses,Q2 2026 CFO specificity,Green,5,drivers named,Consistent,N/A,9,0,5,High,"Q2 2026 transcript verbatim",,"None"
06-004,06,Owning the Misses,Q2 2026 CEO tone,Red,1,positive-framing instance,N/A,N/A,1,-6,5,Critical,"Q2 2026 transcript verbatim",RF-DISC-001,"Compare to next miss"
06-005,06,Non-GAAP,GAAP-to-Adj-EBITDA gap,Red,39.0,%,Persistent,Exceeds threshold,3,-6,5,High,"Earnings/06",RF-DISC-002,"Monitor trend"
06-006,06,Non-GAAP,Recurring tax-valuation releases,Amber,2,occurrences,Recurred once,N/A,4,-2,4,Medium,"Earnings/06",RF-DISC-002,"Watch 3rd occurrence"
06-007,06,Non-GAAP,Recurring restructuring charges,Amber,5,of9 years,Frequent,N/A,4,-2,4,Medium,"Earnings/06",RF-DISC-002,"None further"
06-008,06,Disclosure Transparency,Segment op-income disclosure,Red,0,of3 segments,Not improving,N/A,2,-4,4,High,"BM/03",RF-DISC-002,"Track disclosure changes"
06-009,06,Disclosure Transparency,Definitional-change frequency,Amber,4,changes,Frequent,N/A,5,-2,4,Medium,"Earnings/06",RF-DISC-002,"None further"
06-010,06,Tone in Bad Times,Q&A evasiveness,Red,0,of6 questions,N/A,N/A,2,-5,4,High,"Q2 2026 transcript verbatim",RF-DISC-001,"Track next quarter"
06-011,06,Tone in Bad Times,Merger question deflection,Amber,1,deflection,N/A,N/A,3,-1,4,Medium,"Q2 2026 transcript; BM/12",,"Track corporate action"
06-012,06,Candor Read,Integrity signal weighted,Red,1,active class action,Unresolved,N/A,0,-10,3,Critical,"01 sec4A; Q2 FY26 10-Q Note11",RF-MGT-005,"Track motion to dismiss"
