# SOURCE: Company Comparable Analysis Niva Bupa Health Insurance Company Limited.xls
# SHEET: Business Description  (4 of 6)
# DIMS: 44 rows x 3 cols
# ---
		
		
		
Niva Bupa Health Insurance Company Limited (NSEI:NIVABUPA) >  Quick Comparable Analysis > Business Description		
		
		
Details		
Template:	Capital IQ Default Comps	
HDFC Life Insurance Company Limited (NSEI:HDFCLIFE)	HDFC Life Insurance Company Limited provides individual and group insurance solutions in India. It offers insurance and investment products, such as protection, pension, savings, investment, annuity, and health, as well as term, investment, and life insurance plans. The company was formerly known as HDFC Standard Life Insurance Company Limited changed its name to HDFC Life Insurance Company Limited in January 2019. HDFC Life Insurance Company Limited was incorporated in 2000 and is headquartered in Mumbai, India. HDFC Life Insurance Company Limited operates as a subsidiary of HDFC Bank Limited.	Lodha Excelus, 12th, 13th & 14th Floor, Apollo Mills Compound, N M Joshi Marg, Mahalaxmi, Mumbai, Maharashtra, 400011, India
The New India Assurance Company Limited (NSEI:NIACL)	The New India Assurance Company Limited, together with its subsidiaries, operates as a general insurance company in India and internationally. The company provides credit, engineering, aviation, property, personal accident, liability, marine cargo, marine hull, fire, travel, motor, health, employers liability, rural, product / public liability, other liability, social sector, and miscellaneous insurance products. It also offers crop, cattle, sheep, goat, poultry, horticulture/plantation, and micro insurance products, as well as insurance for agriculture solar pump sets. In addition, it offers bancassurance and reinsurance products, and government schemes. The New India Assurance Company Limited was incorporated in 1919 and is headquartered in Mumbai, India.	New India Assurance Building, 87, M.G. Road, Fort, Mumbai, Maharashtra, 400001, India
The Mediterranean and Gulf Cooperative Insurance and Reinsurance Company (SASE:8030)	The Mediterranean and Gulf Cooperative Insurance and Reinsurance Company provides medical, motor, and other general insurance in the Kingdom of Saudi Arabia. The company offers third party and comprehensive motor, medical malpractice, and domestic worker contract insurance; roadside assistance; and visit visa extension services. It also provides health insurance; property all risks, sabotage and terrorism, fire and allied perils, and political violence insurance; aviation hull and liability, unmanaged aerial systems, airport operations/contractors liability insurance; and marine cargo insurance one single shipment, marine cargo open cover, marine hull, land transit insurance one shipment, and land transit open cover. In addition, the company offers insurance for boiler and pressure; erection all risk insurance; plant and equipment insurance; contractors all risk insurance; electronic equipment insurance; inherent structural defects insurance; deterioration of stock following machinery breakdown insurance; and machinery breakdown insurance products. The Mediterranean and Gulf Cooperative Insurance and Reinsurance Company was founded in 2006 and is headquartered in Riyadh, the Kingdom of Saudi Arabia.	Futuro Tower, King Saud Road, P.O Box 2302, Riyadh  11451, Saudi Arabia
Life Insurance Corporation of India (NSEI:LICI)	Life Insurance Corporation of India provides life insurance products in India, Fiji, Mauritius, and the United Kingdom. It offers insurance plans, including endowment, whole life, term insurance plans, money back, and term assurance plans, as well as riders comprising accidental death and disability benefit, critical illness benefit, and premium waiver benefit riders. The company also provides pension, unit linked, micro insurance, withdrawal, and health plans, as well as various group schemes. Life Insurance Corporation of India was incorporated in 1956 and is based in Mumbai, India.	Yogakshema, 7th Floor, East Wing, Jeevan Bima Marg, Nariman Point, Mumbai, Maharashtra, 400021, India
Jubilee Life Insurance Company Limited (KASE:JLICL)	Jubilee Life Insurance Company Limited provides life insurance products in Pakistan. The company provides individual savings plans ‘products, such as retirement, marriage, child education, joint life, wealth accumulation, single premium, traditional endowment plans, savings and protection, as well as plans for medical colleges; and individual protection, which include death due to any cause, accidental death, death due to dread disease, comprehensive cancer coverage, level term assurance, decreasing term assurance, critical illness, family income benefit plans, and school fee protection. It offers miscellaneous riders, including cancer protection, medical second opinion, accidental death, accidental death or dismemberment, family income benefit, hospitalization cash, permanent total disability, and inpatient hospitalization riders; individual health products, such as cancer protection, inpatient hospitalization, emergency hospitalization cover, and micro health insurance; and digital Product consist of accidental death and disability, inpatient/accidental, and hospitalization. In addition, the company provides group life products consisting of credit life, fee and pay continuation, hospital cash benefit, microinsurance, and mortgage life plans; group health products, such as comprehensive hospitalization benefits, comprehensive dread diseases cover, outpatient benefit, maternity benefit, and micro health; and Customer Services comprising customer web portal, mobile app, interactive voice response, 24/7 approval center, call center, and SMS services. The company was formerly known as New Jubilee Life Insurance Company Limited and changed its name to Jubilee Life Insurance Company Limited in October 2011. Jubilee Life Insurance Company Limited was incorporated in 1995 and is based in Karachi, Pakistan.	74/1-A, Lalazar, M.T. Khan Road, Karachi  74000, Pakistan
		
		
Niva Bupa Health Insurance Company Limited (NSEI:NIVABUPA)	Niva Bupa Health Insurance Company Limited provides health insurance products in India. It offers health insurance plans, such as individual, family, NRIs, senior citizens, personal accident, critical illness; travel insurance, including international and studying abroad insurance plans; and corporate insurance comprising group and start up health, group personal accident and OPD coverage, and group health insurance claim process. The company was formerly known as Max Bupa Health Insurance Company Limited and changed its name to Niva Bupa Health Insurance Company Limited in July 2021. The company was founded in 1947 and is based in Gurugram, India. Niva Bupa Health Insurance Company Limited is a subsidiary of Bupa Singapore Holdings Pte. Ltd.	Capital Cyberscape, Third Floor, Golf Course Extension Road Sector-59, BadshahpuR, Gurugram, Haryana, 122101, India
		
		
Displaying 11 Companies.		
		
		
		
		
Values converted at today's spot rate.		
Companies by default are sorted by S&P Capital IQ’s proprietary relevancy score.		
		
		
		
		
		
		
		
Historical Equity Pricing Data supplied by Interactive Data Pricing and Reference Data LLC		
