finding_id,agent,section,question_test,verdict,raw_value,unit,trend,peer_verdict,score,penalty,confidence,materiality,evidence,red_flag_id,follow_up
02-017,capital-allocation-scorecard,Organic Reinvestment,AED 200bn masterplan capital discipline test,Amber,200,AED bn commitment,New,NA,0,3,3,High,"Capital IQ Key Developments, Jun-11-2026",,Request phased plan details
02-018,capital-allocation-scorecard,Balance Sheet,Net debt trajectory,Green,-17287,AED mn broad net cash FY2025,Improving strongly,Better,10,0,5,Critical,"Capital IQ Annual BS; FY25 Investor Presentation Slide 8; earnings/01",,
03-003,incentives-and-compensation,Comp structure,LTIP in place (Phantom Share 3-year vesting),Green,1,Binary,New from 2023,NA,10,0,2,Medium,"Web: 2023 Governance Report summary (unverified) 2024-03",,Confirm PS grants and eligible recipients
03-006,incentives-and-compensation,Performance metrics,LTIP linked to share price (partial per-share signal),Green,1,Binary,New,NA,8,0,2,Medium,"Web: 2023 Governance Report summary (unverified) 2024-03",,
03-007,incentives-and-compensation,Performance metrics,Confirmed returns/per-share metrics in LTIP?,Insufficient Data,,,,,,,1,High,No English source confirms specific conditions,,Priority: extract named performance conditions from governance report
03-011,incentives-and-compensation,Alignment,Management personal shareholding skin in the game,Red,0.03,% Individuals/Insiders combined,Stable/Low,NA,3,5,3,High,"CIQ Public Ownership Summary, 2026-05",,Determine whether CEO holds personal Emaar shares
04-001,ownership-and-insider-behavior,Ownership,Government controlling-bloc stake,Red,29.73,% of total shares,Stable-to-Increasing,Not assessed,,,,4,High,"Capital IQ Public Ownership Summary May-14-2026; Key Developments May-11-2026",RF-OWN-004,Monitor RPT terms in English FY2025 audited AR
04-002,ownership-and-insider-behavior,Ownership,Individual insider founder stake,Amber,0.03,% of total shares,Stable,Not assessed,,,,3,Medium,"Capital IQ Public Ownership Summary, Mar-31-2026",,Confirm Alabbar exact holding
04-005,ownership-and-insider-behavior,Transactions,Vanguard Group full exit ~3.4% of shares,Amber,-298999428,shares sold,Deteriorating,Not assessed,,,,3,Medium,"Capital IQ Public Ownership Summary, Mar-31-2026",,Monitor further large passive-manager exits
04-009,ownership-and-insider-behavior,Control,Government-control structural misalignment Filter 6,Red,29.73,% government-linked,Increasing,Not assessed,4,,4,Critical,"Key Developments May-11-2026; Capital IQ ownership data; board members; 11_capital-allocation-governance.md",RF-OWN-004,Monitor RPT quantum; board appointments; land-transaction terms; masterplan pre-sale gates
05-001,board-and-shareholder-rights,Board Composition,Independent director %,Red,20,% formally independent,Stable,Worse than global standard,4,12,4,High,"Capital IQ Board Members, Jun-2026",,Obtain UAE SCA required independence % for Emaar's market cap tier
05-008,board-and-shareholder-rights,Tenure,Overboarding Alabbar MD with 6+ concurrent seats including Eagle Hills,Red,6,concurrent board positions,Ongoing,Significantly worse,0,8,4,High,"Capital IQ Board Members; Key Developments Jan-30-2026",RF-OWN-004,Obtain English conflict-of-interest policy; confirm Eagle Hills in RPT note
05-012,board-and-shareholder-rights,RPT,Quantitative RPT values FY2024/FY2025 data unavailable,Insufficient Data,,,,,,,1,Critical,"FY2024 Arabic AR (not extracted); FY2025 AR not yet filed",,Highest-priority follow-up: English RPT note
05-021,board-and-shareholder-rights,Minority Protection,24 Filter 6 government-controlled anchor shareholder,Red,29.73,% held by Dubai Holding Emirates Power,Newly consolidated,Below international norms,0,10,5,Critical,"Capital IQ Public Ownership Summary; Key Developments May-11-2026",RF-OWN-004,Permanent structural risk — track through RPT and acquisition-pricing disclosures
06-001,candor-and-disclosure-quality,Owning misses,Emaar Misr collapse owned or obscured,Red,-65,% change AED net profit Emaar Misr FY2025,Deteriorating,NA,5,15,4,High,"FY2025 Investor Presentation Slide 21; Key Developments Feb-23-2026",RF-DISC-001,Request English explanation of Emaar Misr FY2025 margin drivers
06-002,candor-and-disclosure-quality,Owning misses,Prior-period warning of Emaar Misr risk,Red,0,risk warnings in prior filings,Stable (absent),NA,0,5,4,High,"FY2023 Prelim AR Feb-08-2024; FY2022 press release Feb-14-2023",RF-DISC-001,Confirm Arabic FY2024 AR MD&A contains Egypt risk disclosure
06-006,candor-and-disclosure-quality,Non-GAAP,Recurring one-off asset writedowns FY2021-FY2023,Amber,3594,AED mn cumulative,Stopped FY2024,NA,12,5,4,Medium,"earnings/06; Capital IQ Annual Cash Flow",RF-DISC-002,Monitor FY2026 CFS for recurrence
06-008,candor-and-disclosure-quality,Disclosure transparency,Segment KPI consistency,Green,4,segments with consistent KPIs,Stable/improving,NA,18,0,4,Medium,"FY2025 Investor Presentation Slides 16-26; FY2023 Prelim AR",,
06-011,candor-and-disclosure-quality,Tone in bad times,CEO/MD narrative acknowledgment of Emaar Misr collapse,Red,0,English CEO/MD quotes on Emaar Misr deterioration,Stable (absent),NA,3,10,4,High,"FY2025 Investor Presentation Slide 21; press releases FY2022-FY2025",RF-DISC-001,No follow-up possible — absence is the finding
