agent_file,source_id,source_type,filename_filing,period,page_section,date,confidence_1_5,used_for
01_management-and-track-record.md,S11,Web (unverified),RTTNews / MarketScreener / Nasdaq coverage of Marie-Anne Popp's Jan-2025 CFO appointment,Jan 2025 (event),n/a,Retrieved 2026-08-12,2,"CFO pre-Delivery Hero career background (Adidas, GE, HBS/ESCP)"
01_management-and-track-record.md,S12,Web (unverified),Delivery Hero newsroom coverage (via search) of Jan-2026 Management Board changes,Jan 2026 (event),n/a,Retrieved 2026-08-12,2,CEO/COO contract renewal to 2029; CPO Johannes Bruder's Board appointment
02_capital-allocation-scorecard.md,1,Data-vendor workbook (audited-filing-sourced),"Delivery Hero SE XTRA DHER Financials.xls, Cash Flow / Balance Sheet / Capital Structure Summary tabs",FY2020-FY2025,Cash Flow tab; Balance Sheet tab; Capital Structure Summary tab,Data as of 2026-08-10,4,"Uses-of-capital cumulative figures, share count, book value/share, tangible book value/share, net debt"
02_capital-allocation-scorecard.md,2,Annual filing,"Delivery_Hero_SE-Annual_Report(Apr-25-2025).pdf (FY2024 Annual Report, IFRS as adopted by EU)",FY2024 (with FY2023 comparatives),"Note ""Acquisitions and Divestitures"" p.161; Note F.1.b (goodwill impairment) p.161; Intangible Assets movement note p.166; Corporate Financing section p.94-95; CEO letter p.283",2025-04-25,5,"M&A deal details, goodwill impairment by CGU, convertible-bond buyback detail, Talabat IPO detail"
02_capital-allocation-scorecard.md,3,Cross-module input,`business-model/11_capital-allocation-governance.md`,FY2020-FY2025 (with 2026 overlay),"§1 Signal Table, §3, §4",2026-08-12,5,"Cumulative goodwill impairment figure (€2.05bn), RF-CAP-004 framing, dilution/share-count context"
02_capital-allocation-scorecard.md,4,Cross-module input,`earnings/01_historical-financials.md`,FY2021-FY2025,§1 Annual Financial Table,2026-08-12,5,"Normalized capex, CFO, FCF, EBIT figures used for the Uses of Capital and incremental-ROIC discussion"
02_capital-allocation-scorecard.md,5,Cross-module input,`management-governance/01_management-and-track-record.md`,FY2021-FY2026,§4 Promise vs Delivery,2026-08-12,5,Cross-check on FCF guidance-vs-actual context
02_capital-allocation-scorecard.md,6,Cross-module input,`business-model/12_red-flags-sweep.md`,FY2024-FY2025,One-off gains row,2026-08-12,5,"Foodpanda Taiwan breakup-fee context, one-off item flattening"
02_capital-allocation-scorecard.md,7,Deal/M&A transcript,"Uber Technologies, Inc., Delivery Hero SE - M&A Call.pdf",16-Jul-2026,p.4,2026-07-16,3,Context overlay — Prosus/Naspers tender commitment
02_capital-allocation-scorecard.md,8,Earnings transcript,"Delivery Hero SE, 2025 Earnings Call transcript.pdf",FY2025 results,p.11 (Talabat buyback discussion),2026-03-26,3,Talabat subsidiary-level buyback distinction
02_capital-allocation-scorecard.md,9,Web (unverified),"PYMNTS, Restaurant Dive, Verdict Food Service — Woowa Brothers $4.0bn deal coverage",2019-2020 (event),n/a,Retrieved 2026-08-12,2,Woowa Brothers original acquisition price (not in pool's audited filings)
02_capital-allocation-scorecard.md,10,Web (unverified),"Bloomberg, TechCrunch, EU-Startups, CB Insights — Glovo €2.3bn deal coverage",2021-2022 (event),n/a,Retrieved 2026-08-12,2,Glovo majority-stake acquisition price and structure (not in pool's audited filings)
02_capital-allocation-scorecard.md,11,Web (unverified),Bloomberg Law — potential Woowa impairment risk coverage,2022 (event),n/a,Retrieved 2026-08-12,2,Historical impairment-risk flag on the Woowa deal specifically
03_incentives-and-compensation.md,S1,"Annual filing (proxy/comp-equivalent, KPMG-audited)",Delivery_Hero_SE-Annual_Report(Apr-25-2025).pdf,FY2024,"Compensation Report 2024, p.39–61; Note 10(c), p.207",2025-04-25,5,"All compensation structure, metrics, weights, malus/clawback, max comp, change-of-control, say-on-pay, deviation findings"
03_incentives-and-compensation.md,S2,Data-vendor workbook,"Delivery-Hero-SE-XTRA-DHER-Financials.xls, Income Statement tab",FY2020–FY2025,"Stock-Based Comp., Total row",Data as of 2026-08-10,4,"Group-wide SBC expense trend (dilution context, Finding 03-020)"
03_incentives-and-compensation.md,S3,Cross-module input,`management-governance/01_management-and-track-record.md`,FY2023–FY2025,§4,2026-08-12,5,Adjusted EBITDA / FCF / EPS promise-vs-delivery record used in pay-for-performance read
03_incentives-and-compensation.md,S4,Cross-module input,`management-governance/00_governance-data-triage.md`,FY2024–2026,"§context note, §5A",2026-08-12,5,"Uber M&A overlay, disqualifier-deference context, jurisdiction mapping"
03_incentives-and-compensation.md,S5,Web (unverified),simplywall.st coverage of Just Eat Takeaway CEO Jitse Groen compensation,FY2023,n/a,Retrieved 2026-08-12,2,"Single peer-comp data point (Finding 03-014), labeled unverified, no vendor error margin stated"
04_ownership-and-insider-behavior.md,S1,Annual filing (proxy/ownership/board-equivalent),Delivery_Hero_SE-Annual_Report(Apr-25-2025).pdf,FY2024,"""Shareholdings exceeding 10% of voting rights"" p.32–33; Compensation Report (LTIP/STI/Hero Grant) pp.~2160–2521, 9750–9865; Note 10 Related-Party Disclosures p.206–207",2025-04-25,5,"Insider/institutional ownership disclosure, Management Board equity nature (bought vs granted), pledging absence, dual-class absence, board-seat vacancy"
04_ownership-and-insider-behavior.md,S2,Deal/M&A transcript,"Uber Technologies, Inc., Delivery Hero SE - M&A Call.pdf","Jul 16, 2026","p.4 (Prosus tender commitment), p.7 (37% economic exposure), p.5 (synergy/EPS accretion guidance)",2026-07-16,3,"Current control-structure event — acquirer's pre-completion stake, reference shareholder's tender commitment"
04_ownership-and-insider-behavior.md,S3,Cross-module input,business-model/01_disqualifier-scan.md,FY2024,Pledging/promoter section,2026-08-12,5,Confirms no promoter/insider share-pledge disclosure found anywhere in the pool
04_ownership-and-insider-behavior.md,S4,Cross-module input,business-model/11_capital-allocation-governance.md,FY2024–2026,Insider/promoter ownership row; Senior management turnover row,2026-08-12,5,Corroborates Naspers/MIH >10% holder finding and board-seat/CFO turnover context
04_ownership-and-insider-behavior.md,S5,Cross-module input,management-governance/01_management-and-track-record.md,FY2024–2026,"§1, §2",2026-08-12,5,Founder-CEO tenure/status context this module tests against the ownership record
04_ownership-and-insider-behavior.md,S6,Web (unverified),"Prosus press releases (""Prosus sells 5% interest in Delivery Hero to Aspex Management""; ""Prosus gives irrevocable undertaking to sell residual stake in Delivery Hero to Uber"")",Apr–Jul 2026 (events),n/a,Retrieved 2026-08-12,2,"Naspers/Prosus historical stake, 2026 divestiture percentages and prices, residual 16.8% tender commitment"
04_ownership-and-insider-behavior.md,S7,Web (unverified),"Reuters (via TradingView/sahmcapital), Bloomberg, ESM Magazine coverage of Aspex Management's stake-build",May 2026 (event),n/a,Retrieved 2026-08-12,2,"Aspex Management's ~15% stake, €22.00/share purchase price, activist demands (CEO replacement, regional divestiture)"
04_ownership-and-insider-behavior.md,S8,Web (unverified),Bloomberg / Delivery Hero newsroom coverage of CEO Niklas Östberg's announced departure,May 2026 (event),n/a,Retrieved 2026-08-12,2,"CEO succession-plan announcement context, cross-checked against 01_management-and-track-record.md's founder-CEO continuity read"
04_ownership-and-insider-behavior.md,S9,Web (unverified),Bloomberg coverage of Uber's $14.8bn / €41.50-per-share offer,"Jul 16, 2026 (event)",n/a,Retrieved 2026-08-12,2,Deal price context for the Aspex purchase-price-vs-offer-price timing observation
05_board-and-shareholder-rights.md,S1,Annual filing (proxy/board/RPT-equivalent),Delivery_Hero_SE-Annual_Report(Apr-25-2025).pdf,FY2024,Report of the Supervisory Board p.12–18; Corporate Governance Statement p.19–40; Qualification Matrix p.25–28; Compensation Report 2024 p.41; Note 10 Related-Party Disclosures p.206–209; Independent Auditor's Report p.222–223,2025-04-25,5,"Board composition, committee structure, independence assessments, tenure, RPT, voting rights, takeover disclosures, change-of-control provisions, AGM say-on-pay result"
05_board-and-shareholder-rights.md,S2,Deal / M&A transcript,"Uber Technologies, Inc., Delivery Hero SE - M&A Call.pdf","Jul 16, 2026","p.4, p.8",2026-07-16,3,"Live tender-offer status, Prosus/Naspers irrevocable tender commitment, forward squeeze-out/domination-agreement risk read"
05_board-and-shareholder-rights.md,S3,Cross-module input,`business-model/01_disqualifier-scan.md`,FY2024,§1–4,2026-08-12,5,"Disqualifier-deference context, FY2024 revenue figure for RPT-materiality calculations"
05_board-and-shareholder-rights.md,S4,Cross-module input,`business-model/11_capital-allocation-governance.md`,FY2020–FY2025,"§1 (share count, equity)",2026-08-12,5,"Dilution trajectory, total common equity figure for RPT % of net worth"
05_board-and-shareholder-rights.md,S5,Cross-module input (in-module),`management-governance/01_management-and-track-record.md`,FY2024,"§2, Finding 01-006",2026-08-12,5,Supervisory Board churn cross-check
05_board-and-shareholder-rights.md,S6,Cross-module input (in-module),`management-governance/00_governance-data-triage.md`,2026-08-12,§5–6,2026-08-12,5,"Partial-data cap determination, jurisdiction mapping"
06_candor-and-disclosure-quality.md,S1,Earnings transcript (verbatim),"Delivery Hero SE, 2025 Earnings Call, Mar 26, 2026.pdf",FY2025 results,Prepared remarks p.4-6; Q&A p.7-13,2026-03-26,5,"Tone, owning-the-miss read, Q&A directness/evasiveness"
06_candor-and-disclosure-quality.md,S2,Earnings transcript (verbatim),"Delivery Hero SE, Q1 2026 Sales_ Trading Statement Call, Apr 30, 2026.pdf",Q1 2026,Prepared remarks p.4-6,2026-04-30,5,"Current-period tone cross-check, momentum framing"
06_candor-and-disclosure-quality.md,S3,Annual filing,Delivery_Hero_SE-Annual_Report(Apr-25-2025).pdf,FY2024,"Note 10, p.206-207; SASB Index, p.241; footnote 13",2025-04-25,5,"CFO-departure disclosure, data-breach transparency point, FCF-definition footnote"
06_candor-and-disclosure-quality.md,S4,Cross-module input,earnings/06_earnings-quality.md,FY2021-FY2025,"§4, §5, §7, §8, §9, §10",2026-08-12,5,"Non-GAAP aggressiveness, GAAP-to-adjusted gap, FCF normalization"
06_candor-and-disclosure-quality.md,S5,Cross-module input,earnings/04_guidance-consensus.md,FY2022-FY2026,"§2, §6",2026-08-12,5,"Guidance-basis wording, Street EPS miss history"
06_candor-and-disclosure-quality.md,S6,Cross-module input,01_management-and-track-record.md,FY2021-2026,"§4, §4A",2026-08-12,5,Promise-vs-delivery record to assess communication around
06_candor-and-disclosure-quality.md,S7,Cross-module input,business-model/12_red-flags-sweep.md,FY2024-2025,§1-4,2026-08-12,5,"Segment-disclosure unallocated bridge, one-off gains pattern"
06_candor-and-disclosure-quality.md,S8,Cross-module input,00_governance-data-triage.md,2026-08-12,§5C,2026-08-12,5,Filing-freshness / disclosure-timeliness read
