"agent","source_id","source_type","source","tier_status","period","page_section","date","confidence","used_for"
"ownership-and-insider-behavior","S10","Internal upstream evidence inventory","Governance Data Triage — AKAM","","2026 run","File Inventory and Most Recent Sources","2026-09-14","5","Confirms data inventory, U.S. jurisdiction, and missing proxy."
"board-and-shareholder-rights","S1","","data/AKAM/Akamai Technologies, Inc., 2025.pdf — FY2025 Form 10-K, filed 2026-02-20","Tier 1, frozen","","","","","Proxy incorporation; common-stock listing; takeover-defence provisions; succession process."
"board-and-shareholder-rights","S2","","data/AKAM/Akamai Technologies, Inc., Q1 2026.pdf — Form 10-Q","Tier 2, frozen","","","","","Corporate-action absence check."
"board-and-shareholder-rights","S3","","data/AKAM/Akamai Technologies, Inc., Q2 2026.pdf — Form 10-Q","Tier 2, frozen","","","","","Corporate-action absence check."
"board-and-shareholder-rights","S4","","Governance Data Triage — AKAM, 2026-09-14","Internal frozen-evidence inventory","","","","","Proxy, ownership and insider-data absence; applicable score cap."
"board-and-shareholder-rights","S5","","ciq_facts.json, AKAM, frozen 2026-09-14","Tier 5 vendor sidecar","","","","","Reconciled ownership / insider fields are marked missing; no ownership statistic used."
"board-and-shareholder-rights","S6","","relationships.json, AKAM, frozen 2026-09-14","Tier 5 vendor export","","","","","Zero rows; treated as no coverage, not as no relationships."
"board-and-shareholder-rights","S7","","SEC EDGAR 2026 DEF 14A, filed 2026-03-31","Tier 1 primary public filing, not in frozen pool","","","","","Board, committees, independence connections, RPT policy, voting rights and plan proposal context."
"board-and-shareholder-rights","S8","","SEC 8-K, filed 2026-05-13, Items 5.03 and 5.07","Tier 2 primary public filing, not in frozen pool","","","","","Annual-meeting voting results and new special-meeting right."
"candor-and-disclosure-quality","S1","Company earnings release","data/AKAM/23cab413-4bd3-4055-8415-e3e81559c003.pdf — Q2 2026 results","","Q2 2026","Results; Financial guidance, pp. 1–2","2026-08-06","4","Q2 GAAP/non-GAAP outcomes and revised guidance"
"candor-and-disclosure-quality","S2","Company earnings release","data/AKAM/8201ec17-6108-433f-bfdb-2ac3555bf343.pdf — Q1 2026 results","","Q1 2026","Financial guidance, p. 2","2026-05-07","4","Q2 and FY2026 original guidance"
"candor-and-disclosure-quality","S3","Verbatim earnings transcript","data/AKAM/Akamai Technologies, Inc., Q2 2026 Earnings Call, Aug 06, 2026.pdf","","Q2 2026","CFO prepared remarks, pp. 6–8; Q&A, pp. 9–14","2026-08-06","3","Tone, direct answers, capex, margin, timing, and guide explanation"
"candor-and-disclosure-quality","S4","Company supplemental workbook","data/AKAM/Supplemental Financial Information, 2nd Quarter 2026.xlsx","","Q2 2026 / FY2025","GAAP to Non-GAAP Reconciliation; Non-GAAP Definitions sheets","2026-08-06","4","Adjustment amounts, GAAP-to-non-GAAP gaps, definitions"
"candor-and-disclosure-quality","S5","Company supplemental workbooks","data/AKAM/Supplemental Financial Information, 1st Quarter 2026.xlsx and data/AKAM/Supplemental Financial Information, 2nd Quarter 2026.xlsx","","Q1–Q2 2026","Supplemental Revenue sheets","2026-05-07 / 2026-08-06","4","Solution-category reporting change and recast comparatives"
"candor-and-disclosure-quality","S6","Internal cross-module output","analyses/AKAM_2026-09-14/earnings/06_earnings-quality.md","","Current run","§§4–5, 7–10","2026-09-14","3","Cross-check on recurring adjustments and economic-earnings quality"
"candor-and-disclosure-quality","S7","Internal cross-module output","analyses/AKAM_2026-09-14/management-governance/01_management-and-track-record.md","","Current run","§§3–4","2026-09-14","3","Promise-versus-delivery record and identified guide change"
"people-integrity-dossiers","AKAM-FY25-10K","","FY25 Form 10-K, filed 2026-02-20, frozen pool","Tier 1","","","","","Proxy incorporation, group legal entities and governance source gaps."
"people-integrity-dossiers","AKAM-Q1FY26-10Q","","Q1 FY26 Form 10-Q, frozen pool","Tier 2","","","","","Incorporation and issuer identity context."
"people-integrity-dossiers","AKAM-Q2FY26-10Q","","Q2 FY26 Form 10-Q, frozen pool","Tier 2","","","","","Current-period entity/acquisition context and Rule 10b5-1 plan changes."
"people-integrity-dossiers","SEC-DEF14A-2026","","SEC EDGAR 2026 DEF 14A, filed 2026-03-31, public regulator sweep","Tier 1","","","","","Current roster, outside roles, political/public roles, Item 404 and family-relationship disclosure."
"people-integrity-dossiers","AKAM-HISTORY-2026","","Akamai company-history page, German original, retrieved 2026-09-14 and translated","Tier 10, company source","","","","","Founding/lineage only; not used as registry proof."
"people-integrity-dossiers","AKAM-IR-2016-06-22","","Akamai IR release on 145 Broadway lease","Tier 10, company source","","","","","Registered-address context only."
"people-integrity-dossiers","CIQ-FACTS-2026","","CIQ facts sidecar, retrieved 2026-09-14","Tier 5, vendor data","","","","","Missing insider-ownership/activity fields."
"people-integrity-dossiers","CIQ-REL-2026","","Capital IQ Suppliers/Customers relationship graph, retrieved 2026-09-14","Tier 5, vendor data","","","","","Zero-row, scope-limited relationship result."
"people-integrity-dossiers","SWEEP-LOG-2026-09-14","","Scoped public SEC, DOJ, CourtListener and OpenSanctions queries","Public registry/web sweep","","","","","Negative-search log only; not proof of a clean record."
"audit-and-assurance-quality","S01","Audited annual filing","data/AKAM/Akamai Technologies, Inc., 2025.pdf — Form 10-K","","FY2025 / comparative FY2023–FY2025","Cover; Item 8 pp.51–52; Item 9 p.93; Item 9A p.94; Items 10–14 pp.94–95; Exhibit 21.1","2026-02-20","5","Auditor identity/tenure, opinions, CAM, ICFR, restatement boxes, fee-proxy absence, components and gatekeeper records"
"audit-and-assurance-quality","S02","Quarterly filing","data/AKAM/Akamai Technologies, Inc., Q1 2026.pdf — Form 10-Q","","Q1 FY2026","Item 4 p.40; Exhibits 31.1–31.2","2026-05-08","5","CFO continuity and Q1 controls"
"audit-and-assurance-quality","S03","Quarterly filing","data/AKAM/Akamai Technologies, Inc., Q2 2026.pdf — Form 10-Q","","Q2 FY2026","Item 4 p.44; Exhibits 31.1–31.2","2026-08-07","5","CFO continuity and Q2 controls"
"audit-and-assurance-quality","S04","Regulator order","PCAOB Release 105-2024-014, In the Matter of PricewaterhouseCoopers LLP","","N/A","Settled disciplinary order","2024-03-28","5","Firm disciplinary history; RF-AUD-007"
"audit-and-assurance-quality","S05","Regulator database / Form AP","PCAOB Form AP, AKAMAI TECHNOLOGIES INC, FY2019 audit","","FY2019","Engagement partner field: Paul F. Dinunzio, Partner ID 0023800305","2020-03-19","5","Historic partner only; establishes current-partner evidence gap"
"audit-and-assurance-quality","S06","Regulator database sweep","PCAOB AuditorSearch and Enforcement; SEC administrative-proceedings searches","","Current search","Queries listed in Sweep Log","2026-09-14","4","Firm/partner discipline coverage and limitations"
"audit-and-assurance-quality","S07","Cross-module hard-lock input","analyses/AKAM_2026-09-14/business-model/01_disqualifier-scan.md","","FY2025","Disqualifier Check and Verdict-Lock Signal","2026-09-14","4","Required hard-lock deference"
"related-party-and-group-forensics","S1","Tier 1 audited filing","FY25 Form 10-K","","FY ended 2025-12-31","Item 13 p.95; Note 1; Note 8 pp.71–73; Note 12 pp.79–80; Exhibit 21.1","2026-02-20","5","Proxy incorporation/gap, acquisition ledger, sublease economics, subsidiary list."
"related-party-and-group-forensics","S2","Tier 2 quarterly filing","Q2 FY26 Form 10-Q","","Quarter ended 2026-06-30","pp.3–4; Note 6; Item 2 p.42","2026-08-06","5","Consolidated cash/debt, LayerX acquisition and disclosed off-balance-sheet arrangements."
"related-party-and-group-forensics","S3","Tier 1 public regulator filing, upstream-only","2026 DEF 14A","","FY25 transactions","p.39","2026-03-31","4","Zero FY25 Item 404(a) transaction read and outside-role reconciliation; not in frozen pool."
"related-party-and-group-forensics","S4","Tier 5 vendor export","Capital IQ Suppliers/Customers relationship graph","","Recent disclosure view","Graph JSON","2026-09-14","3","Zero-row, scope-limited commercial relationship read."
"related-party-and-group-forensics","S5","Internal cross-module output","07 People & Network Integrity Dossiers","","Current run","§§0, 2B–5","2026-09-14","3","Entity web, limited registry coverage, proxy provenance and reconciliation classifications."
"related-party-and-group-forensics","S6","Internal cross-module output","earnings/01_historical-financials","","FY25–Q2 FY26","§§1–2","2026-09-14","5","Revenue/PAT/assets and strict-net-debt denominators/builds."
"related-party-and-group-forensics","S7","Internal cross-module output","business-model/01_disqualifier-scan","","Current run","§§1, 4","2026-09-14","4","Hard-lock deference and RPT denominator gap."
"related-party-and-group-forensics","S8","Internal cross-module output","00_governance-data-triage","","Current run","§§1–3, 5","2026-09-14","5","Frozen source inventory and missing governance records."
"contingent-liabilities-and-commitments","S1","Audited annual filing","data/AKAM/Akamai Technologies, Inc., 2025.pdf — FY2025 Form 10-K","","FY2025","Consolidated Balance Sheets, p.53; Statements of Income, p.54","2026-02-20 filing","5","Net-worth and PAT denominators; recognized lease-liability comparatives"
"contingent-liabilities-and-commitments","S2","Audited annual filing","data/AKAM/Akamai Technologies, Inc., 2025.pdf — FY2025 Form 10-K","","FY2025","Note 12 (Leases), pp.79–80","2026-02-20 filing","5","Lease commitments, sublease income, LOCs, and lease movement"
"contingent-liabilities-and-commitments","S3","Audited annual filing","data/AKAM/Akamai Technologies, Inc., 2025.pdf — FY2025 Form 10-K","","FY2025","Note 13 (Commitments and Contingencies), pp.80–81","2026-02-20 filing","5","Purchase commitments, legal matters, standard indemnities and accounting policy"
"contingent-liabilities-and-commitments","S4","Audited annual filing","data/AKAM/Akamai Technologies, Inc., 2025.pdf — FY2025 Form 10-K","","FY2023–FY2025","Note 19 (Income Taxes), p.90","2026-02-20 filing","5","Unrecognized tax-benefit movements, interest/penalties, and audit disclosure"
"contingent-liabilities-and-commitments","S5","Quarterly filing","data/AKAM/Akamai Technologies, Inc., Q2 2026.pdf — Q2 FY2026 Form 10-Q","","Q2 FY2026","Condensed Consolidated Balance Sheets, pp.3–4; Item 1, p.45; Item 2, p.42; Item 3, pp.43–44","2026-08-06 filing","5","Latest lease/equity point, litigation, off-balance-sheet update, FX-forward policy"
"contingent-liabilities-and-commitments","S6","Cross-module specialist output","analyses/AKAM_2026-09-14/balance-sheet-survival/05_off-balance-sheet-and-contingencies.md","","FY2025 / Q2 FY2026","§§1–5","2026-09-14","4","Reused gross lease-related commitment total and matched-date exposure framing; not recalculated here"
"accounting-forensics","S1","Audited filing","FY2025 Form 10-K (data/AKAM/Akamai Technologies, Inc., 2025.pdf)","","FY2023–FY2025","Consolidated statements, pp.53–56","2026-02-20","5","Battery inputs, M-score, cash conversion, revenue quality"
"accounting-forensics","S2","Audited filing","FY2025 Form 10-K","","FY2025","Notes 2, 4, 6, 10–11, 15–16, 21; pp.63–93","2026-02-20","5","Cash custody, AR, capitalization, restructuring, debt, tax, contracts, segments"
"accounting-forensics","S3","Cross-module analytical input","Earnings Quality — AKAM","","FY2023–FY2025","§§1–3, 10","2026-09-14","4","Consumed CFO/PAT, CFO/EBITDA, working-capital baseline"
"accounting-forensics","S4","Cross-module analytical input","Capital Structure & Leverage — AKAM","","Q2 FY2026","§§4–7","2026-09-14","4","Strict-basis leverage and CIQ reconciliation"
"accounting-forensics","S5","Company interim filing","Q2 FY2026 Form 10-Q (data/AKAM/Akamai Technologies, Inc., Q2 2026.pdf)","","Q2 FY2026","Balance sheets pp.3–4; income p.5; Note 7 pp.17–20","2026-08-07","5","Latest debt, cash, leverage, and H1 tax-monitor reference"
"accounting-forensics","S6","Vendor workbook","Capital IQ Financials (data/AKAM/Akamai Technologies Inc NasdaqGS AKAM Financials.xls)","","FY2023–FY2025","Balance Sheet, Cash Flow","frozen 2026-09-14","4","FY2023 Dechow opening balance and designated vendor cross-checks"
"accounting-forensics","S7","Deterministic facts sidecar","ciq_facts.json","","LTM 2026-06-30","total_debt_m, net_debt_m, ltm_ebitda_m, net_debt_ebitda_x","frozen 2026-09-14","4","Authoritative vendor-basis read and basis reconciliation"
"accounting-forensics","S8","Official macro data, web lookup","Federal Reserve/ALFRED RIFLGFCY01NA","","FY2025","Annual 1-year Treasury constant maturity","accessed 2026-09-14","4","Period risk-free comparator"
"accounting-forensics","S9","Regulator release","SEC Non-Prosecution Agreement — Akamai Technologies, Inc.","","2012–2015 conduct","pp.1, 7–8","2016-06-07","5","A8-20 focused historic control/divergence review"
"regulatory-legal-and-compliance","S1","Primary regulator","SEC Release 2016-109","","2016","NPA / China-related conduct","2016-06-07","5","FCPA matter, amount, posture and remediation context"
"regulatory-legal-and-compliance","S2","Primary filing","data/AKAM/Akamai Technologies, Inc., Q2 2026.pdf","","Q2 FY2026","Cover; balance sheet; Item 1 p.45; Note 7 pp.17-20","2026-08-07","5","Equity, legal disclosure, facility and revolver"
"regulatory-legal-and-compliance","S3","Upstream specialist output","analyses/AKAM_2026-09-14/management-governance/07_people-integrity-dossiers.md","","Current run","§§0A, 3B, entity-net","2026-09-14","4","Lineage scope and pending Noname labels"
"regulatory-legal-and-compliance","S4","Primary regulator","SEC Litigation Release 22806","","2013","Kieran Taylor settlement","2013-09-23","5","Insider-conduct row and 07 handoff"
"regulatory-legal-and-compliance","S5","Primary regulator","DOJ FCPA closing letter","","2016","Akamai inquiry closure","2016-06-06","5","Company response and remediation"
"regulatory-legal-and-compliance","S6","Primary regulator","DOJ USAO D. Mass. Doxer sentencing release","","2011","Former employee case","2011-12-19","5","Historical company-as-victim context"
"regulatory-legal-and-compliance","S7","Primary filing","data/AKAM/Akamai Technologies, Inc., 2025.pdf","","FY2025","Item 1, Item 3, Note 3, Note 13, Exhibit 21.1","2026 filing","5","Listing, legal matters and Noname legal-entity reconciliation"
"regulatory-legal-and-compliance","S8","Primary agency / vendor","S&P Global Ratings Industry Credit Outlook; MNI US Credit Weekly","","2025–2026","AKAM rating entries","2025-02-21 / 2026-03-27","3","S&P rating history"
"regulatory-legal-and-compliance","S9","Web rating mirror","Cbonds rating-action mirror","","2026","S&P and Moody's action entries","2026-05-20","2","Current outlook/action indication, marked unverified"
"regulatory-legal-and-compliance","S10","Company disclosure","Akamai 2023 ratings announcement","","2023","Initial ratings announcement","2023-05-17","3","Prior Moody's/S&P ratings context"
"regulatory-legal-and-compliance","S11","Filing and company web","2025 DEF 14A; Akamai Ethics & Compliance page","","2025–2026","Ethics & Compliance","accessed 2026-09-14","4","Hotline and Audit Committee process"
"regulatory-legal-and-compliance","S12","Primary regulator","DOJ Attorney General letter and TikTok Ban Final Response","","2025","PAFACA enforcement posture","2025","4","Narrow TikTok legal assurance"
"regulatory-legal-and-compliance","S13","Secondary web court sources","Afik & Co. caselaw mirror; Herzog law update","","2026","Labour Dispute 25035-07-25","accessed 2026-09-14","2","Barkan case, claim amount and parties; not primary docket"
"regulatory-legal-and-compliance","S14","Primary filing","Form 8-K","","FY2026","Item 1.01, amended credit facility","2026-05-18","5","JPMorgan agent and covenant amendment"
"regulatory-legal-and-compliance","S15","Upstream specialist output","analyses/AKAM_2026-09-14/business-model/01_disqualifier-scan.md","","Current run","Verdict / locks","2026-09-14","4","No business-model enforcement hard lock fired"
