"id","section","test","flag","finding","confidence","source","owner_agent"
"A2-04","A2","Substance vs paper","Amber","Board 5; Audit 9; Finance 8; ESG 7; TL&C 7","3","SEC EDGAR 2026 DEF 14A pp.30–32 — public filing not in frozen pool","board-and-shareholder-rights"
"A2-05","A2","Committee chair rotation & workload","Amber","No director on >2 disclosed standing committees","3","SEC EDGAR 2026 DEF 14A pp.30–32 — public filing not in frozen pool","board-and-shareholder-rights"
"A3-01","A3","Promoter/controller holding trend (12 quarters)","Amber","2.3","2","[Web: SEC EDGAR 2026 preliminary proxy, pp.26–27, filed 2026-03-05 (unverified)]","ownership-and-insider-behavior"
"A3-02","A3","Share pledging / encumbrance (8–12 quarters)","Insufficient","Policy prohibition is not proof of a zero balance. No pool filing supports a pledge red flag.","4","[FY2025 Form 10-K, Item 12, p.95; CIQ facts sidecar, ownership fields, frozen 2026-09-14 — vendor data]","ownership-and-insider-behavior"
"A3-03","A3","Cross-holdings & pyramiding","Green","1","2","[Web: SEC EDGAR 2026 preliminary proxy, Certificate of Incorporation, Appendix C-1, filed 2026-03-05 (unverified)]","ownership-and-insider-behavior"
"A3-04","A3","Differential voting rights","Green","1","2","[Web: SEC EDGAR 2026 preliminary proxy, Certificate of Incorporation, Appendix C-1, filed 2026-03-05 (unverified)]","ownership-and-insider-behavior"
"A3-05","A3","Cheap insider equity","N/A","U.S. executive RSU/DSU awards are not a promoter preferential allotment.","4","[FY2025 Form 10-K, cover page; Web: SEC Form 4, 2026-02-19 to 2026-05-14 (unverified)]","ownership-and-insider-behavior"
"A3-06","A3","Free float level","Insufficient","The 2.3% officer/director group cannot establish public float or locked/affiliated holdings.","2","[Web: SEC EDGAR 2026 preliminary proxy, pp.26–27, filed 2026-03-05 (unverified)]","ownership-and-insider-behavior"
"A3-07","A3","Marquee investor entry/exit","Amber","19.6","2","[Web: SEC EDGAR 2026 preliminary proxy, pp.26–27, filed 2026-03-05 (unverified); CIQ facts sidecar, institutional trend missing]","ownership-and-insider-behavior"
"A3-08","A3","Promoter-group classification hygiene","N/A","No promoter-group classification exists in the applicable regime.","5","[FY2025 Form 10-K, cover page]","ownership-and-insider-behavior"
"A3-09","A3","Beneficial-ownership transparency","Amber","2","2","[Web: SEC EDGAR 2026 preliminary proxy, pp.26–27, filed 2026-03-05 (unverified); FY2025 Form 10-K, Item 12, p.95]","ownership-and-insider-behavior"
"A3-10","A3","Takeover-code disclosure hygiene","N/A","The India takeover-code thresholds do not apply; U.S. 13D/13G timeliness was not fully tested.","5","[FY2025 Form 10-K, cover page]","ownership-and-insider-behavior"
"A15-01","A15","Exchange surveillance & volatility","N/A","India-specific ASM/GSM test does not apply; no Nasdaq-equivalent record was supplied.","5","[FY2025 Form 10-K, cover page]","ownership-and-insider-behavior"
"A15-02","A15","Volume & liquidity","Insufficient","Market capitalization cannot substitute for traded-value capacity.","4","[CIQ facts sidecar, `current_price` and `shares_outstanding_m`, as of 2026-09-14 — vendor data]","ownership-and-insider-behavior"
"A15-03","A15","Research coverage","Green","23","4","[Capital IQ Estimates Consensus workbook, Target Price and Recommendation rows, as of 2026-09-14 — vendor data]","ownership-and-insider-behavior"
"A15-04","A15","Pre-announcement price conduct","Insufficient","No price/volume series or exchange clarification data supports a conduct conclusion.","3","[Governance Data Triage, AKAM, File Inventory]","ownership-and-insider-behavior"
"A6-01","A6","Pay vs statutory cap & profit","Insufficient","India caps do not apply; U.S. executive-pay amounts are absent.","5","[FY2025 Form 10-K, cover; Item 11, p.95]","incentives-and-compensation"
"A6-02","A6","Promoter-executive pay vs peers & the SEBI gates","Insufficient","India promoter gates do not apply and peer pay is unavailable.","5","[FY2025 Form 10-K, cover; Item 11, p.95]","incentives-and-compensation"
"A6-03","A6","Pay-for-performance linkage","Insufficient","6883","5","[FY2025 Form 10-K, Item 11, p.95; Note 18, pp.85–86]","incentives-and-compensation"
"A6-04","A6","ESOP / RSU / SAR dilution & pricing","Red","4.73","5","[FY2025 Form 10-K, Note 18, pp.84–86; Note 20, p.91; Balance Sheet, p.53]","incentives-and-compensation"
"A6-05","A6","CEO-to-median ratio & severance","Red","Cash severance and CEO ratio are absent; executive RSUs conditionally accelerate without termination if no replacement award is provided.","5","[FY2025 Form 10-K, Item 11, p.95; Exhibit 10.5, §6(c)–(e)]","incentives-and-compensation"
"A6-06","A6","Clawback & malus provisions","Amber","0","4","[FY2025 Form 10-K, cover—Rule 10D-1 check box; Exhibit 10.5, §10(g)]","incentives-and-compensation"
"A6-07","A6","Promoter family on the payroll","Insufficient","Founder CEO status does not answer family payroll or related relationships.","4","[FY2025 Form 10-K, Item 11, p.95]","incentives-and-compensation"
"A6-08","A6","NED / ID compensation structure","Insufficient","36.948","4","[FY2025 Form 10-K, Note 18, pp.85–86; Item 11, p.95]","incentives-and-compensation"
"A6-09","A6","Problematic pay practices & dissent response","Red","1","5","[FY2025 Form 10-K, Exhibit 10.5, §6(c)–(e); Item 11, p.95]","incentives-and-compensation"
"A12-01","A12","Attrition","Amber","Voluntary attrition was slightly higher, but no rate or industry benchmark is supplied.","5","[FY2025 Form 10-K, Item 1—Human Capital, pp.5–6]","incentives-and-compensation"
"A12-02","A12","Median-employee pay vs executive pay","Insufficient","Pay-equity analysis is not a median-pay or CEO-pay-ratio disclosure.","5","[FY2025 Form 10-K, Item 1—Human Capital, pp.5–6; Item 11, p.95]","incentives-and-compensation"
"A12-03","A12","ESOP pool breadth","Green","0.966","5","[FY2025 Form 10-K, Item 1—Human Capital, pp.5–6; Note 18, pp.84–85]","incentives-and-compensation"
"A12-04","A12","Workplace-conduct record","Insufficient","Policy and training disclosures do not provide complaint, labor or safety outcomes.","5","[FY2025 Form 10-K, Item 1—Human Capital, pp.5–6]","incentives-and-compensation"
"A10-01","A10","Dividend policy & consistency (02)","Amber","0.0","5","[data/AKAM/Akamai Technologies, Inc., 2025.pdf, FY2025 Form 10-K, Item 5; data/AKAM/Akamai Technologies Inc NasdaqGS AKAM Financials.xls, Cash Flow sheet, FY2021–FY2025]","capital-allocation-scorecard"
"A10-02","A10","Swap ratios in group mergers (05)","N/A","No group merger identified","4","FY2025 Form 10-K; Q1/Q2 FY2026 Forms 10-Q — frozen pool","board-and-shareholder-rights"
"A10-03","A10","Institutional voting patterns (05)","Red","41.9","4","SEC 8-K, 2026-05-13, Item 5.07 — public filing not in frozen pool","board-and-shareholder-rights"
"A10-04","A10","Rights / preferential pricing fairness (05)","Amber","8.0m stock-plan shares approved","4","SEC 8-K, 2026-05-13, Item 5.07; SEC 2026 DEF 14A pp.70–79 — public filings not in frozen pool","board-and-shareholder-rights"
"A10-05","A10","Buyback vs dividend conduct (02)","Amber","FY2023 $720.3m + FY2024 $730.6m + FY2025 $923.7m = $2,374.6m","4","[data/AKAM/Akamai Technologies, Inc., 2025.pdf, Item 5; data/AKAM/Akamai Technologies Inc NasdaqGS AKAM Financials.xls, Cash Flow sheet, FY2023–FY2025]","capital-allocation-scorecard"
"A10-06","A10","Delisting & exit-offer conduct (05)","Green","No proposal identified","4","FY2025 Form 10-K; Q1/Q2 FY2026 Forms 10-Q — frozen pool","board-and-shareholder-rights"
"A13-01","A13","Professional CEO vs promoter-run","Green","founder CEO; independent chair","4","SEC DEF 14A pp.18-23","people-integrity-dossiers"
"A13-02","A13","View on the CEO (operating record)","Insufficient","Execution belongs to the management-track-record module.","2","Scope separation","people-integrity-dossiers"
"A13-03","A13","Promoter vintage & involvement","Green","CEO since 2013; MIT professor on leave","4","SEC DEF 14A p.23","people-integrity-dossiers"
"A13-04","A13","Top-management team vintage (01)","Green","5.5","2","[Web: 2026 DEF 14A, pp. 24–26, filed 2026-03-05 — unverified, background and tenure only]","management-and-track-record"
"A13-05","A13","Second-level team quality & bench (01)","Amber","9","2","[Web: 2026 DEF 14A, executive-officer biographies, pp. 24–26, filed 2026-03-05 — unverified, background and tenure only]","management-and-track-record"
"A13-06","A13","Family dynamics / succession disputes","Green","0","4","SEC DEF 14A p.39","people-integrity-dossiers"
"A13-07","A13","Promoter's other material businesses","Amber","MIT affiliation; selected roles only","3","SEC DEF 14A p.23","people-integrity-dossiers"
"A13-08","A13","Sensitive government dealings","Amber","0","2","SEC DEF 14A p.18","people-integrity-dossiers"
"A13-09","A13","Political connect","Green","1","3","SEC DEF 14A p.18","people-integrity-dossiers"
"A16-01","A16","Identity resolution","Amber","24","3","Frozen filings and SEC EDGAR 2026 DEF 14A; one Chief Security Officer is unnamed","people-integrity-dossiers"
"A16-02","A16","Directorship map (current, past, struck-off)","Amber","selected proxy roles","3","SEC EDGAR 2026 DEF 14A, pp.19-25","people-integrity-dossiers"
"A16-03","A16","Disqualification registers","Insufficient","No affirmative clearance.","1","Scope boundary","people-integrity-dossiers"
"A16-04","A16","Criminal proceedings & arrests","Insufficient","no attributable hit in scoped search","2","DOJ and CourtListener sweep log","people-integrity-dossiers"
"A16-05","A16","Civil / commercial litigation history","Insufficient","no attributable hit in scoped search","2","CourtListener sweep log","people-integrity-dossiers"
"A16-06","A16","Securities-regulator actions","Amber","no attributable hit in scoped search","2","SEC enforcement sweep log","people-integrity-dossiers"
"A16-07","A16","Wilful-defaulter / fraud-borrower lists","N/A","U.S. issuer","2","Jurisdiction assessment","people-integrity-dossiers"
"A16-08","A16","Insolvency history — the corporate-graveyard test","Insufficient","No affirmative clearance.","1","Scope boundary","people-integrity-dossiers"
"A16-09","A16","Sanctions & watchlists","Insufficient","no attributable hit in scoped query","2","OpenSanctions sweep log","people-integrity-dossiers"
"A16-10","A16","PEP status & political exposure","Green","2","4","SEC EDGAR 2026 DEF 14A, pp.18-20","people-integrity-dossiers"
"A16-11","A16","Credential verification","Insufficient","not independently verified","1","Proxy biographies","people-integrity-dossiers"
"A16-12","A16","Adverse media (dated, tiered)","Amber","no attributable material hit in scoped search","2","Sweep log","people-integrity-dossiers"
"A16-13","A16","Undisclosed related entities","Amber","0 Item 404 transactions; graph 0 rows","3","SEC EDGAR 2026 DEF 14A p.39; CIQ facts and relationship sidecars","people-integrity-dossiers"
"A16-14","A16","Regulatory-role conflicts","Amber","1","3","SEC EDGAR 2026 DEF 14A p.23","people-integrity-dossiers"
"A16-15","A16","Integrity buzz (forums / social — tier 10)","Green","0","3","Business-model disqualifier scan","people-integrity-dossiers"
"A16-16","A16","Per-person overall grade","Amber","24 Clean coverage-limited; 1 unswept","3","Person register","people-integrity-dossiers"
"A16-17","A16","Resignation-timing pattern — the ""smart rat"" test","Amber","2","3","SEC EDGAR 2026 DEF 14A pp.18-19","people-integrity-dossiers"
"A16-18","A16","Association with past accounting failures","Insufficient","No affirmative clearance.","1","Scope boundary","people-integrity-dossiers"
"A16-19","A16","Professional-licence discipline","Insufficient","not independently verified","1","Proxy biographies","people-integrity-dossiers"
"A16-20","A16","Public claims vs filed numbers","Green","0","3","Frozen filings and SEC EDGAR 2026 DEF 14A","people-integrity-dossiers"
"A17-01","A17","Discovery completeness","Amber","32","3","Discovery register","people-integrity-dossiers"
"A17-02","A17","Corporate lineage & former names","Amber","0","3","SEC review and company history","people-integrity-dossiers"
"A17-03","A17","Predecessor / phoenix test","Green","0","3","Akamai history; Q1 FY26 Form 10-Q","people-integrity-dossiers"
"A17-04","A17","Brand & trademark ownership","Insufficient","0","1","Akamai company product page","people-integrity-dossiers"
"A17-05","A17","Registered-address cluster","Amber","1","3","Akamai IR release, 2016-06-22","people-integrity-dossiers"
"A17-06","A17","Founder & past-controller trail","Amber","4","3","Akamai company history","people-integrity-dossiers"
"A17-07","A17","Cross-linkage to adverse networks","Amber","0","2","Sweep log and public proxy Item 404","people-integrity-dossiers"
"A17-08","A17","Undisclosed-network reconciliation","Amber","0 Item 404 transactions; 0 graph rows","3","SEC DEF 14A p.39; CIQ relationship graph","people-integrity-dossiers"
"A17-09","A17","Scope boundary declared","Green","7","5","Section 5 Scope Boundaries","people-integrity-dossiers"
"A17-10","A17","Aggregator-conflict resolution","Green","3 names added; 1 anonymous role retained","4","Frozen roster and SEC EDGAR 2026 DEF 14A","people-integrity-dossiers"
"A4-01","A4","Auditor identity & rotation compliance","Amber","PwC since 1998; current partner/tenure not identified","4","[FY2025 Form 10-K, p.52; PCAOB Form AP, 2020-03-19]","audit-and-assurance-quality"
"A4-02","A4","Audit firm calibre","Red","PwC Big Four; PCAOB 2024 censure and $2.75m penalty","5","[FY2025 Form 10-K, p.52; PCAOB Release 105-2024-014, 2024-03-28]","audit-and-assurance-quality"
"A4-03","A4","Subsidiary & component auditor calibre","Amber","46 listed subsidiaries; no component-auditor identities disclosed","4","[FY2025 Form 10-K, pp.51–52; Exhibit 21.1]","audit-and-assurance-quality"
"A4-04","A4","Auditor resignation & stated reasons","Green","PwC since 1998; FY2025 Item 9 says none","5","[FY2025 Form 10-K, pp.52, 93]","audit-and-assurance-quality"
"A4-05","A4","Opinions: qualification / EoM / adverse / disclaimer","Green","Unqualified consolidated financial-statement opinion; no EoM/going-concern stated","5","[FY2025 Form 10-K, pp.51–52]","audit-and-assurance-quality"
"A4-06","A4","Audit vs non-audit fees","N/A","FY2026 proxy fee table absent","5","[FY2025 Form 10-K, Item 14, p.95]","audit-and-assurance-quality"
"A4-07","A4","Auditor remuneration level & trend","N/A","Audit fee and peer fee data absent; FY2025 revenue +5.4%, FY2024 +4.7%","5","[FY2025 Form 10-K, Item 14, p.95; p.54]","audit-and-assurance-quality"
"A4-08","A4","Internal & secretarial audit","Insufficient","ICFR assessment/attestation present; internal-audit provider not identified; MR-3 not applicable","4","[FY2025 Form 10-K, pp.51, 94]","audit-and-assurance-quality"
"A4-09","A4","Internal financial controls (ICFR/IFC)","Green","PwC ICFR effective as of 2025-12-31; Q1/Q2 management reported no material ICFR change","5","[FY2025 Form 10-K, pp.51, 94; Q1 FY2026 Form 10-Q, p.40; Q2 FY2026 Form 10-Q, p.44]","audit-and-assurance-quality"
"A4-10","A4","Key Audit Matters recurrence","Insufficient","Revenue-recognition CAM in FY2025 only; $4.208bn revenue","5","[FY2025 Form 10-K, pp.51–52; Note 16]","audit-and-assurance-quality"
"A4-11","A4","CARO / companion-report flags (India)","N/A","CARO is India-specific and does not apply to this U.S. SEC issuer","5","[FY2025 Form 10-K, cover; Item 8]","audit-and-assurance-quality"
"A4-12","A4","Audit-committee ↔ auditor engagement","Insufficient","CAM communicated to committee; no private-session or meeting-attendance disclosure","4","[FY2025 Form 10-K, pp.51–52, 94–95]","audit-and-assurance-quality"
"A4-13","A4","Regulator discipline of firm/partner","Red","PwC U.S. PCAOB censure, $2.75m penalty and remediation in 2024; FY2025 partner unidentified","5","[PCAOB Release 105-2024-014, 2024-03-28; PCAOB AuditorSearch/Form AP search, 2026-09-14]","audit-and-assurance-quality"
"A4-14","A4","Component-auditor coverage","Amber","Principal auditor assets/revenue coverage not disclosed; 46 listed subsidiaries","4","[FY2025 Form 10-K, pp.51–52; Exhibit 21.1]","audit-and-assurance-quality"
"A4-15","A4","Gatekeeper exit cluster","Amber","PwC continuous since 1998; CFO signed FY2025, Q1 and Q2 FY2026 reports; no three-year exit log","4","[FY2025 Form 10-K, pp.52, 98–99; Q1 FY2026 Form 10-Q, p.40; Q2 FY2026 Form 10-Q, p.44]","audit-and-assurance-quality"
"A7-02","A7","Restatement frequency (owner: 08)","Insufficient","FY2025 cover: no error correction and no Rule 10D-1 recovery-analysis restatement; five-year history absent","5","[FY2025 Form 10-K, cover; business-model/01_disqualifier-scan.md, §1]","audit-and-assurance-quality"
"A5-01","A5","RPTs as % of revenue / PAT / assets","Amber","0","3","2026 DEF 14A p.39 (public EDGAR read in 07; not frozen); FY25 10-K Item 13 p.95","related-party-and-group-forensics"
"A5-02","A5","Royalty / brand / technology fees to promoter group","Insufficient","Brand ownership and licence fees are unverified; no RF-NET-004 trigger follows from an unresolved question.","2","FY25 10-K Item 13 p.95; 07 dossier sections 0A and 5","related-party-and-group-forensics"
"A5-03","A5","Loans / ICDs / guarantees to group","Insufficient","No related borrower, rate, tenor or guarantee beneficiary is disclosed.","2","FY25 10-K Item 13 p.95; Q2 FY26 10-Q pp.3-4","related-party-and-group-forensics"
"A5-04","A5","Promoter-vendor / promoter-customer transactions","Amber","0","3","2026 DEF 14A p.39 (cross-module read); CIQ relationship graph frozen 2026-09-14","related-party-and-group-forensics"
"A5-05","A5","Arm's-length substantiation","Insufficient","0","2","FY25 10-K Item 13 p.95","related-party-and-group-forensics"
"A5-06","A5","Minority dissent on RPT resolutions","Insufficient","No voting records were supplied.","1","00 governance-data-triage section 3","related-party-and-group-forensics"
"A5-07","A5","RPT approval hygiene","Insufficient","No policy or transaction-level data permits a slicing test.","1","FY25 10-K Item 13 p.95","related-party-and-group-forensics"
"A5-08","A5","RPT counterparty transparency","Amber","0","3","2026 DEF 14A p.39 (cross-module read); FY25 10-K Item 13 p.95","related-party-and-group-forensics"
"A5-09","A5","Related-party M&A","Insufficient","6","3","FY25 10-K Note 8 pp.71-73; Q2 FY26 10-Q Note 6","related-party-and-group-forensics"
"A5-10","A5","Executive-counterparty conflicts","Amber","2","3","2026 DEF 14A pp.23-25,39 (cross-module read); 07 dossier sections 2B-4","related-party-and-group-forensics"
"A11-01","A11","Holding-structure complexity (layer DEPTH and entity count vs the business)","Amber","46","4","FY25 10-K Exhibit 21.1; Note 1","related-party-and-group-forensics"
"A11-02","A11","Trapped / round-tripped cash","Insufficient","4616.305","3","Q2 FY26 10-Q pp.3-4","related-party-and-group-forensics"
"A11-03","A11","Inter-corporate loans & deposits","Insufficient","No intercompany balance or tenor is supplied.","2","FY25 10-K Item 13 p.95","related-party-and-group-forensics"
"A11-04","A11","Listed-vs-unlisted sibling leakage","Amber","0","3","07 dossier sections 2B-5","related-party-and-group-forensics"
"A11-05","A11","Subsidiary financial transparency","Amber","46","4","FY25 10-K Note 1; Exhibit 21.1","related-party-and-group-forensics"
"A11-06","A11","Unlisted material-subsidiary governance (India)","N/A","India-specific test does not apply.","5","FY25 10-K cover: Delaware/Nasdaq issuer","related-party-and-group-forensics"
"A11-07","A11","Off-balance-sheet entities with recourse","Green","0","4","Q2 FY26 10-Q Item 2 p.42; FY25 10-K p.45","related-party-and-group-forensics"
"A7a-01","A7a","Total CL as % of net worth","Red","$1,865.9m scheduled + $278.0m uncommenced colocation + $187.1m final data-center = $2,331.0m; $1,570.0m recognized and $731.2m future sublease income separate","5","[FY2025 Form 10-K, Note 12, pp.79–80; balance-sheet-survival/05, §4]","contingent-liabilities-and-commitments"
"A7a-02","A7a","CL trend over time","Amber","1,088.8 / 1,570.0 / 1,776.2","5","[FY2025 Form 10-K, p.53; Q2 FY2026 Form 10-Q, pp.3–4]","contingent-liabilities-and-commitments"
"A7a-03","A7a","Direct tax disputes","Green","111.4","4","[FY2025 Form 10-K, Note 19, p.90]","contingent-liabilities-and-commitments"
"A7a-04","A7a","Indirect tax disputes (GST/excise/customs)","N/A","No indirect-tax category line; absence is not nil.","4","[FY2025 Form 10-K, Notes 13 and 19, pp.80, 90]","contingent-liabilities-and-commitments"
"A7a-05","A7a","Litigation / claims not acknowledged as debt","Insufficient","Routine/incidental assertion lacks claim inventory and rulings.","4","[Q2 FY2026 Form 10-Q, Item 1, p.45]","contingent-liabilities-and-commitments"
"A7a-06","A7a","Corporate guarantees given","Insufficient","Unlimited indemnity maximum; no separate corporate-guarantee balance","4","[FY2025 Form 10-K, Note 13, pp.80–81]","contingent-liabilities-and-commitments"
"A7a-07","A7a","Bank guarantees & LCs","Amber","4.4","5","[FY2025 Form 10-K, Note 12, p.80]","contingent-liabilities-and-commitments"
"A7a-08","A7a","Capital commitments","Amber","465.1","5","[FY2025 Form 10-K, Note 12, p.80; Q2 FY2026 Form 10-Q, p.42]","contingent-liabilities-and-commitments"
"A7a-09","A7a","Bills discounted with recourse","N/A","No category line supports a nil conclusion.","4","[Q2 FY2026 Form 10-Q, Item 2, p.42]","contingent-liabilities-and-commitments"
"A7a-10","A7a","Statutory dues disputes (PF/ESI/cess)","N/A","No separate statutory-dues line.","4","[FY2025 Form 10-K, Note 13, p.80]","contingent-liabilities-and-commitments"
"A7a-11","A7a","Regulatory / penalty demands","Insufficient","Governmental proceedings are mentioned without a named penalty or demand.","4","[Q2 FY2026 Form 10-Q, Item 1, p.45]","contingent-liabilities-and-commitments"
"A7a-12","A7a","Subsidiary / JV / associate CLs","Insufficient","No entity-level group-contingency schedule.","4","[FY2025 Form 10-K, Note 13, pp.80–81]","contingent-liabilities-and-commitments"
"A7a-13","A7a","Movement: additions / reversals / crystallization","Amber","68.7 / 79.9 / 85.6","5","[FY2025 Form 10-K, Note 19, p.90]","contingent-liabilities-and-commitments"
"A7a-14","A7a","Provided vs only-disclosed split","Amber","111.4","4","[FY2025 Form 10-K, Notes 13 and 19, pp.80–81, 90; Q2 FY2026 Form 10-Q, p.42]","contingent-liabilities-and-commitments"
"A7a-15","A7a","Unhedged forex / derivative exposure","Green","Immaterial reported gain/loss; notional not disclosed","5","[Q2 FY2026 Form 10-Q, Item 3, pp.43–44]","contingent-liabilities-and-commitments"
"A8-01","A8","CFO / PAT (accrual quality)","Green","3.36","5","[Earnings Quality — AKAM, §§1–2]","accounting-forensics"
"A8-02","A8","Working-capital days creep","Amber","42.4","4","[Earnings Quality — AKAM, §3]","accounting-forensics"
"A8-03","A8","Receivables ageing >6 months","Insufficient","No ageing ladder; one customer exceeds 10% of AR.","4","[FY2025 Form 10-K, Note 2, pp.63–64; Note 4, p.68]","accounting-forensics"
"A8-04","A8","Expense capitalization","Amber","2.93","5","[FY2025 Form 10-K, pp.55, 69]","accounting-forensics"
"A8-05","A8","Recurring exceptionals & other income","Red","58.051","5","[FY2025 Form 10-K, pp.54, 74–75]","accounting-forensics"
"A8-06","A8","Goodwill build-up & impairment","Green","64.4","5","[FY2025 Form 10-K, pp.53, 69, 74–75]","accounting-forensics"
"A8-07","A8","Policy / estimate / year-end changes","Green","0","5","[FY2025 Form 10-K, Note 2, pp.61–64; Item 9A, p.94]","accounting-forensics"
"A8-08","A8","Depreciation rate consistency","Green","597.5","5","[FY2025 Form 10-K, pp.53, 69]","accounting-forensics"
"A8-09","A8","Provisioning adequacy","Green","0.97","5","[FY2025 Form 10-K, Note 4, p.68]","accounting-forensics"
"A8-10","A8","Effective tax-rate anomaly","Green","25.0","5","[FY2025 Form 10-K, Note 15, pp.87–89]","accounting-forensics"
"A8-11","A8","Cash EPS vs accounting EPS","Green","3.36","5","[FY2025 Form 10-K, pp.54–55; calculation]","accounting-forensics"
"A8-12","A8","CFO / EBITDA conversion","Green","119.1","5","[Earnings Quality — AKAM, §1]","accounting-forensics"
"A8-13","A8","Consolidation opacity","Green","1","4","[FY2025 Form 10-K, Note 1, p.61; Note 8, pp.71–73]","accounting-forensics"
"A8-14","A8","Beneish M-score (8 components)","Green","-2.75","5","[FY2025 Form 10-K, pp.53–56, 69; computation in §2]","accounting-forensics"
"A8-15","A8","Revenue-quality cross-checks","Green","5.31","5","[FY2025 Form 10-K, pp.54, 68, 83, 90]","accounting-forensics"
"A8-16","A8","Segment / geography disclosure shifts","Green","1","5","[FY2025 Form 10-K, Note 21, pp.92–93]","accounting-forensics"
"A8-17","A8","Dechow F-score & accrual battery","Amber","1.168","4","[FY2025 Form 10-K, pp.53–56; CIQ FY2023 Balance Sheet; computation in §3]","accounting-forensics"
"A8-18","A8","Issuance in a flagged year","Green","1725.0","5","[FY2025 Form 10-K, p.56; Note 11, p.75]","accounting-forensics"
"A8-19","A8","Cash authenticity","Insufficient","Cash custody is disclosed; yield and confirmation prongs cannot be verified.","4","[FY2025 Form 10-K, pp.37, 50–52, 63–64]","accounting-forensics"
"A8-20","A8","Regulator-found divergence","Amber","1","5","[SEC NPA, 2016-06-07, pp.1, 7–8; Sweep Log]","accounting-forensics"
"A14-01","A14","Leverage level (governance lens) (owner: 11)","Red","5.14","5","[Capital Structure & Leverage — AKAM, §§4–7; Q2 FY2026 Form 10-Q, pp.3–5]","accounting-forensics"
"A14-02","A14","Loans & advances level (owner: 11)","Insufficient","No separate loans-and-advances asset disclosure.","4","[FY2025 Form 10-K, pp.53, 55–56]","accounting-forensics"
