agent,source_id,source_type,filename_filing,period,page_section,date,confidence_1_5,used_for
04,S1,"Ownership export (data vendor, Capital IQ-class)",Oracle Corporation NYSE ORCL Public Ownership Summary.rtf,As of Aug-12/13-2026 position dates,Ownership Summary; Institutional Ownership Details; Top Holders; Ownership Activity; Top Buyers and Sellers,2026-08-14,5,"Ownership %, institutional composition, top holders, quarterly institutional flow"
04,S2,Ownership history export (data vendor),Oracle Corporation NYSE ORCL Public Ownership History.xls,"Jun-2025 to Aug-2026, quarterly",History sheet,2026-08-14,5,"Individual insider/director holder-level history, quarter over quarter"
04,S3,"Insider transaction export (data vendor, Form-4-sourced)",Oracle Corporation NYSE ORCL Public Ownership Insider Trading.xls,2009–2026 (full record); trailing 12 months (Aug 2025-Aug 2026) chased in detail,Insider Trading sheet,2026-08-14,5,"All insider buy/sell transactions, transaction type, price range, filed date"
04,S4,"Annual filing (audited, US SEC)",Oracle_Corporation_-_Form_10-K(Jun-22-2026).doc,"FY26 (ended May-31-2026), filed Jun-22-2026","Cover page (shares outstanding); ""Margin Accounts and Pledging Oracle Securities""; ""Rule 10b5-1 Trading Plans""",2026-06-22,5,"Total shares outstanding, pledging policy, 10b5-1 plan policy"
04,S5,Cross-module disqualifier scan,business-model/01_disqualifier-scan.md,FY26,Item 2 (pledged-shares threshold check),2026-08-14,4,Independent cross-check that no pledging is disclosed
04,S6,Cross-module capital-allocation quick-read,business-model/11_capital-allocation-governance.md,FY2016A-FY2026A,Signal table (Insider/promoter ownership and changes),2026-08-14,4,Cross-check on Ellison stability/monetization framing
04,S7,Intra-module upstream,management-governance/01_management-and-track-record.md,FY26,Section 1 (Key Executives); founder/owner-operator status,2026-08-14,5,"Founder-vs-CEO structure framing, co-CEO context"
04,S8,Cross-module earnings consensus,earnings/04_guidance-consensus.md,FQ1-FQ4 FY2026,Section 6,2026-08-14,4,Timing check for insider sales vs. subsequent earnings surprises
05,S1,Annual filing (10-K),Oracle_Corporation_-_Form_10-K(Jun-22-2026).doc,FY2026,Signature page; Item 10 (executive/director bios); Related Party Disclosures note; Note 15 (Legal Proceedings),2026-06-22,5,"Board roster, Chair/CTO/CEO titles, RPT note, securities class-action detail"
05,S2,Cross-module input,`management-governance/01_management-and-track-record.md`,FY2026,Section 1 (Key Executives),2026-08-14,5,"CEO/CFO transition context, tenure"
05,S3,Cross-module input,`management-governance/04_ownership-and-insider-behavior.md`,FY2026,"Ownership, Control Structure sections",2026-08-14,5,"Ellison ~40.21% ownership, dual-class/controlled-company findings, RF-OWN-004 non-trigger"
05,S4,Cross-module input,`business-model/01_disqualifier-scan.md`,FY2026,"Item 3 (RPT), Item 6 (enforcement)",2026-08-14,5,"RPT disqualifier non-trigger, litigation classification"
05,S5,Cross-module input,`business-model/11_capital-allocation-governance.md`,FY2017–FY2026,Net share count trajectory row,2026-08-14,5,"Dilution history, buyback/preferred-stock context"
05,S6,Cross-module input,`business-model/08_competitive-map.md`,FY2026,"Peer set (MSFT, AMZN, SAP)",2026-08-14,5,Peer identification for qualitative benchmarking
05,S7,Web (unverified),"Oracle FY2025 DEF 14A (filed 2025-09-26), sec.gov, via search-engine synthesis (direct fetch returned HTTP 403)",FY2025,"Board composition, committee independence",2026-08-14,3,"Independent-director count (8/13), committee independence"
05,S8,Web (unverified),"Oracle Amended and Restated Bylaws / Corporate Governance Guidelines, sec.gov / oracle.com, via search-engine synthesis",Current (bylaws last known amendment),"Director elections, special meeting right, removal",2026-08-14,2,"Plurality voting standard, majority-vote-and-resignation policy, 20% special-meeting threshold"
05,S9,Web (unverified),"Oracle 8-K, FY2025 annual-meeting voting results, sec.gov",FY2025 AGM (2025-11-18),Say-on-pay vote tally,2026-08-14,3,18.0% against say-on-pay; FY2024 comparison (~22% against)
05,S10,Web (unverified),"Dechert LLP and Sidley Austin (""Enhanced Scrutiny"") law-firm case summaries of In re Oracle Corp. Derivative Litigation",2017–2025,NetSuite acquisition litigation outcome,2026-08-14,3,Delaware Court of Chancery / Supreme Court NetSuite RPT litigation history and outcome
05,S11,Web (unverified),"Oracle investor-relations press releases (director election announcements: Ablo 2022, Fairhead 2019, Rusckowski 2025, Mihaljevic 2026) and historical DEF 14A vintages (2015–2021)",1994–2026,Director tenure dates,2026-08-14,2,"Individual director ""director since"" dates for tenure calculation"
06,S1,"Annual filing (audited, US SEC)",Oracle_Corporation_-_Form_10-K(Jun-22-2026).doc,FY26 (ended May-31-2026),Item 7 MD&A (Capital Expenditures); Note 15 (Legal Proceedings),2026-06-22,5,"Capex disclosure language, ""headwind"" language search, class-action legal boilerplate"
06,S2,Earnings-call transcript (verbatim),"Oracle Corporation, Q3 2026 Earnings Call, Mar 10, 2026.rtf",Q3 FY26,Presentation and Q&A,2026-03-10,4,"Disclosure timeliness claim, general Q&A style test, capex-guidance deferral"
06,S3,Earnings-call transcript (verbatim),"Oracle Corporation, Q4 2026 Earnings Call, Jun 10, 2026.rtf",Q4 FY26,Presentation and Q&A,2026-06-10,4,"Ex-gains EPS disclosure, capex-cost Q&A directness, new ""net cash outlay for capex"" metric, RPO/utilization specificity"
06,S4,Material-event disclosure log,Oracle Corporation NYSE ORCL Key Developments.xls,2025-12-10 to 2026-02-05,"""Lawsuits & Legal Issue"" and Earnings Release entries",2026-08-13,4,"FY26 capex-miss quantified disclosure (quoted from the earnings release via a law-firm press release), class-action filing detail, stock-reaction dates"
06,S5,Cross-module earnings quality,earnings/06_earnings-quality.md,FY2022-FY2026,"Sections 4, 5, 7, 8, 10",2026-08-14,4,"Non-GAAP gap magnitude/trend, restructuring recurrence, SBC and tax-rate gap, one-time investment gains"
06,S6,Cross-module guidance/consensus,earnings/04_guidance-consensus.md,FQ1-FQ4 FY2026,Section 6,2026-08-14,4,Clean vs headline beat-rate reconciliation used against prepared-remarks framing
06,S7,Cross-module margin drivers,earnings/03_margin-drivers.md,FY2026-FY2027 guidance,"Sections 3, 9",2026-08-14,4,"Gross-margin decline mechanism as disclosed by management, ""net cash outlay for capex"" framing context"
06,S8,Cross-module management & track record,management-governance/01_management-and-track-record.md,FY2026,"Sections 4, 4A",2026-08-14,4,"Capex-miss promise-vs-delivery record, RF-MGT-005 routing (unresolved integrity signal)"
06,S9,Data pool directory listing,`data/ORCL/`,As of 2026-08-14,—,2026-08-14,5,Confirming only Q3 and Q4 FY26 earnings-call transcripts are present (FQ2 FY26 absent)
