source_id,module_agent,source_type,filename_or_filing,period,page_or_section,date,confidence_1_to_5,used_for
04-S02,04,"Audited annual filing","Same as 04-S01",FY2026,"Secretarial Audit Report Annexure-A",2026-06-02,5,"Designated Person pledge/trade lapses"
04-S03,04,"Audited annual filing","Same as 04-S01",FY2026,"p.137 Postal Ballot Result",2026-06-02,5,"Minority vote-against on RPT"
04-S04,04,"Data-vendor export (CIQ)","...Public Ownership Summary.rtf","31-Mar-2026/21-Jul-2026/11-Aug-2026","Ownership Summary tables",2026-08-13,4,"Holding %, transaction flow"
04-S05,04,"Module cross-input",business-model/01_disqualifier-scan.md,FY26,"Disqualifier #2, Section 3",2026-08-13,4,"Pledge-threshold computation"
04-S06,04,"Module cross-input",business-model/11_capital-allocation-governance.md,FY26,"Promoter pledging row",2026-08-13,4,"Cross-check pledge/ownership"
04-S07,04,"Module cross-input",management-governance/01_management-and-track-record.md,FY26,"Section 1, 4A",2026-08-13,4,"Founder ownership context, integrity clearance"
04-S08,04,"Module cross-input",management-governance/00_governance-data-triage.md,FY26,"Data-availability rows",2026-08-13,4,"Confirmation of single-class equity"
05-S01,05,"Data-vendor export (CIQ)","...Board Members.xls",Current,"Board Members sheet",2026-08-13,4,"Board roster, tenure, outside directorships"
05-S02,05,"Data-vendor export (CIQ)","...Committees.xls",Current,"Committees sheet",2026-08-13,4,"Committee membership"
05-S03,05,"Audited annual filing","IndiaMART_InterMESH_Limited_-_Form_Annual_Report(Jun-02-2026).pdf",FY2026,"CG Report pp.108-127; Board's Report; Note 33; BRSR Principle 1; Postal Ballot; Secretarial Audit",2026-06-02,5,"Board composition, RPT, voting results"
05-S04,05,"Exchange filing (Reg.30)","...Form_Preliminary_Interim_Report(Jan-22-2025)",Jan-2025,"Board meeting outcome disclosure",2025-01-22,5,"Aakash Chaudhry resignation"
05-S05,05,"Interim/quarterly filing","...Form_Interim_Report(Jul-21-2026)",Q1 FY27,"KMP list",2026-07-21,5,"Dhruv Prakash board exit confirmation"
05-S06,05,"Module cross-input",business-model/01_disqualifier-scan.md,FY26,"Sections 1, 3",2026-08-13,4,"RPT/pledge disqualifier tests"
05-S07,05,"Module cross-input",management-governance/01_management-and-track-record.md,FY26/FY27,"Section 1",2026-08-13,4,"Founder ownership/tenure, Filter 6 cross-check"
06-S01,06,"Earnings-call transcript","IndiaMART-InterMESH-Limited-Q4-2024-Earnings-Call-Apr-30-2024.txt",Q4 FY24,"Prepared remarks + Q&A",2024-04-30,4,"Margin/revenue-growth miss communication"
06-S02,06,"Earnings-call transcript","IndiaMART-InterMESH-Limited-Q4-2025-Earnings-Call-Apr-29-2025.txt",Q4 FY25,Q&A,2025-04-29,4,"Net-add guidance withdrawal"
06-S03,06,"Earnings-call transcript","IndiaMART-InterMESH-Limited-Q1-2027-Earnings-Call-Jul-21-2026.txt",Q1 FY27,"Prepared remarks + Q&A",2026-07-21,4,"Proactive supplier-decline disclosure"
06-S04,06,"Earnings-call transcript","IndiaMART-InterMESH-Limited-Q2-2026-Earnings-Call-Oct-17-2025.txt",Q2 FY26,"Prepared remarks",2025-10-17,4,"Treasury MTM loss disclosure"
06-S05,06,"Earnings-call transcript","IndiaMART-InterMESH-Limited-Q4-2026-Earnings-Call-Apr-30-2026.txt",Q4 FY26,"Prepared remarks",2026-04-30,4,"Treasury MTM loss disclosure"
06-S06,06,"Earnings-call transcript","IndiaMART-InterMESH-Limited-Q3-2023-Earnings-Call-Jan-20-2023.txt",Q3 FY23,"Prepared remarks",2023-01-20,4,"Onetime ProcMart gain labeling"
06-S07,06,"Earnings-call transcript","IndiaMART-InterMESH-Limited-Q3-2026-Earnings-Call-Jan-20-2026.txt",Q3 FY26,"Prepared remarks",2026-01-20,4,"Onetime Baldor gain labeling"
06-S08,06,"Module cross-input",management-governance/01_management-and-track-record.md,FY22-FY27,"Section 4, 4A",2026-08-13,4,"Promise-vs-delivery record"
06-S09,06,"Module cross-input",earnings/06_earnings-quality.md,FY22-FY26,"§4,§5,§7,§9",2026-08-13,4,"Non-GAAP absence, investment-gains quantification"
06-S10,06,"Module cross-input",earnings/04_guidance-consensus.md,FY2027,"Section 2",2026-08-13,4,"No formal guidance confirmation"
06-S11,06,"Audited annual filing","IndiaMART_InterMESH_Limited_-_Form_Annual_Report(Jun-02-2026).pdf",FY2026,"Full-text search; Secretarial Audit Report",2026-06-02,5,"Non-GAAP absence confirmation; integrity-signal source"
