finding_id,agent,section,question,verdict,raw_value,unit,trend,peer_verdict,score,penalty,confidence,materiality,evidence,red_flag_id,follow_up
05-016,05,4,Shareholder ability to call special meetings,Amber,0,boolean restricted,Stable,No peer set,,0,4,Medium,10-K risk factor limitations on special meetings,,None
05-017,05,4A,AGM votes-against any resolution,Insufficient Data,0,%,N/A,No peer set,0,0,1,High,Vote-result 8-K not in pool agenda known only,,Pull post-AGM 8-K
05-018,05,4A,Dilution trend net share count,Green,-2.6,% Dec-24 peak to Mar-26,Improving reversed,No peer set,,0,4,Medium,Buyback authorization now outrunning SBC dilution,,None
05-019,05,5,Unresolved derivative lawsuit cross-ref 01,Red,2,confidence 1-5,New/unresolved,No peer set,,0,2,Critical,Alleges false 2024-26 proxy safety-oversight disclosures names CEO/Chairman/board,RF-MGT-005,Track docket
06-001,06,1,Q1/Q2 FY26 revenue miss owned when raised,Amber,-0.52,% Q2 FY26 vs consensus,Stable,No peer set,,0,4,Medium,CFO gave specific breakdown only when asked,,Confirm Q3 remarks proactive
06-002,06,1,Multi-quarter revenue deceleration named,Red,0,boolean not named,Deteriorating disclosure,No peer set,,0,4,High,Zero mentions in either transcript Gross Bookings used instead,,Track Q3 FY26 remarks
06-003,06,1/2,Adj EBITDA discontinuation acknowledged on calls,Red,0,count of mentions/2 transcripts,Deteriorating,No peer set,,0,4,High,Zero mentions full-text search,RF-DISC-001,Confirm return in FY26 10-K
06-004,06,2,Recurring legal/regulatory reserve still treated as one-off,Red,564,$mm FY25 1123mm FY24,Declining $ but still present 2 yrs,No peer set,,0,5,High,Added back as non-recurring both years,RF-DISC-002,Confirm 3rd-year recurrence
06-005,06,2,Non-D&A add-backs as % of FY25 Income from Ops,Amber,43.9,%,Not enough history,No peer set,,0,4,High,$2446mm/$5565mm,,Monitor into FY26
06-006,06,2,GAAP-to-Adj-EBITDA gap magnitude/trend,Green,38.3,% gap FY25 83.4% FY24,Improving narrowing,No peer set,,0,4,Medium,$6312M to $8730M vs $3536M to $6484M,,None
06-007,06,1/3,Two MDL verdicts named in 3 recent filings,Red,2,count unnamed,New/unresolved,No peer set,,0,3,Medium,Arizona $8.5mm Charlotte $5000 not named despite aggregate reserve,RF-REG-002,Check next 10-Q/10-K
06-008,06,1,Feb-2026 CFO-transition statement direct,Green,1,boolean,N/A,No peer set,,0,3,Medium,Not the result of any disagreements concerning financial disclosures,,Confirm no restatement in FY26 10-K
06-009,06,4,Analyst questions answered directly or deflected,Green,0,count deflected,N/A,No peer set,,0,4,Medium,UK take-rate Brazil AI/headcount all quantified,,None
06-010,06,4,Prepared-remarks tone candid or promotional,Amber,1,qualitative,N/A,No peer set,,0,4,Medium,Outstanding/exceptional opened both calls before negatives,,Reassess at next weak quarter
06-011,06,5,Unresolved integrity signal weighing on candor,Red,2,confidence 1-5,New/unresolved,No peer set,,0,2,Critical,Derivative lawsuit alleges false proxy safety-oversight statements,RF-MGT-005,Track docket
06-012,06,Data,No shareholder letters candor from transcripts+filings,N/A,,,N/A,No peer set,,0,4,Low,US SEC filer no letter tradition 2 verbatim transcripts present,,None
