Finding ID,Agent,Section,Question / Test,Verdict,Raw Value,Unit,Trend,Peer Verdict,Score,Penalty,Confidence,Materiality,Evidence,Red Flag ID,Follow-Up
F-20,ownership-and-insider-behavior,Pledging,Promoter / insider pledge,None confirmed,0%,% pledged,Stable,Better,90,0,90,High,"Pool sources; no pledging signal",—,None
F-21,board-and-shareholder-rights,Board Independence,% independent directors,"83.3% (10/12; or 10/11 post-2026 AGM)",83.3%,%,Stable,In-line,80,0,88,High,"FY2025 10-K proxy section; 2026 AGM results",—,None
F-22,board-and-shareholder-rights,Chair/CEO Split,CEO / Board Chair separation,"Split (Bezos Executive Chair; separate independent Lead)",Split,binary,Stable,Better,80,0,90,Medium,"FY2025 10-K; public record",—,None
F-23,board-and-shareholder-rights,Takeover Defenses,Poison pill / anti-takeover posture,"No poison pill; CIQ score 0.14 vs S&P 500 avg 0.32",0.14,index,Stable,Better,85,0,90,Medium,CIQ Takeover Defense data (pool-confirmed),—,None
F-24,board-and-shareholder-rights,Director Tenure,Long-tenure director concentration,"Three directors >14yr tenure (Stonesifer ~29yr, Rubinstein ~16yr, Gorelick ~14yr)",3,count,Stable,Worse,55,-5,85,Medium,"FY2025 10-K proxy section; 2026 AGM results",—,"Board refreshment timeline; succession planning"
F-25,board-and-shareholder-rights,AGM Vote Results,Director election vote results,"All elected; lowest vote 92.8%",92.8%,% for,Stable,In-line,78,0,90,Low,2026 AGM voting results,—,None
F-26,board-and-shareholder-rights,Shareholder Rights,Special meeting threshold,25% threshold — accessible,25%,% required,Stable,In-line,75,0,88,Medium,Proxy references (pool-confirmed),—,None
F-27,board-and-shareholder-rights,RPT Intensity,Material related-party transactions,None material across FY2023/2024/2025,None,—,Stable,Better,90,0,90,High,"FY2023/2024/2025 10-K Notes",—,None
F-28,candor-and-disclosure-quality,Charge Disclosure,"FTC / severance charges (Q3 2025)",Disclosed in first sentence of CEO prepared remarks,"$4.3B ($2.5B FTC + $1.8B severance)",USD billions,One-off,Better,90,0,95,High,Q3 2025 earnings transcript,—,None
F-29,candor-and-disclosure-quality,FCF Guidance,Pre-disclosure of FCF compression,Pre-disclosed in FY2023 and FY2024 shareholder letters before it happened,Qualitative,—,Positive,Better,88,0,90,High,"FY2023/2024 shareholder letters (10-K context)",—,None
F-30,candor-and-disclosure-quality,Adjusted Metrics,Use of non-GAAP adjusted EBITDA / EPS,"No formal non-GAAP adjusted EBITDA or EPS — more conservative than peers",None,—,Stable,Better,85,0,90,Medium,"FY2023/2024/2025 10-K; transcripts",—,None
F-31,candor-and-disclosure-quality,AWS Guidance,FY2025 AWS full-year revenue growth vs implied target,"Minor miss — 19.2% vs implied >20%; not explicitly acknowledged","19.2% vs >20% implied",% growth,Neutral,Neutral,65,-5,80,Medium,"Q4 2025 transcript; FY2025 10-K",—,Monitor FY2026 AWS guidance vs actual at each quarter
F-32,candor-and-disclosure-quality,Server Life,"Useful-life accounting flip (servers: 5→6yr Jan 2024; 6→5yr subset Jan 2025)",Disclosed; net effect roughly neutral,Disclosed,binary,Neutral,Neutral,70,-3,85,Medium,"FY2024/2025 10-K Notes",—,Monitor for further accounting-estimate changes
F-33,candor-and-disclosure-quality,Backlog Disclosure,AWS committed backlog transparency,"Above-average; $364B at Q1 2026 disclosed",$364B,USD billions,Improving,Better,88,0,92,High,"Q1 2026 10-Q; Q1 2026 transcript",—,None
F-34,candor-and-disclosure-quality,Q&A Quality,Transcript Q&A directness across Q3/Q4 2025 + Q1 2026,"Direct, substantive, no evasion observed",Qualitative,—,Stable,Better,85,0,85,Medium,"Q3/Q4 2025, Q1 2026 transcripts",—,None
