finding_id,agent,section,question,verdict,raw_value,unit,trend,peer_verdict,score,penalty,confidence,materiality,evidence,red_flag_id,follow_up
04-018,ownership-and-insider-behavior,Market Conduct,Bezos selling timing vs results,Green,,Selling preceded strong results,Stable,N/A,,,4,High,"FY2025 10-K Item 9B p.74; Capital IQ Surprise tab",,None
05-001,board-and-shareholder-rights,Board Composition,% independent directors,Green,83.3,%,Stable,In line,18,0,3,High,"2026 DEF 14A Director Independence (web-unverified)",,Confirm from filed proxy
05-002,board-and-shareholder-rights,Board Composition,CEO/Chair role split,Green,1,Yes,Stable,Better than peers,18,0,4,Medium,"FY2025 10-K p.4–5",,None
05-004,board-and-shareholder-rights,Board Composition,All committees fully independent,Green,1,Yes,Stable,In line,14,0,3,High,"2026 DEF 14A Committees (web-unverified)",,Confirm from filed proxy
05-005,board-and-shareholder-rights,Tenure / Refreshment,Average independent director tenure,Amber,10.3,years,Stable,Slightly above peers,14,2,3,Medium,"2026 DEF 14A Director dates (web-unverified)",,Does Nominating Cttee have tenure policy?
05-006,board-and-shareholder-rights,Tenure / Refreshment,Stonesifer 29-year tenure,Amber,29,years on board,Deteriorating,Worse than benchmark,0,3,3,Medium,"2026 DEF 14A (web-unverified)",,Is Stonesifer independence reviewed annually?
05-007,board-and-shareholder-rights,Tenure / Refreshment,Weeks overboarding Corning CEO + Amazon Audit,Amber,2,public board seats active CEO,Stable,At ISS limit,0,2,3,Medium,"2026 DEF 14A (web-unverified)",,Confirm Weeks Audit attendance
05-008,board-and-shareholder-rights,RPT / Leakage,Material related-party transactions,Green,0,material RPTs,Stable,N/A,20,0,4,High,"FY2025 10-K Notes; disqualifier scan",,Review proxy Item 13 once in pool
05-009,board-and-shareholder-rights,Takeover Defenses,Classified board,Green,0,No,Stable,Better than peers,15,0,5,High,"Capital IQ Takeover Defenses Jul 2026",,None
05-010,board-and-shareholder-rights,Takeover Defenses,Dual-class structure,Green,0,No,Stable,Better than peers,15,0,5,High,"Capital IQ Takeover Defenses Jul 2026",,None
05-012,board-and-shareholder-rights,Takeover Defenses,Majority vs plurality voting,Green,1,Majority,Stable,In line,15,0,5,High,"Capital IQ Takeover Defenses Jul 2026",,None
05-016,board-and-shareholder-rights,Shareholder Voting,Say-on-pay 2025 % against,Amber,22,% against,Improving slowly plateau,Worse than peers,5,3,3,High,"2026 DEF 14A (web-unverified); Morningstar; SOC Group",RF-SHR-001,What steps taken post-2025 meeting?
05-017,board-and-shareholder-rights,Shareholder Voting,RSU dilution net share count FY2023-FY2025,Amber,1.7,% per year net dilution,Deteriorating,In line,0,2,5,Medium,"FY2025 10-K Equity Stmt p.40; Note 8 p.62",,Will buyback activate post-capex?
06-001,candor-and-disclosure-quality,Owning the Misses,Q3 2025 miss — how disclosed,Green,-4300,$M charges,N/A,Better than typical,23,0,5,High,"Q3 2025 transcript Oct 30 2025 pp.4–8",,None
06-002,candor-and-disclosure-quality,Owning the Misses,Q4 2025 charges — how disclosed,Green,-2400,$M charges,N/A,N/A,22,0,5,High,"Q4 2025 transcript Feb 5 2026 p.9",,None
06-003,candor-and-disclosure-quality,Owning the Misses,FCF compression pre-warned vs delivered,Green,11194,$M co-disclosed FCF FY2025,Declining as warned,N/A,23,0,5,High,"FY2024 Annual Report (warning); FY2025 10-K MD&A p.28",,Track FCF recovery
06-004,candor-and-disclosure-quality,Owning the Misses,Recurring restructuring pattern acknowledged,Amber,4639,$M other operating exp FY2025,Deteriorating/spiking,N/A,12,3,4,Medium,"FY2025 10-K Item 7 p.27; earnings/06 §5",RF-DISC-002 borderline,Ask management for normalized baseline
06-005,candor-and-disclosure-quality,Non-GAAP,Formal adjusted EBITDA/EBIT table,Green,,None,Stable,More conservative,18,0,5,High,"FY2025 10-K Item 7 pp.24–28",,None
06-006,candor-and-disclosure-quality,Non-GAAP,GAAP-to-adjusted EPS gap,Amber,34.5,% gap,Recurring,N/A,10,3,5,High,"FY2025 10-K Item 7 p.27; Capital IQ",,Watch Anthropic FY2026
06-007,candor-and-disclosure-quality,Non-GAAP,Server useful-life changes two directions two years,Amber,2,direction changes,N/A,N/A,10,3,5,High,"FY2025 10-K Note 1 p.41 p.47; earnings/06 §6",,Ask net multi-year P&L impact
06-010,candor-and-disclosure-quality,Disclosure Transparency,Segment KPI consistency,Green,3,segments 3 yrs,Stable,N/A,18,0,5,High,"FY2025 10-K Note 10 pp.67–68",,None
06-011,candor-and-disclosure-quality,Disclosure Transparency,AI vs core AWS revenue disclosed,Amber,,Not disclosed,Stable gap persists,Worse than peers,9,3,5,High,"Q1 2026 transcript p.10; FY2025 10-K Note 10",,Ask for AI revenue disclosure in AWS
06-012,candor-and-disclosure-quality,Disclosure Transparency,Capex maintenance/growth split,Amber,,Not disclosed,Stable,N/A,8,3,4,Medium,"FY2025 10-K Item 7 p.28; earnings/06 §1",,None
06-013,candor-and-disclosure-quality,Tone in Bad Times,Q3 2025 tone candid or promotional,Green,,Candid,N/A,N/A,13,0,5,High,"Q3 2025 transcript Oct 30 2025 pp.4–8",,None
06-014,candor-and-disclosure-quality,Tone in Bad Times,Q&A directness on FCF ROIC concerns,Green,,Direct,N/A,N/A,13,0,5,High,"Q4 2025 transcript pp.10–11; Q1 2026 transcript pp.9–10",,None
06-016,candor-and-disclosure-quality,Candor Read,Disclosure timeliness,Green,,No delay,Stable,N/A,10,0,5,High,"FY2025 10-K filed Apr 9 2026; Q1 2026 10-Q filed Apr 30 2026",,None
